phylo.name,Species notes,leaf.fresh.weight.g,leaf.dry.weight.g,root.dry.weight.g,stem.dry.weight.g,leaf.area.cm.sq,experiment,all.dry.weight.g,block,harvest.minus.germ.date,average.seed.weight
Achnatherum_calamagrostis,,0.0558,0.0141,0.0224,0.011,3.7488,B,0.0475,8,31,0.000715455
Achnatherum_calamagrostis,,0.0429,0.01,0.0041,0.00305,3.1148,A,0.01715,3,41,0.000715455
Achnatherum_calamagrostis,,0.0016,0.00037,0.00048,0.00026,0.0878,A,0.00111,4,12,0.000715455
Achnatherum_calamagrostis,,0.1569,0.0299,0.04602,0.00317,13.3332,B,0.07909,5,38,0.000715455
Achnatherum_calamagrostis,,0.0115,0.0028,0.00097,5.00E-04,0.6065,A,0.00427,4,23,0.000715455
Achnatherum_calamagrostis,,0.1026,0.02411,0.03821,0.0152,7.0001,B,0.07752,4,32,0.000715455
Achnatherum_calamagrostis,,0.0026,0.00011,0.00029,0.00013,0.1598,A,0.00053,3,12,0.000715455
Achnatherum_calamagrostis,,0.0052,0.00101,0.00249,0.00094,0.7188,B,0.00444,8,10,0.000715455
Achnatherum_calamagrostis,,0.0065,0.00152,0.0012,0.00074,0.352,A,0.00346,4,16,0.000715455
Achnatherum_calamagrostis,,0.0048,0.00116,0.00093,0.00045,0.6389,B,0.00254,3,10,0.000715455
Achnatherum_calamagrostis,,0.0505,0.0105,0.0187,0.0108,4.4649,B,0.04,6,24,0.000715455
Achnatherum_calamagrostis,,0.0347,0.0072,0.0044,0.0024,2.6926,A,0.014,8,33,0.000715455
Achnatherum_calamagrostis,,0.0037,0.00146,6.00E-04,0.00012,0.1711,A,0.00218,8,16,0.000715455
Achnatherum_calamagrostis,,0.0358,0.0078,0.0074,0.00252,1.176,A,0.01772,7,30,0.000715455
Achnatherum_calamagrostis,,0.0545,0.0137,0.2012,0.0064,3.115,A,0.2213,3,41,0.000715455
Achnatherum_calamagrostis,,0.173,0.046,0.0331,0.02187,10.9309,B,0.10097,7,38,0.000715455
Achnatherum_calamagrostis,,0.0188,0.006,0.00444,0.00111,1.0212,A,0.01155,5,25,0.000715455
Acroceras_amplectens,,0.0044,0.00064,0.00073,0.00042,0.2222,B,0.00179,5,13,0.002784211
Acroceras_amplectens,,0.0036,0.00041,1.00E-05,0.00038,0.2756,B,8.00E-04,4,16,0.002784211
Acroceras_amplectens,,0.0783,0.0146,0.00137,0.0033,3.4896,B,0.01927,5,36,0.002784211
Acroceras_amplectens,,0.0539,0.01228,0.0044,0.00281,3.3658,B,0.01949,2,31,0.002784211
Acroceras_amplectens,,0.1,0.02309,0.00372,0.00532,4.7432,B,0.03213,4,29,0.002784211
Acroceras_zizanioides,,0.0188,0.0035,0.0018,0.00067,1.2966,B,0.00597,1,17,0.016214429
Acroceras_zizanioides,,0.6065,0.1311,0.0349,0.0448,34.498,B,0.2108,2,46,0.016214429
Acroceras_zizanioides,,0.4055,0.0613,0.0045,0.0261,20.1207,B,0.0919,1,39,0.016214429
Acroceras_zizanioides,,0.0091,0.00151,0.00552,0.00498,5.4905,B,0.01201,6,31,0.016214429
Acroceras_zizanioides,,0.082,0.01333,0.00529,0.00379,4.0548,B,0.02241,4,24,0.016214429
Acroceras_zizanioides,,0.7013,0.1166,0.0239,0.0345,35.9993,B,0.175,4,43,0.016214429
Acroceras_zizanioides,,0.3689,0.06718,0.00911,0.01869,19.5941,B,0.09498,3,47,0.016214429
Acroceras_zizanioides,,0.0746,0.0124,0.00021,0.00036,0.7593,B,0.01297,6,21,0.016214429
Acroceras_zizanioides,,0.0045,0.0016,0.00116,0.00053,0.2849,B,0.00329,3,16,0.016214429
Aegilops_crassa,,0.0387,0.0085,0.0089,0.0024,2.3979,B,0.0198,3,10,0.019742991
Aegilops_crassa,,0.1482,0.0325,0.0304,0.0195,6.3277,B,0.0824,3,31,0.019742991
