",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"1,""Araucaria angustifolia"",""Neotropical"",""forest"",""n"",NA,NA,0.46,"""",""Zanneetal2009"","""",16.6790417910448,1671.35820895522,30.1984186567164,8.43838059701493,13.7575594029851,16.1641791044776,43.1268656716418,5.3955223880597,32.2985074626866,52.3955223880597,24.2014925373134,32.6940298507463"
"2,""Prumnopitys harmsiana"",""Neotropical"",""forest"","""",NA,NA,0.53,"""",""Zanneetal2009"","""",14.8208333333333,1422,50.0479,12.905675,9.832525,23,29.5,15.875,75.25,51.5,30,40.75"
"3,""Podocarpus usambarensis"",""Afrotropical"",""forest"",""n"",76,NA,0.4305,"""",""Zanneetal2009"",""JStorPlants"",15.9666625,984.625,86.3493,16.1448125,36.1144625,22.375,36.625,9.4375,30.6875,57.125,21,42.375"
"4,""Allagoptera leucocalyx"",""Neotropical"",""savanna"",""n"",2.5,4.1,NA,""Cianciarusoetal2013"","""","""",23.179175,1480,66.019625,40.1140375,29.8386125,7.4375,32,3.6875,11.625,54.75,18.875,49.125"
"5,""Socratea exorrhiza"",""Neotropical"",""forest"","""",NA,NA,0.23,"""",""Zanneetal2009"","""",25.1711647727273,2717.47727272727,47.21327625,5.93266363636364,7.54432738636364,15.1385542168675,32.0120481927711,7.53012048192771,37.3313253012048,50.3012048192771,25.8855421686747,42.1626506024096"
"6,""Leopoldinia pulchra"",""Neotropical"",""forest"",""n"",NA,NA,0.48,"""",""Zanneetal2009"","""",27.03222,2761.8,52.3734333333333,10.7296866666667,12.02132,10.3571428571429,24.7142857142857,5.39285714285714,40.0714285714286,48.7857142857143,23.7857142857143,51.5714285714286"
"7,""Attalea maripa"",""Neotropical"",""savanna"","""",20,NA,NA,"""","""",""Oliveira-Filhoetal2007"",26.3994708333333,2510.04166666667,49.0733208333333,14.401875,19.8749416666667,10.047619047619,28.3571428571429,5.57142857142857,31.7142857142857,49.1904761904762,22.547619047619,49.0238095238095"
"8,""Attalea butyracea"",""Neotropical"",""forest"",""n"",NA,NA,0.325650588,"""",""Zanneetal2009"","""",25.4443452380952,2262.47619047619,48.444495952381,15.2575880952381,15.6195738095238,15.5487804878049,31.9512195121951,6.9390243902439,29.0365853658537,53.5243902439024,25.719512195122,42.3658536585366"
"9,""Attalea phalerata"",""Neotropical"",""forest"","""",15,NA,NA,"""","""",""Oliveira-Filhoetal2007"",25.6919,1845.27777777778,51.7776833333333,12.8042388888889,12.0133888888889,10.6944444444444,31.6111111111111,2.80555555555556,20.4444444444444,49.8888888888889,22.6666666666667,45.9166666666667"
"10,""Attalea speciosa"",""Neotropical"",""savanna"","""",15,NA,NA,"""","""",""Oliveira-Filhoetal2007"",24.67395,1458.25,68.7221,26.4761333333333,21.6558825,10.375,27.25,3.125,11.875,55,21,51.625"
"11,""Geonoma pohliana"",""Neotropical"",""forest"","""",6,NA,NA,"""","""",""Oliveira-Filhoetal2007"",22.2877709677419,1521.16129032258,54.5305387096774,16.7533709677419,20.4491129032258,10.9838709677419,34.6774193548387,5.03225806451613,20.5645161290323,52.1935483870968,18.9032258064516,46.5483870967742"
"12,""Oenocarpus bacaba"",""Neotropical"",""forest"","""",NA,NA,0.65,"""",""Chaveetal2009"","""",26.5642333333333,2461.33333333333,54.6991,32.3641,14.3115416666667,8.75,29.3333333333333,6.33333333333333,31.0833333333333,48.0416666666667,21.7916666666667,48.8333333333333"
"13,""Butia capitata"",""Neotropical"",""savanna"",""n"",6,NA,NA,"""","""",""Oliveira-Filhoetal2007"",21.9067384615385,1228.23076923077,81.2394692307692,17.4749428571429,37.4478357142857,10.0357142857143,27.8928571428571,3.46428571428571,15.6071428571429,55.8928571428571,17.6785714285714,54.6785714285714"
"14,""Butia paraguayensis"",""Neotropical"",""savanna"",""n"",4,NA,NA,"""","""",""Oliveira-Filhoetal2007"",22.259168,1494.96,40.586188,43.6956,27.882696,10.38,29.52,3.68,17.3,55.3,17.26,53.3"
"15,""Butia purpurascens"",""Neotropical"",""savanna"","""",4,NA,NA,"""","""",""Oliveira-Filhoetal2007"",22.61455,1608,74.60095,7.4574,20.19725,8.5,38.5,2,11,54.5,14.75,46.75"
"16,""Astrocaryum vulgare"",""Neotropical"",""savanna"","""",10,NA,NA,"""","""",""Oliveira-Filhoetal2007"",25.39585,1798.25,77.1267875,30.204775,27.4274125,9.1875,28.6875,3,13.625,52.125,19.4375,52"
"17,""Astrocaryum murumuru"",""Neotropical"",""forest"",""n"",NA,NA,0.508141839,"""",""Zanneetal2009"","""",25.54667,2310.5,50.91637,5.96309,16.84916,13.3,30.9,2.6,27.05,50.15,26.7,42.5"
"18,""Welfia regia"",""Neotropical"",""forest"","""",NA,NA,0.4,"""",""Zanneetal2009"","""",24.844785,3414.85,41.607485,2.51061,9.2159785,23.4,33.075,13.05,57.725,52.25,25.875,40.9"
"19,""Prestoea decurrens"",""Neotropical"",""forest"","""",NA,NA,0.25,"""",""Zanneetal2009"","""",24.7125,3433.625,41.6173,2.54328125,6.19905625,29.8125,29.90625,10.71875,74.53125,53.25,28.34375,41.71875"
"20,""Iriartea deltoidea"",""Neotropical"",""forest"","""",NA,NA,0.266976471,"""",""Zanneetal2009"","""",23.9049236363636,2778.81818181818,36.6553218181818,5.18301071428571,8.30006196428571,18.1666666666667,32.2592592592593,8.38888888888889,45.3055555555556,52.0648148148148,26.9907407407407,40.7222222222222"
"21,""Haumaniana danckelmaniana"",""Afrotropical"",""forest"","""",NA,23.6,NA,""Meiretal2007"","""","""",23.851172,1962.68,61.713524,0.874408,1.7172,10.18,41.9,11.66,23.7,48.12,13.82,44.16"
"22,""Vellozia squamata"",""Neotropical"",""savanna"",""n"",4,NA,NA,"""","""",""Oliveira-Filhoetal2007"",21.92458,1500.5,81.21377,58.75646,34.72513,7.25,32.7,4.1,11.55,53.4,16.75,50.6"
