"","species","geox"
"1","Alternanthera martii","n"
"2","Aspilia floribunda","n"
"3","Baccharis multisulcata","n"
"4","Baccharis punctulata","n"
"5","Borreria brachystemonoides","n"
"6","Borreria verbenoides","n"
"7","Calea lantanoides","n"
"8","Calea quadrifolia","n"
"9","Calea reticulata","n"
"10","Chaetostoma inerme","n"
"11","Chamaecrista jacobinea","n"
"12","Chamaecrista rotundifolia","n"
"13","Chamaecrista rupestrium","n"
"14","Chamaecrista tenuisepala","n"
"15","Chromolaena maximiliani","n"
"16","Croton lobatus","n"
"17","Cuphea adenophylla","n"
"18","Cuphea antisyphilitica","n"
"19","Cuphea calophylla","n"
"20","Cuphea carthagenensis","n"
"21","Cuphea cunninghamiifolia","n"
"22","Cuphea ericoides","n"
"23","Cuphea grandiflora","n"
"24","Cuphea laricoides","n"
"25","Cuphea lutescens","n"
"26","Cuphea rubrovirens","n"
"27","Cuphea sessilifolia","n"
"28","Cuphea teleandra","n"
"29","Cuphea tenuissima","n"
"30","Cuphea xanthopetala","n"
"31","Diodia apiculata","n"
"32","Hexasepalum teres","n"
"33","Diplusodon argyrophyllus","n"
"34","Diplusodon astictus","n"
"35","Diplusodon bolivianus","n"
"36","Diplusodon candollei","n"
"37","Diplusodon epilobioides","n"
"38","Diplusodon floribundus","n"
"39","Diplusodon glaucescens","n"
"40","Diplusodon gracilis","n"
"41","Diplusodon helianthemifolius","n"
"42","Diplusodon hexander","n"
"43","Diplusodon hirsutus","n"
"44","Diplusodon imbricatus","n"
"45","Diplusodon incanus","n"
"46","Diplusodon macrodon","n"
"47","Diplusodon nigricans","n"
"48","Diplusodon nitidus","n"
"49","Diplusodon puberulus","n"
"50","Diplusodon quintuplinervis","n"
"51","Diplusodon rotundifolius","n"
"52","Diplusodon sigillatus","n"
"53","Diplusodon thymifolius","n"
"54","Diplusodon trigintus","n"
"55","Diplusodon uninervius","n"
"56","Diplusodon. orbicularis","n"
"57","Eriosema congestum","n"
"58","Eupatorium laevigatum","n"
"59","Gomphrena agrestis","n"
"60","Gomphrena celosioides","n"
"61","Gomphrena claussenii","n"
"62","Gomphrena desertorum","n"
"63","Gomphrena officinalis","n"
"64","Hybanthus calceolaria","n"
"65","Ipomoea pinifolia","n"
"66","Ipomoea squamisepala","n"
"67","Lessingianthus elegans","n"
"68","Lychnophora bahiensis","n"
"69","Manihot paviaefolia","n"
"70","Manihot pentaphylla","n"
"71","Manihot quinqueloba","n"
"72","Manihot sagittato-partita","n"
"73","Microlicia cupressina","n"
"74","Oxalis ciliata","n"
"75","Oxalis cordata","n"
"76","Oxalis cytisoides","n"
"77","Oxalis densifolia","n"
"78","Oxalis grisea","n"
"79","Oxalis hirsutissima","n"
"80","Oxalis pilulifera","n"
"81","Oxalis puberula","n"
"82","Oxalis renifolia","n"
"83","Phrygilanthus acutifolius","n"
"84","Phthirusa ovata","n"
"85","Phthirusa stelis","n"
"86","Polygala bryoides","n"
"87","Polygala densifolia","n"
"88","Polygala grazielae","n"
"89","Polygala pseudoerica","n"
"90","Psittacanthus cinctus","n"
"91","Psittacanthus cordatus","n"
"92","Psittacanthus plagiophyllus","n"
"93","Psittacanthus robustus","n"
"94","Psittacanthus warmingii","n"
"95","Psyllocarpus asparagoides","n"
"96","Ruellia eurycodon","n"
"97","Sebastiania corniculata","n"
"98","Microstachys daphnoides","n"
"99","Sebastiania revoluta","n"
"100","Smilax goyazana","n"
"101","Smilax irrorata","n"
"102","Solanum incarceratum","n"
"103","Solanum sisymbriifolium","n"
"104","Solanum subumbellatum","n"
"105","Stomatanthes dictyophyllus","n"
"106","Struthanthus confertus","n"
"107","Struthanthus phillyreoides","n"
"108","Struthanthus flexicaulis","n"
"109","Struthanthus marginatus","n"
"110","Struthanthus polyanthus","n"
"111","Struthanthus polyrhizus","n"
"112","Struthanthus syringifolius","n"
"113","Stylosanthes capitata","n"
"114","Stylosanthes nunoi","n"
"115","Stylosanthes ruellioides","n"
"116","Stylosanthes scabra","n"
"117","Stylosanthes viscosa","n"
"118","Vernonia elegans","n"
"119","Borreria simplicaulis","n"
"120","Anacardium corymbosum","y"
"121","Anacardium nanum","y"
"122","Baccharis aphylla","y"
"123","Baccharis camporum","y"
"124","Baccharis erigeroides","y"
"125","Borreria angustifolia","y"
"126","Brasilia sickii","y"
"127","Byrsonima rigida","y"
"128","Calea multiplinervia","y"
"129","Chaetostoma pungens","y"
"130","Chamaecrista altoana","y"
"131","Chamaecrista brachyrachis","y"
"132","Chamaecrista burchelli","y"
"133","Chamaecrista filicifolia","y"
"134","Chamaecrista flexuosa","y"
"135","Chamaecrista lavradiiflora","y"
"136","Chamaecrista mucronata","y"
"137","Chamaecrista multinervea","y"
"138","Chamaecrista ochnacea","y"
"139","Chamaecrista olisiphylla","y"
"140","Chamaecrista rotundata","y"
"141","Chamaecrista scabra","y"
"142","Cuphea brachypoda","y"
"143","Cuphea ferruginea","y"
"144","Cuphea glareosa","y"
"145","Cuphea sincorana","y"
"146","Cuphea sperguloides","y"
"147","Diplusodon aggregatifolius","y"
"148","Diplusodon alatus","y"
"149","Diplusodon appendiculosus","y"
"150","Diplusodon argenteus","y"
"151","Diplusodon burchellii","y"
"152","Diplusodon ciliatiflorus","y"
"153","Diplusodon ciliiflorus","y"
"154","Diplusodon cordifolius","y"
"155","Diplusodon divaricatus","y"
"156","Diplusodon ericoides","y"
"157","Diplusodon hatschbachii","y"
"158","Diplusodon lanceolatus","y"
"159","Diplusodon leucocalycinus","y"
"160","Diplusodon matogrossensis","y"
"161","Diplusodon myrsinites","y"
