Species;HScat;HScon;Height_growth_measured;Height_growth_modelled;#trees_measured;WD;Kp;SLA;LDMC;leaf N
;;;m/yr;m/yr;;g/cm3;kg.m/MPa/s;m2/kg;g/g;mg/g
Abarema adenophora;Generalist;0.226;1.13;1.81;17;0.472;43.23;19.6;0.42;26.7
Anacardium excelsum;Generalist;0.382;2.78;2.09;30;0.338;25.85;10.09;0.373;17.3
Andira inermis;Generalist;0.484;0.72;0.71;18;0.508;21.02;17.24;0.358;33.8
Apeiba membranacea;Generalist;0.728;1.54;1.63;26;0.252;22.89;28.79;0.244;23.2
Apeiba tibourbou;SG specialist;0.157;1.85;1.29;25;0.327;15.25;15.48;0.313;25.2
Aspidosperma spruceanum;OG specialist;0.909;0.44;0.85;60;0.681;14.44;11.28;0.326;18
Astronium graveolens;Generalist;0.352;1.72;1.22;30;0.508;20.11;18.89;0.393;26.2
Brosimum utile;OG specialist;0.783;0.46;1.3;44;0.366;17.52;12.88;0.397;NA
Buchenavia costaricensis;NA;NA;1.54;1.94;21;0.479;22.89;14.19;0.361;21.6
Bursera simaruba;SG specialist;0.126;1.96;1.48;34;NA;27.2;14.47;0.348;20.5
Calophyllum brasiliense;Generalist;0.696;1.26;1.43;16;0.601;7.34;11.07;0.369;16.1
Calophyllum longifolium;OG specialist;0.931;0.87;1.5;28;0.558;21.76;6.85;0.343;13.9
Castilla tunu;Generalist;0.451;0.66;0.69;36;0.327;20.7;11.29;0.381;NA
Cedrela odorata;Generalist;0.246;1.66;1.35;36;0.491;28.82;15.3;0.395;32.7
Ceiba pentandra;OG specialist;0.768;1.71;1.72;19;0.317;44.56;15.83;0.378;29.2
Cojoba arborea;NA;NA;2.09;1.67;27;0.482;22.61;19.61;0.43;27.8
Croton schiedeanus;Generalist;0.424;2.09;1.15;24;0.425;11.92;15.65;0.321;26.8
Dussia macroprophyllata;OG specialist;0.924;1.35;1.47;33;0.404;NA;19.29;0.304;36.7
Guatteria amplifolia;SG specialist;0.255;1.57;1.44;20;0.294;39.13;25.47;0.25;26.8
Handroanthus sp.;SG specialist;0.085;1.27;1.88;23;0.632;23.79;19.47;0.278;31
Hieronyma alchorneoides;SG specialist;0.204;2;1.81;61;0.521;19.58;13.32;0.258;27.2
Inga barbourii;NA;NA;0.94;1.43;18;0.5;16.23;26.1;0.357;26.7
Inga punctata;Generalist;0.191;1.72;1.31;13;NA;NA;NA;NA;NA
Inga sp.;Too rare;0.5;2.69;2.25;33;0.359;35.1;16.66;0.425;NA
Licania operculipetala;Too rare;0.25;0.4;0.42;26;NA;NA;NA;NA;NA
Lonchocarpus macrophyllus;SG specialist;0;2.1;2.05;42;0.387;22.91;15.62;0.313;31.1
Lonchocarpus sp. 1;Too rare;0;1.81;1.48;17;0.466;NA;13.32;0.401;29
Luehea seemannii;Generalist;0.294;2.32;1.55;24;0.322;9.11;14.37;0.373;26.1
Macrolobium hartshornii;Too rare;1;0.43;1.1;17;0.516;12.98;17.86;0.392;30.2
Minquartia guianensis;OG specialist;0.93;0.33;0.25;43;0.728;12.26;13.51;0.375;21.8
Ormosia macrocalyx;Generalist;0.813;0.81;0.94;30;0.387;NA;13.07;0.359;30.3
Pachira aquatica;OG specialist;0.857;1.16;1.04;20;0.415;17.81;11.69;0.315;18.8
Pachira sessilis;SG specialist;0.02;1.13;2;26;0.432;34.8;20.79;0.263;26.1
Peltogyne purpurea;OG specialist;0.844;0.6;1.04;46;0.666;12.68;11.8;0.461;17.5
Platymiscium curuense;SG specialist;0.088;1.6;1.16;47;0.635;25.53;16.03;0.32;33.5
Posoqueria sp.;NA;NA;0.93;0.84;24;0.566;5.93;8.42;0.35;22.2
Sapium laurifolium;Generalist;0.357;2.03;2.45;23;0.395;23.73;NA;NA;NA
Schizolobium parahyba;SG specialist;0.191;4.34;4.96;40;NA;NA;20.29;0.354;25.2
Simarouba amara;Generalist;0.438;0.68;1.04;12;0.349;41.29;10.28;0.354;22
Spondias mombin;SG specialist;0.268;2.05;2.19;44;0.365;28.65;16.32;0.291;16.1
Symphonia globulifera;OG specialist;0.892;0.64;0.94;23;NA;3.61;15.05;0.338;NA
Tachigali versicolor;OG specialist;0.946;1.04;1.67;28;0.451;23.83;12.15;0.501;25.2
Terminalia amazonia;SG specialist;0.114;1.68;1.7;47;0.597;12.33;10.67;0.427;17.5
Vatairea lundellii;Too rare;0.556;2.29;2.46;19;0.442;NA;14.89;0.416;25.5
Virola koschnyi;Generalist;0.633;0.68;1.98;29;0.333;13.38;12.46;0.423;15.7
Vitex cooperi;Generalist;0.567;1.68;1.45;65;0.442;19.64;12.86;0.326;26.9
Zygia longifolia;NA;NA;1.06;0.76;40;0.546;14.36;12.62;0.445;28.4
