transect_id,plot,individual,herbivory
Barn.North.East,1,1,0
Barn.North.East,1,1,2
Barn.North.East,1,1,4
Barn.North.East,1,1,8
Barn.North.East,1,1,5
Barn.North.East,1,1,3
Barn.North.East,1,1,3
Barn.North.East,1,1,0
Barn.North.East,1,2,5
Barn.North.East,1,2,3
Barn.North.East,1,2,2
Barn.North.East,1,2,1
Barn.North.East,1,2,2
Barn.North.East,1,2,2
Barn.North.East,1,2,0
Barn.North.East,1,2,1
Barn.North.East,1,3,0
Barn.North.East,1,3,10
Barn.North.East,1,3,2
Barn.North.East,1,3,20
Barn.North.East,1,4,1
Barn.North.East,1,4,0
Barn.North.East,1,5,1
Barn.North.East,1,5,1
Barn.North.East,2,1,0
Barn.North.East,2,1,1
Barn.North.East,2,1,0
Barn.North.East,2,1,0
Barn.North.East,2,2,0
Barn.North.East,2,2,3
Barn.North.East,2,2,1
Barn.North.East,2,2,1
Barn.North.East,2,3,0
Barn.North.East,2,3,0
Barn.North.East,2,3,1
Barn.North.East,2,3,4
Barn.North.East,2,4,0
Barn.North.East,2,4,1
Barn.North.East,2,4,5
Barn.North.East,2,4,0
Barn.North.East,2,4,0
Barn.North.East,2,4,0
Barn.North.East,2,5,0
Barn.North.East,2,5,0
Barn.North.East,2,5,0
Barn.North.East,2,5,0
Barn.North.East,2,5,0
Barn.North.East,2,5,0
Barn.North.East,2,5,80
Barn.North.East,2,5,40
Barn.North.East,2,5,0
Barn.North.East,2,5,5
Barn.North.East,3,1,2
Barn.North.East,3,1,0
Barn.North.East,3,1,3
Barn.North.East,3,1,1
Barn.North.East,3,1,5
Barn.North.East,3,2,0
Barn.North.East,3,2,5
Barn.North.East,3,2,0
Barn.North.East,3,2,3
Barn.North.East,3,3,1
Barn.North.East,3,3,2
Barn.North.East,3,3,1
Barn.North.East,3,3,40
Barn.North.East,3,3,3
Barn.North.East,3,3,2
Barn.North.East,3,3,1
Barn.North.East,3,3,1
Barn.North.East,3,3,0
Barn.North.East,3,4,40
Barn.North.East,3,4,0
Barn.North.East,3,4,7
Barn.North.East,3,4,2
Barn.North.East,3,5,5
Barn.North.East,3,5,2
Barn.North.East,3,5,2
Barn.North.East,3,5,4
Barn.North.East,4,1,2
Barn.North.East,4,1,3
Barn.North.East,4,2,2
Barn.North.East,4,2,18
Barn.North.East,4,2,1
Barn.North.East,4,2,0
Barn.North.East,4,2,3
Barn.North.East,4,2,3
Barn.North.East,4,2,1
Barn.North.East,4,2,4
Barn.North.East,4,3,2
Barn.North.East,4,3,2
Barn.North.East,4,3,0
Barn.North.East,4,4,4
Barn.North.East,4,4,1
Barn.North.East,4,4,45
Barn.North.East,4,4,1
Barn.North.East,4,4,3
Barn.North.East,4,5,3
Barn.North.East,4,5,1
Barn.North.East,4,5,2
Barn.North.East,4,5,30
Barn.North.East,4,5,5
Barn.North.East,5,1,5
Barn.North.East,5,1,1
Barn.North.East,5,1,1
Barn.North.East,5,1,0
Barn.North.East,5,1,2
Barn.North.East,5,1,0
Barn.North.East,5,1,0
Barn.North.East,5,2,4
Barn.North.East,5,2,1
Barn.North.East,5,2,20
Barn.North.East,5,2,35
Barn.North.East,5,2,8
Barn.North.East,5,2,2
Barn.North.East,5,3,0
Barn.North.East,5,3,0
Barn.North.East,5,3,0
Barn.North.East,5,3,1
Barn.North.East,5,3,1
Barn.North.East,5,4,5
Barn.North.East,5,4,2
Barn.North.East,5,4,3
Barn.North.East,5,4,6
Barn.North.East,5,4,10
Barn.North.East,5,5,1
Barn.North.East,5,5,0
Barn.North.East,5,5,0
Barn.North.West,1,1,9
Barn.North.West,1,1,25
Barn.North.West,1,1,2
Barn.North.West,1,1,0
Barn.North.West,1,1,2
Barn.North.West,1,1,4
Barn.North.West,1,1,6
Barn.North.West,1,1,1
Barn.North.West,1,1,4
Barn.North.West,1,2,2
Barn.North.West,1,2,7
Barn.North.West,1,2,0
Barn.North.West,1,2,0
Barn.North.West,2,1,0
Barn.North.West,2,1,0
Barn.North.West,2,1,0
Barn.North.West,2,1,0
Barn.North.West,2,1,0
Barn.North.West,2,1,0
Barn.North.West,2,1,1
Barn.North.West,2,1,10
Barn.North.West,2,2,0
Barn.North.West,2,2,0
Barn.North.West,2,2,0
Barn.North.West,2,2,0
Barn.North.West,2,2,5
Barn.North.West,3,1,2
Barn.North.West,3,1,0
Barn.North.West,3,1,15
Barn.North.West,3,2,0
Barn.North.West,3,2,0
Barn.North.West,4,1,1
Barn.North.West,4,1,1
Barn.North.West,4,1,0
Barn.North.West,4,1,0
Barn.North.West,4,1,0
Barn.North.West,4,2,0
Barn.North.West,4,2,0
Barn.North.West,4,3,2
Barn.North.West,4,3,3
Barn.North.West,4,3,5
Barn.North.West,4,3,7
Barn.North.West,4,3,15
Barn.North.West,4,4,1
Barn.North.West,4,4,0
Barn.North.West,4,5,1
Barn.North.West,4,5,1
Barn.North.West,4,5,0
Barn.North.West,4,5,1
Barn.North.West,5,1,0
Barn.North.West,5,1,0
Barn.North.West,5,1,0
Barn.North.West,5,1,0
Barn.North.West,5,1,0
Barn.North.West,5,1,0
Barn.North.West,5,1,1
Barn.North.West,5,1,1
Barn.South.NA,1,1,0
Barn.South.NA,1,1,1
Barn.South.NA,1,1,0
Barn.South.NA,1,2,1
Barn.South.NA,1,2,1
Barn.South.NA,1,2,0
Barn.South.NA,1,2,8
Barn.South.NA,1,3,0
Barn.South.NA,1,3,0
Barn.South.NA,1,3,2
Barn.South.NA,1,3,4
Barn.South.NA,1,3,0
Barn.South.NA,1,3,0
Barn.South.NA,1,3,0
Barn.South.NA,1,3,1
Barn.South.NA,1,4,0
Barn.South.NA,1,4,0
Barn.South.NA,1,4,4
Barn.South.NA,1,4,2
Barn.South.NA,2,NA,NA
Barn.South.NA,3,NA,NA
Barn.South.NA,4,NA,NA
Barn.South.NA,5,NA,NA
Duck.Lake.West,1,1,0
Duck.Lake.West,1,1,0
Duck.Lake.West,1,1,0
Duck.Lake.West,1,1,0
Duck.Lake.West,1,2,0
Duck.Lake.West,1,2,0
Duck.Lake.West,1,2,0
Duck.Lake.West,1,2,0
Duck.Lake.West,1,2,0
Duck.Lake.West,1,2,25
Duck.Lake.West,1,3,0
