species,number,source,WEIGHT_g,NITROGEN%,CARBON%,CN
ALLCER,5,NA,0.0007,5.0058,69.671,13.91805506
ALLCER,4,NA,0.0008,8.6941,55.674,6.403653052
DALPUR,5,MW,0.0011,8.2447,78.945,9.575242277
ASCVER,3,NA,0.0014,3.7231,62.692,16.83865596
DALPUR,6,MI,0.0018,4.1096,57.15,13.90646292
ASCVER,5,NA,0.0027,3.3819,72.432,21.41754635
ASCVER,4,NA,0.0028,2.6034,36.747,14.11500346
PYCTEN,4,NA,0.0028,2.2531,52.51,23.30566775
DALPUR,1,MW,0.0031,3.936,48.809,12.40066057
DALPUR,4,MI,0.0032,4.631,42.674,9.214856403
ALLCER,2,NA,0.0037,4.0291,57.796,14.34464272
DALPUR,3,MI,0.0037,3.2103,43.399,13.51867427
PYCTEN,5,NA,0.0039,1.9311,52.083,26.9706385
KOECRI,5,MW,0.0042,2.9872,58.689,19.64682646
LIACYL,2,NA,0.0047,3.2616,49.856,15.28574933
DALPUR,2,MW,0.0052,2.346,42.228,18
PYCTEN,3,NA,0.0057,1.0349,47.375,45.77736979
LIACYL,4,NA,0.0064,2.8517,56.74,19.8969036
KOECRI,2,SO,0.0064,2.5821,49.903,19.32651718
KOECRI,3,MI,0.0065,2.7631,50.436,18.25341102
ASCTUB,3,NA,0.0066,2.5159,55.449,22.03942923
SYMERI,2,NA,0.0069,0.94189,42.798,45.43842699
VERVIR,1,NA,0.007,3.2993,50.196,15.21413633
MONPUN,3,NA,0.0071,2.503,54.271,21.68238114
LIACYL,1,NA,0.0073,2.8014,39.707,14.17398444
MONPUN,1,NA,0.0076,1.4534,45.15,31.06508876
CARBRE,2,NA,0.0077,0.925,37.145,40.15675676
KOECRI,1,SO,0.0079,9.9876,54.249,5.431635228
KOECRI,3,SO,0.0079,1.7923,50.632,28.24973498
CARBIC,1,NA,0.0085,1.3255,47.079,35.51791777
KOECRI,2,MW,0.0086,2.8925,47.112,16.28764045
CORTRI,3,NA,0.0086,0.8999,43.908,48.79208801
CARMOL,2,NA,0.0087,1.5256,44.735,29.32288936
VERVIR,4,NA,0.0088,3.6106,48.378,13.39888107
BOUCUR,6,MW,0.0094,2.5055,59.71,23.83157054
DESMAN,4,NA,0.0094,1.8496,44.934,24.29390138
CARMOL,3,NA,0.0094,1.4311,46.309,32.35902453
KOECRI,6,MW,0.0099,2.7458,48.246,17.57083546
CARBRE,1,NA,0.0099,1.7594,44.748,25.43367057
CARBIC,3,NA,0.0106,1.4844,49.812,33.55699272
CARBRE,3,NA,0.0112,1.3395,47.734,35.63568496
DESMAN,3,NA,0.0113,1.5948,39.635,24.8526461
TEPVIR,5,NA,0.0113,1.3697,44.929,32.80207345
CARMOL,1,NA,0.0117,1.2972,49.739,38.34335492
SYMERI,1,NA,0.0118,1.3636,41.573,30.48767967
ASCTUB,1,NA,0.012,1.9185,50.204,26.1683607
DESMAN,5,NA,0.012,1.4537,43.13,29.66912018
AQUCAN,1,NA,0.0121,2.9772,52.323,17.57456671
VERVIR,3,NA,0.0123,2.1614,46.778,21.64245397
LESCAP,2,SO,0.0125,1.4237,53.059,37.26838519
LESCAP,2,MW,0.0131,1.9588,49.448,25.24402696
BOUCUR,1,MW,0.0132,3.4171,56.724,16.60004097
CARNOR,1,NA,0.0132,1.3727,45.427,33.09317404
KOECRI,2,MI,0.0136,1.7957,41.359,23.03224369
ASCTUB,4,NA,0.0141,1.5894,47.115,29.64326161
SYMERI,4,NA,0.0145,1.0425,41.082,39.40719424
CHAFAS,3,MI,0.0146,0.8593,46.426,54.02769696
CARBIC,2,NA,0.0148,1.5248,45.981,30.15543022
SCHSCO,2,MW,0.0152,1.2161,44.27,36.40325631
DESILL,5,NA,0.0153,1.3975,39.026,27.9255814
KOECRI,4,MI,0.0155,1.5367,43.384,28.23192555
ERYYUC,1,NA,0.0157,2.0783,42.058,20.23673194
DESCAN,3,NA,0.0165,2.0797,44.141,21.22469587
RUDHIR,1,MI,0.0166,1.5376,38.515,25.04877732
CHAFAS,1,MW,0.0167,0.6325,48.974,77.42924901
CORTRI,1,NA,0.0172,1.3755,42.605,30.9741912
CHAFAS,2,MW,0.0172,0.9148,47.214,51.61128115
LESCAP,1,MW,0.0177,1.6245,49.248,30.31578947
SYMNOV,1,NA,0.0178,1.3879,44.937,32.37769292
ELYCAN,3,SO,0.0179,1.8689,43.731,23.39932581
ELYCAN,1,SO,0.0191,1.6887,43.305,25.6439865
CORTRI,2,NA,0.0191,1.0688,41.621,38.94180389
HELOCC,4,NA,0.0198,2.038,40.129,19.69038273
TRAOHI,2,NA,0.0199,1.7991,37.539,20.86543272
SCHSCO,1,MI,0.0199,1.5427,46.541,30.16853568
SYMNOV,4,NA,0.0205,1.3688,44.034,32.16978375
SYMNOV,3,NA,0.0206,1.3697,43.09,31.45944367
DESCAN,1,NA,0.0207,2.1496,47.554,22.1222553
PARINT,1,NA,0.021,1.2015,41.941,34.90719933
ASTCAN,1,NA,0.0213,2.3072,48.536,21.03675451
CHAFAS,5,MI,0.0213,0.8966,46.296,51.6350658
SPOCRY,5,NA,0.0215,1.212,45.129,37.23514851
SCHSCO,4,MW,0.0217,1.5063,45.529,30.22571865
SOLRIG,2,NA,0.0219,1.5844,40.071,25.29096188
VERFAS,1,NA,0.0222,1.4929,41.967,28.11105901
SCHSCO,3,MW,0.0224,1.1483,48.272,42.037795
