transect_id,plot,light_available
Barn.North.East,1,0.091370558
Barn.North.East,2,0.122591944
Barn.North.East,3,0.049403748
Barn.North.East,4,0.04173913
Barn.North.East,5,0.061962134
Barn.North.West,1,0.015100671
Barn.North.West,2,0.077441077
Barn.North.West,3,0.064935065
Barn.North.West,4,0.206504065
Barn.North.West,5,0.277165354
Barn.South.East,1,0.100175747
Barn.South.East,2,0.143097643
Barn.South.East,3,0.171821306
Barn.South.East,4,0.050877193
Barn.South.East,5,0.076106195
Barn.South.West,1,0.028947368
Barn.South.West,2,0.140888208
Barn.South.West,3,0.100694444
Barn.South.West,4,0.014876033
Barn.South.West,5,0.016014235
Duck.Lake.East,1,0.127744511
Duck.Lake.East,2,0.19238477
Duck.Lake.East,3,0.153478854
Duck.Lake.East,4,0.097931034
Duck.Lake.East,5,0.064583333
Duck.Lake.West,1,0.219739292
Duck.Lake.West,2,0.073298429
Duck.Lake.West,3,0.100628931
Duck.Lake.West,4,0.339421613
Duck.Lake.West,5,0.467581998
Field.Lab.East,1,0.010045662
Field.Lab.East,2,0.063963964
Field.Lab.East,3,0.150812065
Field.Lab.East,4,0.009594883
Field.Lab.East,5,0.25678733
Field.Lab.West,1,0.065173116
Field.Lab.West,2,0.031578947
Field.Lab.West,3,0.019860973
Field.Lab.West,4,0.061926606
Field.Lab.West,5,0.11589404
LTER.Pot.Hole.North,1,0.151401869
LTER.Pot.Hole.North,2,0.184128952
LTER.Pot.Hole.North,3,0.070175439
LTER.Pot.Hole.North,4,0.202195263
LTER.Pot.Hole.North,5,0.231097561
LTER.Pot.Hole.South,1,0.238297872
LTER.Pot.Hole.South,2,0.128188776
LTER.Pot.Hole.South,3,0.068640646
LTER.Pot.Hole.South,4,0.072033898
LTER.Pot.Hole.South,5,0.265210608
No.Till.North,1,0.020380435
No.Till.North,2,0.053677932
No.Till.North,3,0.047297297
No.Till.North,4,0.037517053
No.Till.North,5,0.008597884
No.Till.South,1,0.012820513
No.Till.South,2,0.020735156
No.Till.South,3,0.042380523
No.Till.South,4,0.015097691
No.Till.South,5,0.09223301
Reed.Canary.North,1,0.344761905
Reed.Canary.North,2,0.078014184
Reed.Canary.North,3,0.223790323
Reed.Canary.North,4,0.106694561
Reed.Canary.North,5,0.089211618
Reed.Canary.South,1,0.199275362
Reed.Canary.South,2,0.302876481
Reed.Canary.South,3,0.098901099
Reed.Canary.South,4,0.190769231
Reed.Canary.South,5,0.026825633
Spruce.Lodge.West,1,0.042833608
Spruce.Lodge.West,2,0.039619651
Spruce.Lodge.West,3,0.106485188
Spruce.Lodge.West,4,0.062948207
Spruce.Lodge.West,5,0.006436042
Spruce.Lodge.East,1,0.090415913
Spruce.Lodge.East,2,0.064738292
Spruce.Lodge.East,3,0.111624835
Spruce.Lodge.East,4,0.066145092
Spruce.Lodge.East,5,0.02827381
Wetland.North,1,0.086131387
Wetland.North,2,0.025380711
Wetland.North,3,0.054154303
Wetland.North,4,0.05483871
Wetland.North,5,0.063182527
Wetland.South,1,0.062837838
Wetland.South,2,0.012916383
Wetland.South,3,0.095470383
Wetland.South,4,0.064084507
Wetland.South,5,0.05870021
Soil.Pit.East,1,0.057575758
Soil.Pit.East,2,0.112915129
Soil.Pit.East,3,0.121262458
Soil.Pit.East,4,0.089201878
Soil.Pit.East,5,0.024024024
Soil.Pit.West,1,0.079504012
Soil.Pit.West,2,0.110567515
Soil.Pit.West,3,0.1175
Soil.Pit.West,4,0.015350877
Soil.Pit.West,5,0.081186573
Succession.East,1,0.02173913
Succession.East,2,0.010309278
Succession.East,3,0.015243902
Succession.East,4,0.106786427
Succession.East,5,0.090555015
Succession.West,1,0.058386412
Succession.West,2,0.087954111
Succession.West,3,0.006523765
Succession.West,4,0.0625
Succession.West,5,0.19664903
Water.Tower.North,1,0.044444444
Water.Tower.North,2,0.067937034
Water.Tower.North,3,0.072222222
Water.Tower.North,4,0.076648841
Water.Tower.North,5,0.027707809
Water.Tower.South,1,0.036541889
Water.Tower.South,2,0.007936508
Water.Tower.South,3,0.109229467
Water.Tower.South,4,0.011100833
Water.Tower.South,5,0.027312775
