date,transect_id,plot1,plot2,plot3,plot4,plot5
5/19/2016,Barn.North.East,24.5,26.1,23.5,13.4,34.9
5/19/2016,Barn.North.West,22.4,21.9,15.7,10.2,13.1
5/19/2016,Barn.South.East,14.9,17.8,19.6,25.2,25.2
5/19/2016,Barn.South.West,20.5,12.2,21.8,19,20.7
5/19/2016,Duck.Lake.East,25.1,24.9,26.6,20.6,33.9
5/19/2016,Duck.Lake.West,19,17.7,15.2,15.6,16.8
5/19/2016,Field.Lab.East,15.8,22.1,19.3,26,28.1
5/19/2016,Field.Lab.West,40.7,32.3,27.7,32,27.6
5/19/2016,LTER.Pot.Hole.North,29,32.7,33.7,27.6,21.2
5/19/2016,LTER.Pot.Hole.South,25.9,30.4,38.9,39.3,30.8
5/19/2016,No.Till.North,37.7,24.6,30.2,35.3,29.8
5/19/2016,No.Till.South,31.9,36.1,29.4,25.7,32.4
5/19/2016,Reed.Canary.North ,34.8,37.7,27.2,31.3,43.4
5/19/2016,Reed.Canary.South,23.4,16.3,9.9,21.9,21.2
5/19/2016,Spruce.Lodge.West,32,28.7,34.2,32.7,21.2
5/19/2016,Spruce.Lodge.East,24.3,28.7,32.8,25,14.8
5/19/2016,Wetland.North,20.5,22.5,18.2,19.8,15.7
5/19/2016,Wetland.South,25.6,21.5,17.4,16.5,14.8
5/19/2016,Soil.Pit.East,20.1,15.1,22.6,21.1,28.8
5/19/2016,Soil.Pit.West,27.2,27,25.3,26.5,19.4
5/19/2016,Succession.East,24.1,24.4,25.8,19.2,20.9
5/19/2016,Succession.West,20.5,27.3,32.1,15.5,28.3
5/19/2016,Water.Tower.North,28.9,31.6,32.5,25.2,25.2
5/19/2016,Water.Tower.South,29.4,26,31,36.3,27
5/25/2016,Barn.North.East,13.1,9.7,9,12.5,16.1
5/25/2016,Barn.North.West,13.9,8.6,6.3,6.1,12.5
5/25/2016,Barn.South.East,14.1,10.6,8.4,10.1,10.8
5/25/2016,Barn.South.West,6.7,7.9,7.6,9.9,8.4
5/25/2016,Duck.Lake.East,15.1,14.9,17.5,14.5,18.8
5/25/2016,Duck.Lake.West,6.8,13.9,5.5,6.5,11.4
5/25/2016,Field.Lab.East,8,6.4,9.1,13.3,11.4
5/25/2016,Field.Lab.West,21.9,13.4,11.3,18.3,14.6
5/25/2016,LTER.Pot.Hole.North,22.2,25.5,30.8,26.7,15.3
5/25/2016,LTER.Pot.Hole.South,20.7,24.4,34.2,25.3,26.1
5/25/2016,No.Till.North,18.2,13,27,21.2,17.7
5/25/2016,No.Till.South,17.8,21.6,27.8,12.9,20.1
5/25/2016,Reed.Canary.North ,20.9,22.5,12.4,9.5,28.3
5/25/2016,Reed.Canary.South,7.2,3.1,1.3,7.8,11.3
5/25/2016,Spruce.Lodge.West,15.2,8,19.1,11.2,6.3
5/25/2016,Spruce.Lodge.East,18.4,14.8,18.8,14.4,10.8
5/25/2016,Wetland.North,14.4,15.4,14.1,10.3,9.6
5/25/2016,Wetland.South,11.6,10.3,4.7,9.4,7.6
5/25/2016,Soil.Pit.East,9.8,10,10.2,5.6,17.5
5/25/2016,Soil.Pit.West,17.5,12.7,11.8,26.8,15.6
5/25/2016,Succession.East,14.2,7.5,13.9,11.9,8.1
5/25/2016,Succession.West,14.4,15.2,15,17.5,17.9
5/25/2016,Water.Tower.North,17.3,27.7,21.9,14.7,15
5/25/2016,Water.Tower.South,15.5,13,22.4,22,10.4
6/2/2016,Barn.North.East,12,9.7,9.1,6.5,16.2
6/2/2016,Barn.North.West,10.5,11.8,8.5,9.1,8.7
6/2/2016,Barn.South.East,5.1,8.4,6.6,7.9,9.7
6/2/2016,Barn.South.West,10.3,9.1,8.4,13.8,8.1
