site,split,transect_id,total_exchange,pH,organic_matter,estimated_n_release,S,P,Bray_P,Ca,Mg,K,Na,Ca_percent,Mg_percent,K_percent,Na_percent,other_bases_percent,H_percent,B_percent,Fe,Mn,Cu,Zn,Al
Barn.North,East,Barn.North.East,14.32,5.9,3.72,87,13,138,141,1557,238,408,29,54.36,13.85,7.31,0.88,5.6,18,0.59,262,148,6.33,9.6,837
Barn.North,West,Barn.North.West,13.55,5.8,3.31,83,14,111,102,1442,215,321,22,53.21,13.22,6.07,0.71,5.8,21,0.62,234,137,6.46,9.99,798
Barn.South,East,Barn.South.East,11.5,6.1,3.2,82,11,160,191,1320,254,211,21,57.39,18.41,4.7,0.79,5.2,13.5,0.65,242,99,5.19,5.43,626
Barn.South,West,Barn.South.West,18.11,6.7,5.14,101,14,442,602,2437,397,337,19,67.28,18.27,4.77,0.46,4.7,4.5,0.78,355,79,6.47,29.38,608
Duck.Lake,East,Duck.Lake.East,10.88,5.9,2.84,77,13,53,21,1224,231,64,23,56.25,17.69,1.51,0.92,5.6,18,0.49,163,100,7.03,5.28,761
Duck.Lake,West,Duck.Lake.West,10.42,5.9,2.75,75,13,78,57,1178,208,90,24,56.53,16.63,2.21,1,5.6,18,0.34,148,165,6.13,5.93,823
Field.Lab,East,Field.Lab.East,11.48,6.6,3.37,84,14,82,72,1536,238,184,25,66.9,17.28,4.11,0.95,4.8,6,0.43,158,92,9.92,16.45,628
Field.Lab,West,Field.Lab.West,13.15,6.1,3.9,89,15,331,336,1597,223,291,24,60.72,14.13,5.67,0.79,5.2,13.5,0.48,350,54,6.46,28.71,665
LTER.Pot.Hole,North,LTER.Pot.Hole.North,10.61,5.2,2.97,79,13,24,4,855,113,141,35,40.29,8.88,3.41,1.43,7,39,0.3,133,95,10.61,3.97,693
LTER.Pot.Hole,South,LTER.Pot.Hole.South,10.92,5.2,3.08,81,13,24,9,872,115,188,22,39.93,8.78,4.41,0.88,7,39,0.31,143,119,8.59,3.87,765
No.Till,North,No.Till.North,12.96,5.5,4.15,92,14,34,21,1258,155,213,26,48.53,9.97,4.21,0.87,6.4,30,0.37,156,175,9.22,5.47,952
No.Till,South,No.Till.South,12.33,5.4,3.78,88,15,65,55,1165,122,186,29,47.24,8.25,3.87,1.02,6.6,33,0.49,188,208,9.43,6.86,1090
Reed.Canary,South,Reed.Canary.South,11.92,5.1,2.41,68,14,115,118,904,127,148,23,37.92,8.88,3.18,0.84,7.2,42,0.37,339,99,18.36,12.91,718
Reed.Canary,North,Reed.Canary.North,10.81,5.3,3.37,84,17,68,43,892,143,165,25,41.26,11.02,3.91,1.01,6.8,36,0.21,227,94,15.81,6.98,974
Spruce.Lodge,West,Spruce.Lodge.West,12.7,6.9,3.36,84,14,67,65,1814,281,147,35,71.42,18.44,2.97,1.2,4.5,1.5,0.65,276,121,9.25,6.17,584
Spruce.Lodge,East,Spruce.Lodge.East,10.58,5.7,2.47,69,12,57,54,1076,174,198,15,50.85,13.71,4.8,0.62,6,24,0.39,192,163,8.42,5.29,798
Wetland,North,Wetland.North,14.56,6.7,4.18,92,12,101,108,1801,425,237,16,61.85,24.32,4.17,0.48,4.7,4.5,0.62,202,49,7.21,6.3,759
Wetland,South,Wetland.South,10.55,7.3,2.39,68,12,127,127,1337,371,103,17,63.36,29.3,2.5,0.7,4.1,0,0.38,174,50,7.89,4.31,850
Soil.Pit,East,Soil.Pit.East,12.12,5,2.9,78,16,52,25,786,143,212,24,32.43,9.83,4.49,0.86,7.4,45,0.21,153,88,11.62,5.83,973
Soil.Pit,West,Soil.Pit.West,10.71,5.8,2.43,69,15,125,117,1103,173,315,17,51.49,13.46,7.54,0.69,5.8,21,0.45,204,84,4.97,13.21,831
Succession,East,Succession.East,7.86,5.2,1.73,55,16,159,123,607,91,137,23,38.61,9.65,4.47,1.27,7,39,0.34,238,71,6.62,4.75,950
Succession,West,Succession.West,8.15,5.7,2.23,65,12,82,72,868,112,131,22,53.25,11.45,4.12,1.17,6,24,0.3,147,91,5.27,4.04,709
Water.Tower,North,Water.Tower.North,13.37,7.1,3.25,82,11,44,47,1924,333,116,23,71.95,20.76,2.22,0.75,4.3,0,0.7,179,122,18.59,4.5,661
Water.Tower,South,Water.Tower.South,10.71,7.4,3.21,82,12,55,68,1525,277,97,23,71.2,21.55,2.32,0.93,4,0,0.61,188,97,11.6,6.44,533
