transect_id,clay,silt,sand
Barn.North.East,3.26,24.67,72.07
Barn.North.West,4.47,25,70.53
Barn.South.East,2.41,18.48,79.11
Barn.South.West,2.33,17.37,80.3
Duck.Lake.East,1.42,19.46,79.12
Duck.Lake.West,2.48,12.2,85.32
Field.Lab.East,1.37,16.53,82.1
Field.Lab.West,2.63,14.79,82.58
LTER.Pot.Hole.North,1.47,20.52,78.01
LTER.Pot.Hole.South,3.34,19.51,77.15
No.Till.North,1.44,21.32,77.24
No.Till.South,3.33,14.23,82.44
Reed.Canary.South,1.45,16.23,82.32
Reed.Canary.North,2.42,15.71,81.87
Spruce.Lodge.West,1.34,19.22,79.44
Spruce.Lodge.East,5.01,21.58,73.41
Wetland.North,3.45,28.26,68.29
Wetland.South,2.61,22.48,74.91
Soil.Pit.East,2.34,22.18,75.48
Soil.Pit.West,3.49,24.91,71.6
Succession.East,2.51,18.4,79.09
Succession.West,1.44,12.34,86.22
Water.Tower.North,4.53,28.07,67.4
Water.Tower.South,2.4,17.34,80.26
