transect_id,soil_whc
Succession.East,0.435325706
Wetland.North,0.631797123
Reed.Canary.North,0.68448519
Wetland.South,0.539002025
Barn.South.West,0.760893855
Spruce.Lodge.East,0.50250702
Spruce.Lodge.West,0.627942742
Barn.North.West,0.587725546
Reed.Canary.South,0.514897374
Barn.South.East,0.593870656
Soil.Pit.East,0.580338148
Soil.Pit.West,0.537286613
No.Till.South,0.670101748
No.Till.North,0.765888639
LTER.Pot.Hole.North,0.532413216
Field.Lab.West,0.677854989
LTER.Pot.Hole.South,0.590627656
Duck.Lake.West,0.553752772
Succession.West,0.507312277
Duck.Lake.East,0.50862852
Field.Lab.East,0.618953991
Water.Tower.North,0.589320154
Water.Tower.South,0.57529249
Barn.North.East,0.691197283
