species,seeds_m2,spp_trt
ANDGER,22.28,High
BOUCUR,22.28,High
BROKAL,15.82,High
CARBIC,4.2,High
CARBRE,7.21,High
CARGRA,1.94,High
CARMOL,6.14,High
CARMUH,1.51,High
CARNOR,3.12,High
CARVUL,24.76,High
ELYCAN,24.43,High
ELYTRA,10.23,High
ELYVIR,6.24,High
KOEMAC,24.76,High
PANVIR,13.89,High
SCHSCO,22.28,High
SORNUT,41.55,High
SPAPEC,4.84,High
SPOCRY,49.41,High
SPRHET,7.86,High
AGAFOE,5.6,High
AGANEP,5.6,High
ALLCER,1.83,High
AQUCAN,2.37,High
ARNATR,1.51,High
ASCTUB,1.08,High
ASCVER,1.4,High
ASTCAN,4.2,High
BAPLAC,0.86,High
CHAFAS,2.15,High
CORLAN,3.23,High
CORTRI,1.72,High
DALPUR,2.69,High
DESILL,0.54,High
DESCAN,0.86,High
DESILL,0.54,High
POTARG,14.21,High
ECHPUR,3.23,High
ERYYUC,3.66,High
GAUBIE,1.29,High
HELOCC,1.72,High
HELHEL,1.51,High
LESCAP,2.8,High
LIAASP,1.94,High
LIACYL,1.72,High
LUPPER,0.54,High
MONPUN,5.6,High
PARINT,0.86,High
PENDIG,8.07,High
PENHIR,7.75,High
PYCTEN,23.36,High
RATPIN,3.23,High
RUDHIR,2.26,High
RUDTRI,4.2,High
SENHEB,0.65,High
SILINT,0.65,High
SILLAC,0.32,High
SILTER,0.22,High
OLIRIG,2.58,High
SOLSPE,5.92,High
SYMERI,12.38,High
SYMLAE,13.56,High
SYMNOV,4.09,High
SYMOOL,9.9,High
TEPVIR,0.65,High
THATRI,2.26,High
TRAOHI,0.97,High
VERSTR,3.44,High
VERFAS,3.01,High
VERVIR,49.41,High
ZIZAUR,1.4,High
ANDGER,44.45,Low
BOUCUR,44.45,Low
ELYCAN,48.87,Low
KOEMAC,49.41,Low
SCHSCO,44.45,Low
CHAFAS,10.66,Low
CORLAN,16.36,Low
DALPUR,13.35,Low
ECHPUR,16.36,Low
LESCAP,13.89,Low
RATPIN,16.36,Low
RUDHIR,11.41,Low
