block	mesocosm	light	precipitation	nutrients	species	speciesgroup	sugar.perc	starch.perc	NSC.perc	C.perc	N.perc	CN.ratio	delta13C.perm
1	7	L40	P50	Nhi	2	EC	8.8	9.1	17.91	44.94	1.823	24.65167307	-29.78
1	7	L40	P50	Nhi	3	EC	7.6	17.3	24.84	44.99	1.457	30.8785175	-28.45
1	7	L40	P50	Nhi	5	DB	1.9	12.9	14.79	41.8	2.397	17.43846475	-26.76
1	7	L40	P50	Nhi	4	EC	7.2	10.4	17.58	45.58	1.383	32.95733912	-28.62
1	7	L40	P50	Nhi	1	EC	8	15.2	23.22	45.57	1.344	33.90625	-28.38
1	7	L40	P50	Nhi	6	DB	5.8	8.3	14.04	45.25	2.265	19.97792494	-30.71
1	7	L40	P50	Nhi	7	DB	9.7	10.2	19.82	44.37	2.257	19.65883917	-28.75
1	7	L40	P50	Nhi	8	DB	11.9	6.6	18.51	43.68	2.245	19.45657016	-30.24
2	20	L40	P50	Nhi	4	EC	6.8	8.1	14.81	45.33	1.3	34.86923077	-28.65
2	20	L40	P50	Nhi	2	EC	8.7	10.1	18.75	44.91	1.788	25.11744966	-29.99
2	20	L40	P50	Nhi	7	DB	8.8	5.3	14.1	44.71	2.358	18.96098388	-27.55
2	20	L40	P50	Nhi	6	DB	9.1	7.7	16.83	44.69	2.458	18.18144833	-30.66
2	20	L40	P50	Nhi	3	EC	7.4	21.5	28.92	45.31	1.654	27.39419589	-30.77
2	20	L40	P50	Nhi	1	EC	7.6	18.6	26.18	45.12	1.564	28.84910486	-29.42
2	20	L40	P50	Nhi	5	DB	3.3	5.3	8.64	45.57	2.33	19.55793991	-25.65
2	20	L40	P50	Nhi	8	DB	8.6	16.6	25.17	43.4	2.422	17.91907514	-28.44
3	48	L40	P50	Nhi	4	EC	7.1	8.5	15.6	45.64	1.456	31.34615385	-29.12
3	48	L40	P50	Nhi	1	EC	11.7	12.1	23.85	45.84	1.379	33.24147933	-28.62
3	48	L40	P50	Nhi	5	DB	7	10.9	17.94	44.79	2.022	22.15133531	-27.32
