ID	block	mesocosm	light	precipitation	nutrients	speciesgroup	species	leafdryweight.g	leaflength.cm	leafwidth.cm	leafarea.cm2	SLA.cm2g
1	1	7	L40	P50	Nhi	EC	2	0.0036125	1.94493125	0.17176875	0.668156819	184.956905
2	1	7	L40	P50	Nhi	EC	3	0.0019375	1.90841875	0.059890663	0.228592927	117.983446
3	1	7	L40	P50	Nhi	DB	5	0.7145	NA	NA	95.5513	133.7317005
4	1	7	L40	P50	Nhi	EC	4	0.009975	5.73793375	0.103543413	1.188250482	119.1228554
5	1	7	L40	P50	Nhi	EC	1	0.003525	3.18572125	0.1014875	0.646621771	183.4388002
6	1	7	L40	P50	Nhi	DB	6	0.0311	NA	NA	5.928203333	190.6174705
7	1	7	L40	P50	Nhi	DB	7	0.136066667	NA	NA	20.26885	148.9626409
8	1	7	L40	P50	Nhi	DB	8	0.144325	NA	NA	23.5365125	163.0799411
9	1	7	L40	P50	Nhi	EC	3	0.001975	1.93513625	0.058992775	0.228318115	115.6041087
10	1	7	L40	P50	Nhi	DB	6	0.036733333	NA	NA	7.544063333	205.373775
11	1	7	L40	P50	Nhi	EC	2	0.0028875	1.98159625	0.13926225	0.551923105	191.1422008
12	1	7	L40	P50	Nhi	EC	1	0.00145	2.12933125	0.07970245	0.339425835	234.0867827
13	1	7	L40	P50	Nhi	DB	5	0.4932	NA	NA	85.01653333	172.3773993
14	1	7	L40	P50	Nhi	EC	4	0.0144625	8.35965375	0.110055338	1.84004903	127.2289735
15	2	20	L40	P50	Nhi	EC	4	0.0083375	5.79802625	0.093025063	1.078723509	129.38213
16	2	20	L40	P50	Nhi	DB	7	0.0410875	NA	NA	7.4013475	180.1362336
17	2	20	L40	P50	Nhi	EC	2	0.0047625	2.30926	0.17493825	0.807955806	169.6495132
18	2	20	L40	P50	Nhi	DB	8	0.063	NA	NA	13.20259667	209.5650265
19	2	20	L40	P50	Nhi	DB	7	0.235633333	NA	NA	43.05723333	182.7298062
20	2	20	L40	P50	Nhi	DB	6	0.0373	NA	NA	6.955626667	186.4779267
21	2	20	L40	P50	Nhi	EC	3	0.001322222	1.902633333	0.058638067	0.22313348	168.7564138
22	2	20	L40	P50	Nhi	EC	1	0.00265	2.9895525	0.099504025	0.594945013	224.5075522
23	2	20	L40	P50	Nhi	EC	2	0.0039875	1.8835475	0.154137875	0.580652018	145.618061
24	2	20	L40	P50	Nhi	EC	3	0.00125	1.8082525	0.05456	0.197316513	157.8532102
25	2	20	L40	P50	Nhi	DB	5	0.44045	NA	NA	73.616125	167.138438
26	2	20	L40	P50	Nhi	DB	5	0.9752	NA	NA	138.28675	141.8034762
27	2	20	L40	P50	Nhi	DB	6	0.090466667	NA	NA	15.58963	172.3245763
28	2	20	L40	P50	Nhi	DB	7	0.164566667	NA	NA	28.25015667	171.6639052
29	2	20	L40	P50	Nhi	DB	8	0.093	NA	NA	17.36939667	186.7677061
30	2	20	L40	P50	Nhi	EC	1	0.0025	2.627556667	0.098196311	0.516032744	206.4130975
31	2	20	L40	P50	Nhi	EC	4	0.0119375	6.5578775	0.101894588	1.336424445	111.951786
32	3	48	L40	P50	Nhi	EC	4	0.0117625	6.90236	0.11136165	1.537316397	130.6963993
33	3	48	L40	P50	Nhi	EC	1	0.002888889	2.651566667	0.106232722	0.56336629	195.0114082
34	3	48	L40	P50	Nhi	DB	5	0.652166667	NA	NA	96.30033333	147.6621518
35	3	48	L40	P50	Nhi	EC	3	0.001375	2.03398375	0.064789425	0.263561275	191.6809274
36	3	48	L40	P50	Nhi	DB	6	0.083575	NA	NA	15.78195	188.8357762
37	3	48	L40	P50	Nhi	EC	2	0.003375	1.9132325	0.153173875	0.586114472	173.6635471
38	3	48	L40	P50	Nhi	DB	7	0.1068	NA	NA	19.39462667	181.597628
39	3	48	L40	P50	Nhi	EC	3	0.001675	2.4529225	0.066949588	0.328444299	196.0861487
40	3	48	L40	P50	Nhi	EC	2	0.005625	2.06572625	0.167104625	0.690384821	122.7350792
41	3	48	L40	P50	Nhi	DB	6	0.105733333	NA	NA	17.67949333	167.2083228
42	3	48	L40	P50	Nhi	DB	7	0.2345	NA	NA	36.211925	154.421855
43	3	48	L40	P50	Nhi	EC	4	0.0090125	6.54995625	0.094542725	1.238501425	137.4204078
44	3	48	L40	P50	Nhi	EC	1	0.0032375	2.68608625	0.125857375	0.676127529	208.84248
45	3	48	L40	P50	Nhi	DB	8	0.172366667	NA	NA	22.17674333	128.6602785
46	3	48	L40	P50	Nhi	DB	8	0.073033333	NA	NA	13.01679	178.2308079
47	3	48	L40	P50	Nhi	DB	5	0.30325	NA	NA	41.467525	136.7436933
48	1	9	L40	P50	Nlo	EC	3	0.0015125	1.86664625	0.059264175	0.2212505	146.2813223
49	1	9	L40	P50	Nlo	EC	4	0.0120125	7.82697875	0.09936305	1.555424962	129.4838678
50	1	9	L40	P50	Nlo	DB	7	0.180666667	NA	NA	25.31959	140.1453321
51	1	9	L40	P50	Nlo	DB	8	0.01082	NA	NA	1.8925016	174.9077264
52	1	9	L40	P50	Nlo	DB	6	0.061933333	NA	NA	11.44911	184.8618407
53	1	9	L40	P50	Nlo	EC	1	0.002425	2.79633375	0.080710025	0.451384334	186.1378696
54	1	9	L40	P50	Nlo	DB	5	0.843333333	NA	NA	107.6676	127.6690909
55	1	9	L40	P50	Nlo	EC	2	0.007028571	2.302964286	0.181466429	0.835821408	118.91768
56	1	9	L40	P50	Nlo	EC	1	0.003777778	3.050714444	0.105050633	0.640958969	169.6656094
57	1	9	L40	P50	Nlo	DB	5	0.725633333	NA	NA	128.5412333	177.1435068
58	1	9	L40	P50	Nlo	DB	8	0.081	NA	NA	15.05981333	185.9236214
59	1	9	L40	P50	Nlo	DB	7	0.1753	NA	NA	29.64296333	169.0984788
60	1	9	L40	P50	Nlo	DB	6	0.060466667	NA	NA	11.64306	192.5533627
61	1	9	L40	P50	Nlo	EC	4	0.01715	8.5827175	0.115221013	1.977818801	115.3247114
62	1	9	L40	P50	Nlo	EC	3	0.0022875	2.52045375	0.0619995	0.312533745	136.6267736
63	1	9	L40	P50	Nlo	EC	2	0.0054375	2.23729875	0.17688725	0.791499247	145.5630798
64	2	19	L40	P50	Nlo	EC	2	0.005575	2.3286725	0.158286125	0.737193093	132.2319449
65	2	19	L40	P50	Nlo	DB	5	0.510075	NA	NA	70.070525	137.3729844
66	2	19	L40	P50	Nlo	DB	6	0.024833333	NA	NA	6.402303333	257.8108725
67	2	19	L40	P50	Nlo	EC	4	0.031925	10.9095425	0.12900675	2.814809244	88.16943599
68	2	19	L40	P50	Nlo	EC	3	0.0023375	2.607645	0.062094163	0.323839065	138.5407764
69	2	19	L40	P50	Nlo	DB	8	0.075333333	NA	NA	14.17138	188.1156637
70	2	19	L40	P50	Nlo	EC	1	0.0037125	3.119475	0.111517113	0.695749689	187.4073236
71	2	19	L40	P50	Nlo	DB	7	0.112933333	NA	NA	18.72286667	165.7868949
72	2	19	L40	P50	Nlo	EC	1	0.0025625	2.5792925	0.1009913	0.520972205	203.3062265
73	2	19	L40	P50	Nlo	EC	4	0.008775	7.791815	0.096770988	1.508043264	171.8567822
74	2	19	L40	P50	Nlo	DB	5	0.48495	NA	NA	84.019775	173.2545108
75	2	19	L40	P50	Nlo	DB	6	0.085333333	NA	NA	16.35545667	191.6655078
76	2	19	L40	P50	Nlo	EC	3	0.0013625	2.0731525	0.060206675	0.249635238	183.218523
77	2	19	L40	P50	Nlo	DB	8	0.048775	NA	NA	9.7026275	198.926243
78	2	19	L40	P50	Nlo	DB	7	0.0546	NA	NA	11.9396475	218.6748626
79	2	19	L40	P50	Nlo	EC	2	0.0049375	2.44617	0.156837375	0.767301763	155.4028888
80	3	47	L40	P50	Nlo	EC	4	0.015225	8.771345	0.105894925	1.857681842	122.0152277
81	3	47	L40	P50	Nlo	DB	5	0.768233333	NA	NA	125.1748	162.9385169
82	3	47	L40	P50	Nlo	DB	7	0.129633333	NA	NA	22.79605	175.8502186
83	3	47	L40	P50	Nlo	DB	6	0.081266667	NA	NA	18.1886	223.8137818
84	3	47	L40	P50	Nlo	DB	8	0.119133333	NA	NA	20.06385333	168.4151091
85	3	47	L40	P50	Nlo	EC	1	0.004475	3.75003	0.118093388	0.885707492	197.9234619
86	3	47	L40	P50	Nlo	EC	2	0.006625	2.29682875	0.163454375	0.750853416	113.3363646
87	3	47	L40	P50	Nlo	EC	3	0.00115	2.17717625	0.0671441	0.29236908	254.2339823
88	3	47	L40	P50	Nlo	EC	2	0.0039125	2.268285	0.159788375	0.724891148	185.2756929
89	3	47	L40	P50	Nlo	DB	6	0.0703	NA	NA	10.3077975	146.6258535
90	3	47	L40	P50	Nlo	DB	5	0.435333333	NA	NA	98.13066667	225.4150077
91	3	47	L40	P50	Nlo	EC	1	0.0030875	2.84153	0.110014763	0.625220496	202.5005656
92	3	47	L40	P50	Nlo	DB	7	0.191266667	NA	NA	31.46558	164.511572
93	3	47	L40	P50	Nlo	DB	8	0.026133333	NA	NA	3.959393333	151.507398
94	3	47	L40	P50	Nlo	EC	4	0.017525	9.88032375	0.106329525	2.101140262	119.8938809
95	3	47	L40	P50	Nlo	EC	3	0.0013375	1.72865625	0.056888163	0.196680155	147.0505834
96	1	2	L60	P50	Nhi	DB	5	0.367214286	NA	NA	41.01761429	111.699397
97	1	2	L60	P50	Nhi	EC	2	0.003675	2.0492825	0.149606375	0.613171452	166.8493748
98	1	2	L60	P50	Nhi	DB	6	0.06686	NA	NA	12.032914	179.9717918
99	1	2	L60	P50	Nhi	DB	7	0.105075	NA	NA	16.2097425	154.2683084
100	1	2	L60	P50	Nhi	EC	3	0.00165	2.37801	0.063109588	0.30015046	181.9093699
101	1	2	L60	P50	Nhi	EC	4	0.0147875	7.36346	0.110292038	1.624262013	109.8402037
102	1	2	L60	P50	Nhi	EC	1	0.00242	2.285862	0.1096731	0.501395143	207.1880758
103	1	2	L60	P50	Nhi	DB	8	0.234766667	NA	NA	41.5026	176.7823371
104	1	2	L60	P50	Nhi	DB	8	0.420366667	NA	NA	50.20076667	119.4213782
105	1	2	L60	P50	Nhi	DB	8	0.246466667	NA	NA	33.79003333	137.097782
106	1	2	L60	P50	Nhi	EC	4	0.0083875	6.71494	0.093932375	1.261500524	150.402447
107	1	2	L60	P50	Nhi	DB	7	0.241166667	NA	NA	34.86743333	144.5781617
108	1	2	L60	P50	Nhi	DB	6	0.1967	NA	NA	31.23882667	158.8145738
109	1	2	L60	P50	Nhi	EC	2	0.0059125	2.59956875	0.191578	0.996040364	168.4634865
110	1	2	L60	P50	Nhi	EC	1	0.00325	3.062585	0.107642175	0.659326621	202.8697296
111	1	2	L60	P50	Nhi	EC	3	0.001375	1.9532775	0.06248935	0.244118083	177.5404238
112	1	2	L60	P50	Nhi	DB	5	1.298733333	NA	NA	169.5652333	130.5620091
113	2	30	L60	P50	Nhi	EC	1	0.0019875	2.11936	0.09240515	0.391679557	197.0714754
114	2	30	L60	P50	Nhi	DB	5	0.67898	NA	NA	85.78126	126.3384194
115	2	30	L60	P50	Nhi	EC	3	0.000388889	1.057368556	0.0536925	0.113545522	291.9742003
116	2	30	L60	P50	Nhi	DB	7	0.2352	NA	NA	28.64628	121.7954082
117	2	30	L60	P50	Nhi	EC	4	0.009	6.14786375	0.107629488	1.323382849	147.0425388
118	2	30	L60	P50	Nhi	EC	2	0.005175	2.10582625	0.1660505	0.699347003	135.1395176
119	2	30	L60	P50	Nhi	DB	6	0.051666667	NA	NA	10.51857667	203.5853548
120	2	30	L60	P50	Nhi	DB	7	0.137666667	NA	NA	24.66077333	179.1339467
121	2	30	L60	P50	Nhi	DB	7	0.134666667	NA	NA	24.42145	181.347401
122	2	30	L60	P50	Nhi	EC	4	0.0171375	8.00364	0.112451675	1.800045448	105.0354747
123	2	30	L60	P50	Nhi	DB	5	0.301466667	NA	NA	50.08216667	166.1283724
124	2	30	L60	P50	Nhi	EC	3	0.0013	1.77287	0.051560957	0.182821748	140.632114
125	2	30	L60	P50	Nhi	EC	2	0.00425	2.3659975	0.17330875	0.820096138	192.9637973
126	2	30	L60	P50	Nhi	EC	1	0.0021625	2.14883	0.09803675	0.421328619	194.8340435
127	2	30	L60	P50	Nhi	DB	6	0.058333333	NA	NA	9.485153333	162.6026286
128	3	51	L60	P50	Nhi	DB	5	0.817666667	NA	NA	98.47646667	120.435956
129	3	51	L60	P50	Nhi	EC	2	0.001225	1.32218875	0.108095788	0.285846068	233.3437292
130	3	51	L60	P50	Nhi	EC	3	0.0015375	2.2890275	0.066883013	0.30619411	199.1506405
131	3	51	L60	P50	Nhi	EC	1	0.0035375	2.69040125	0.1185472	0.63787907	180.3191718
132	3	51	L60	P50	Nhi	EC	4	0.010625	6.7280575	0.103265338	1.389550257	130.7812007
133	3	51	L60	P50	Nhi	EC	1	0.0038375	3.3402375	0.124533388	0.831942182	216.792751
134	3	51	L60	P50	Nhi	DB	8	0.083066667	NA	NA	12.83319333	154.4926966
135	3	51	L60	P50	Nhi	DB	6	0.083133333	NA	NA	14.40926	173.3271051
136	3	51	L60	P50	Nhi	DB	8	0.162866667	NA	NA	22.74709667	139.6669873
137	3	51	L60	P50	Nhi	EC	4	0.009425	5.79697375	0.104069725	1.206578928	128.0189844
138	3	51	L60	P50	Nhi	DB	5	0.28725	NA	NA	46.2207	160.9075718
139	3	51	L60	P50	Nhi	DB	6	0.053	NA	NA	12.71158	239.8411321
140	3	51	L60	P50	Nhi	EC	2	0.00545	2.460735	0.189954125	0.934853528	171.5327574
141	3	51	L60	P50	Nhi	EC	3	0.00135	1.8195925	0.068908775	0.25077178	185.7568743
142	3	51	L60	P50	Nhi	DB	7	0.101025	NA	NA	15.9256625	157.6408067
143	1	3	L60	P50	Nlo	DB	5	0.219833333	NA	NA	29.64689333	134.8607733
144	1	3	L60	P50	Nlo	EC	1	0.0017625	2.06627625	0.093923163	0.3881424	220.2226383
145	1	3	L60	P50	Nlo	EC	2	0.004525	2.4531275	0.15725675	0.771541716	170.5064566
146	1	3	L60	P50	Nlo	DB	8	0.117166667	NA	NA	18.48491667	157.7660028
147	1	3	L60	P50	Nlo	EC	4	0.008675	6.21994625	0.0914164	1.137210189	131.0905117
148	1	3	L60	P50	Nlo	EC	3	0.0013	1.9075025	0.0545248	0.208012385	160.0095266
149	1	3	L60	P50	Nlo	DB	7	0.140533333	NA	NA	25.34618	180.3570683
150	1	3	L60	P50	Nlo	DB	6	0.0335	NA	NA	7.58458	226.4053731
151	1	3	L60	P50	Nlo	DB	7	0.053033333	NA	NA	8.729306667	164.6003771
152	1	3	L60	P50	Nlo	DB	5	0.470333333	NA	NA	72.5876	154.3322466
153	1	3	L60	P50	Nlo	EC	2	0.0057	2.220011429	0.148231	0.658149028	115.4647418
154	1	3	L60	P50	Nlo	EC	4	0.012628571	6.759224286	0.111018371	1.500796145	118.8413237
155	1	3	L60	P50	Nlo	EC	3	0.0015	1.82895375	0.054695825	0.200072268	133.3815123
156	1	3	L60	P50	Nlo	DB	6	0.0456	NA	NA	8.152116667	178.7744883
157	1	3	L60	P50	Nlo	DB	8	0.02585	NA	NA	4.6004975	177.9689555
158	1	3	L60	P50	Nlo	EC	1	0.002475	2.3287525	0.100097213	0.466203268	188.3649566
159	2	29	L60	P50	Nlo	EC	2	0.004175	2.25979	0.1600035	0.723148619	173.2092499
160	2	29	L60	P50	Nlo	DB	7	0.1364	NA	NA	22.09727333	162.0034702
161	2	29	L60	P50	Nlo	DB	5	0.255133333	NA	NA	54.88666667	215.1293441
162	2	29	L60	P50	Nlo	EC	1	0.0019	2.28235375	0.089178613	0.407074281	214.2496217
163	2	29	L60	P50	Nlo	DB	6	0.065233333	NA	NA	14.17491667	217.2956055
164	2	29	L60	P50	Nlo	EC	4	0.011075	7.35549625	0.099182713	1.45907614	131.7450239
165	2	29	L60	P50	Nlo	EC	3	0.002525	2.6301775	0.06968485	0.366567049	145.175069
166	2	29	L60	P50	Nlo	DB	6	0.0958	NA	NA	16.79173333	175.2790536
167	2	29	L60	P50	Nlo	DB	5	1.065766667	NA	NA	161.0521	151.1138461
168	2	29	L60	P50	Nlo	EC	4	0.013025	7.1071	0.102518375	1.457216686	111.8784404
169	2	29	L60	P50	Nlo	EC	2	0.005575	2.4707025	0.18607775	0.919485524	164.9301389
170	2	29	L60	P50	Nlo	EC	3	0.001825	2.0166175	0.064567913	0.260417565	142.6945559
171	2	29	L60	P50	Nlo	DB	8	0.168433333	NA	NA	26.01741	154.4671086
172	2	29	L60	P50	Nlo	DB	8	0.061833333	NA	NA	11.3557	183.6501348
173	2	29	L60	P50	Nlo	EC	1	0.004125	3.64220125	0.1036538	0.755056	183.0438788
174	2	29	L60	P50	Nlo	DB	7	0.195033333	NA	NA	30.35023333	155.6156213
175	3	49	L60	P50	Nlo	EC	1	0.0017625	1.75440375	0.10762355	0.377630319	214.2583373
176	3	49	L60	P50	Nlo	DB	6	0.0466	NA	NA	8.35799	179.3560086
177	3	49	L60	P50	Nlo	EC	4	0.0159375	8.44248875	0.108503825	1.832084644	114.9543306
178	3	49	L60	P50	Nlo	DB	7	0.1382	NA	NA	24.26933	175.6102026
179	3	49	L60	P50	Nlo	DB	5	0.477966667	NA	NA	66.9477	140.0677174
180	3	49	L60	P50	Nlo	EC	2	0.00595	2.61023	0.150465375	0.785498472	132.0165498
181	3	49	L60	P50	Nlo	EC	3	0.0016625	1.8855175	0.072633363	0.273902952	164.7536554
182	3	49	L60	P50	Nlo	EC	2	0.0055875	2.3423825	0.17297675	0.810355424	145.0300536
183	3	49	L60	P50	Nlo	EC	1	0.002875	2.44535125	0.113792638	0.556525937	193.5742389
184	3	49	L60	P50	Nlo	DB	5	0.052925	NA	NA	11.58576125	218.9090458
185	3	49	L60	P50	Nlo	DB	8	0.0763	NA	NA	13.49852	176.9137615
186	3	49	L60	P50	Nlo	EC	3	0.0020125	1.91779125	0.069875713	0.26801406	133.1746882
187	3	49	L60	P50	Nlo	DB	7	0.122333333	NA	NA	22.8815	187.0422343
188	3	49	L60	P50	Nlo	EC	4	0.0159625	10.2394975	0.105102025	2.152383844	134.8400216
189	3	49	L60	P50	Nlo	DB	6	0.0433	NA	NA	7.241366667	167.2371055
190	1	5	L40	P100	Nhi	EC	2	0.004575	1.98478875	0.14889625	0.591055204	129.1923943
191	1	5	L40	P100	Nhi	EC	1	0.00505	3.06608	0.117648675	0.721440499	142.8595047
192	1	5	L40	P100	Nhi	DB	8	0.069325	NA	NA	10.6892525	154.1904436
193	1	5	L40	P100	Nhi	EC	3	0.00205	2.1020775	0.0628487	0.264225676	128.8905738
194	1	5	L40	P100	Nhi	DB	8	0.083666667	NA	NA	16.27262	194.4934661
195	1	5	L40	P100	Nhi	DB	6	0.053433333	NA	NA	11.82506667	221.305053
196	1	5	L40	P100	Nhi	EC	4	0.0099875	6.454775	0.107334625	1.385641708	138.7375928
197	1	5	L40	P100	Nhi	DB	5	0.977333333	NA	NA	154.7875	158.3773874
198	1	5	L40	P100	Nhi	DB	7	0.194866667	NA	NA	28.39569667	145.7185939
199	1	5	L40	P100	Nhi	DB	8	0.158433333	NA	NA	30.04481667	189.6369661
200	1	5	L40	P100	Nhi	DB	7	0.265166667	NA	NA	46.64163333	175.8955374
201	1	5	L40	P100	Nhi	EC	3	0.0014625	1.88783875	0.060215838	0.227355583	155.4568087
202	1	5	L40	P100	Nhi	DB	5	0.871075	NA	NA	109.10665	125.2551732
203	1	5	L40	P100	Nhi	EC	2	0.0037375	1.8809825	0.1535765	0.577749418	154.581784
204	1	5	L40	P100	Nhi	EC	4	0.0066875	5.215505	0.09556645	0.996854596	149.0623694
205	1	36	L40	P100	Nhi	DB	6	0.0439	NA	NA	9.49813	216.3583144
206	1	5	L40	P100	Nhi	EC	1	0.0023875	2.72030125	0.094176213	0.512375337	214.6074711
207	2	36	L40	P100	Nhi	DB	7	0.104866667	NA	NA	19.60200333	186.9231087
208	2	36	L40	P100	Nhi	DB	5	0.5989	NA	NA	106.1027667	177.1627428
209	2	36	L40	P100	Nhi	EC	2	0.003914286	1.776568571	0.135064014	0.479900966	122.6024365
210	2	36	L40	P100	Nhi	EC	1	0.001625	1.520745	0.093705525	0.285004417	175.3873337
211	2	36	L40	P100	Nhi	DB	6	0.0318	NA	NA	9.4593975	297.4653302
212	2	36	L40	P100	Nhi	EC	4	0.0161375	10.5385025	0.11605985	2.446194039	151.5844486
213	2	36	L40	P100	Nhi	EC	3	0.00075	1.001759625	0.058869738	0.117946652	157.2622031
214	2	36	L40	P100	Nhi	DB	8	0.107966667	NA	NA	16.14843333	149.568694
215	2	36	L40	P100	Nhi	DB	7	0.200566667	NA	NA	39.05893333	194.7428951
216	2	36	L40	P100	Nhi	EC	2	0.003375	1.83536375	0.151749125	0.557029686	165.045833
217	2	36	L40	P100	Nhi	EC	1	0.0043875	3.8112825	0.133674375	1.018941612	232.2374045
218	2	36	L40	P100	Nhi	DB	8	0.015466667	NA	NA	2.493316333	161.2057974
219	2	36	L40	P100	Nhi	DB	5	0.971625	NA	NA	146.7731	151.0594108
220	2	36	L40	P100	Nhi	EC	4	0.01235	8.54057	0.103313125	1.764705952	142.8911702
221	2	36	L40	P100	Nhi	DB	8	0.019	NA	NA	2.550712	134.248
222	2	36	L40	P100	Nhi	EC	3	0.00155	1.7743975	0.070480763	0.250121778	161.3688887
223	2	36	L40	P100	Nhi	DB	6	0.0229	NA	NA	3.9659375	173.1850437
224	3	37	L40	P100	Nhi	DB	7	0.125633333	NA	NA	20.13247333	160.2478642
225	3	37	L40	P100	Nhi	EC	4	0.0131125	6.8213975	0.119080863	1.624595796	123.8967242
226	3	37	L40	P100	Nhi	EC	3	0.001125	1.8331375	0.058637963	0.214982896	191.0959075
227	3	37	L40	P100	Nhi	EC	2	0.0013	1.28235875	0.120236038	0.30837147	237.2088227
228	3	37	L40	P100	Nhi	EC	1	0.00185	2.10347375	0.107836975	0.453664492	245.2240499
229	3	37	L40	P100	Nhi	DB	6	0.089533333	NA	NA	13.92472	155.5255398
230	3	37	L40	P100	Nhi	DB	5	0.830775	NA	NA	143.464975	172.6881225
231	3	37	L40	P100	Nhi	DB	5	0.777925	NA	NA	134.19995	172.5101392
232	3	37	L40	P100	Nhi	EC	2	0.007222222	3.049898889	0.205156889	1.251415535	173.2729202
233	3	37	L40	P100	Nhi	EC	4	0.0162125	9.444625	0.103964688	1.963814973	121.1296822
234	3	37	L40	P100	Nhi	DB	7	0.066733333	NA	NA	12.11674333	181.5695804
235	3	37	L40	P100	Nhi	DB	6	0.129066667	NA	NA	19.30153667	149.54703
236	3	37	L40	P100	Nhi	EC	1	0.005575	3.56082875	0.152513625	1.086149801	194.8250765
237	3	37	L40	P100	Nhi	EC	3	0.00185	2.03314125	0.067850063	0.275897522	149.1337956
238	1	6	L40	P100	Nlo	DB	7	0.0474	NA	NA	10.979095	231.6264768
239	1	6	L40	P100	Nlo	DB	6	0.061333333	NA	NA	11.02861667	179.8144022
240	1	6	L40	P100	Nlo	EC	4	0.0146875	8.93536	0.104110675	1.860532722	126.6745683
