Seed Indiv	Plant	Week	Time	Age	Competition Treatment	Date Germinated	Inflo Weight (g)	Seed #	Seed Weight (mg)		Week 6: 6/27-7/3
358	28	6	early	old	NoComp	.	0.0549	4	0.348		Week 7: 7/5-7/10
613	55	6	early	young	Comp	4	0.1639	47	0.94		Week 8: 7/11-7/17
1004	57	6	early	young	Comp	.	0.0216	1	0.629		Week 9: 7/18-7/24
987	73	6	early	young	NoComp	.	0.2196	102	0.605		Week 11: 8/1-8/7
1013	77	6	early	young	NoComp	5	0.2329	48	0.892		Week 13: 8/15-8/21
1009	85	6	early	young	NoComp	3	0.2805	.	1.183		Week 14: 8/22-8/28
602	87	6	early	young	NoComp	4	0.0877	6	1.016		Week 15: 8/29-9/4
923	88	6	early	old	NoComp	4	0.1454	14	0.438		Week 16: 9/5-9/11
996	91	6	early	young	NoComp	5	0.0649	1	0.356		Week 17:Ê 9/12-9/18
696	92	6	early	old	NoComp	3	0.1011	36	0.624		Week 18: 9/19-9/25
293	94	6	early	old	NoComp	17	0.1265	28	1.02		Week 19: 9/26-10/2
445	100	6	early	old	NoComp	4	0.1368	45	0.899		Week 20: 10/3-10/9
632	104	6	early	old	NoComp	3	0.1876	67	1.12		Week 21: 10/10-10/16
792	107	6	early	young	NoComp	.	0.156	18	0.754		Week 22: 10/17-10/23
886	108	6	early	old	NoComp	3	0.1041	47	1.241		Week 23: 10/24-10/30
39	118	6	early	old	Comp	.	.	.	1.224		Week 24: 10/31-11/6
773	123	6	early	young	Comp	4	0.1549	9	0.505		Week 25: 11/7-11/13
992	126	6	early	old	Comp	5	0.2025	47	0.441		Week 26: 11/14-11/20
993	149	6	early	young	NoComp	3	0.1581	92	0.589		
283	168	6	early	old	NoComp	.	0.436	5	0.396		
991	191	6	early	young	Comp	4	0.1745	.	1.336		
988	212	6	early	old	Comp	4	0.0325	16	0.62		
1010	213	6	early	young	Comp	7	0.1388	57	0.661		
816	214	6	early	old	Comp	4	0.0935	8	0.705		
174	218	6	early	old	NoComp	.	0.1082	15	0.821		
1008	4	7	early	old	NoComp	.	0.2752	89	1.244		
716	17	7	early	young	NoComp	8	0.1016	1	0.454		
736	18	7	early	old	NoComp	.	0.0357	3	0.374		
829	73	7	early	young	NoComp	.	0.2812	80	1.529		
462	85	7	early	young	NoComp	.	0.4267	138	1.038		
311	96	7	early	old	NoComp	5	0.0464	67	0.626		
284	97	7	early	young	NoComp	4	0.0989	20	1.655		
601	98	7	early	old	NoComp	.	0.2332	72	1.519		
79	100	7	early	old	NoComp	.	0.1189	37	0.782		
559	104	7	early	old	NoComp	3	0.2421	95	1.3		
278	116	7	early	old	Comp	4	0.1688	68	1.159		
350	122	7	early	old	Comp	.	0.2405	147	0.74		
386	123	7	early	young	Comp	.	0.1308	79	0.724		
557	126	7	early	old	Comp	.	0.3887	116	1.3		
235	127	7	early	young	Comp	3	0.2077	152	0.657		
485	128	7	early	old	Comp	.	0.1069	58	0.983		
474	129	7	early	young	Comp	.	0.698	5	0.549		
31	146	7	early	old	NoComp	7	0.0811	8	0.619		
343	149	7	early	young	NoComp	.	0.2048	132	1.292		
1003	162	7	early	old	NoComp	8	0.105	13	0.251		
43	176	7	early	old	NoComp	5	0.1659	92	0.772		
208	193	7	early	young	Comp	.	0.1901	67	0.747		
511	209	7	early	young	Comp	.	0.0815	27	0.867		
98	213	7	early	young	Comp	4	0.1682	48	1.676		
184	218	7	early	old	NoComp	.	0.08	23	0.846		
612	4	8	early	old	NoComp	.	0.3086	130	1.033		
754	13	8	early	young	NoComp	.	0.1626	81	1.148		
782	18	8	early	old	NoComp	3	0.1708	97	0.71		
938	20	8	early	old	NoComp	.	0.1256	43	1.475		
374	45	8	early	young	Comp	.	0.1649	54	1.178		
67	46	8	early	old	Comp	4	0.1151	22	0.57		
869	50	8	early	old	Comp	4	0.0275	3	0.773		
419	58	8	early	old	Comp	6	0.2165	46	1.674		
444	73	8	early	young	NoComp	.	0.3298	103	1.494		
995	74	8	early	old	NoComp	3	.	.	1.272		
95	75	8	early	young	NoComp	.	0.0682	35	0.302		
990	76	8	early	old	NoComp	4	0.2266	159	0.985		
856	79	8	early	young	NoComp	4	0.2259	92	1.36		
422	80	8	early	old	NoComp	11	0.1169	14	1.43		
989	83	8	early	young	NoComp	.	0.1159	34	1.264		
140	84	8	early	old	NoComp	4	0.0421	1	0.777		
994	85	8	early	young	NoComp	.	0.2633	153	0.889		
316	87	8	early	young	NoComp	7	0.0592	7	1.1		
366	89	8	early	young	NoComp	.	0.0772	2	0.527		
600	91	8	early	young	NoComp	4	0.1882	39	1.702		
493	92	8	early	old	NoComp	.	0.1626	94	1.2		
668	93	8	early	young	NoComp	4	0.1438	47	1.517		
775	96	8	early	old	NoComp	.	0.1057	28	0.752		
381	100	8	early	old	NoComp	7	0.0864	3	1.716		
984	101	8	early	young	NoComp	4	.	.	1.076		
521	104	8	early	old	NoComp	4	0.2465	96	1.456		
205	107	8	early	young	NoComp	.	0.3226	69	1.459		
664	108	8	early	old	NoComp	4	0.1291	83	1.609		
811	111	8	early	young	Comp	4	0.1168	38	0.545		
1002	115	8	early	young	Comp	5	0.0483	9	0.274		
786	116	8	early	old	Comp	4	0.1169	6	1.067		
161	118	8	early	old	Comp	4	0.0672	13	0.886		
553	119	8	early	young	Comp	.	0.2972	45	1.648		
158	121	8	early	young	Comp	.	0.0903	10	2.174		
97	122	8	early	old	Comp	.	0.1106	77	0.685		
997	127	8	early	young	Comp	.	0.1209	74	0.753		
149	128	8	early	old	Comp	5	0.0998	80	0.906		
199	130	8	early	old	Comp	5	0.0387	17	0.425		
188	131	8	early	young	Comp	.	0.207	62	1.358		
457	133	8	early	young	Comp	3	0.065	37	0.221		
388	135	8	early	young	Comp	.	0.0853	22	0.781		
976	137	8	early	young	Comp	.	.	.	1.718		
819	138	8	early	old	Comp	.	0.0657	2	0.266		
401	140	8	early	old	Comp	4	0.117	34	1.107		
670	141	8	early	young	Comp	4	0.4382	172	1.687		
228	144	8	early	old	Comp	3	0.063	12	0.341		
488	149	8	early	young	NoComp	.	0.2219	143	0.6		
190	150	8	early	old	NoComp	.	0.3064	77	0.825		
541	153	8	early	young	NoComp	4	0.0371	1	0.331		
9	165	8	early	young	NoComp	6	0.291	176	0.76		
267	176	8	early	old	NoComp	4	0.2578	100	0.888		
443	177	8	early	young	NoComp	6	0.1209	60	0.693		
145	178	8	early	old	NoComp	.	0.1017	40	1.28		
163	182	8	early	old	Comp	.	0.1216	63	0.944		
755	191	8	early	young	Comp	.	0.2751	140	2.193		
778	193	8	early	young	Comp	.	0.1238	10	1.864		
74	194	8	early	old	Comp	6	0.1841	76	0.988		
753	204	8	early	old	Comp	4	0.1124	30	0.877		
537	209	8	early	young	Comp	.	0.1572	86	0.741		
806	212	8	early	old	Comp	.	0.0627	20	0.709		
574	213	8	early	young	Comp	.	0.2249	85	1.616		
998	217	8	early	young	NoComp	5	0.0494	9	0.835		
693	218	8	early	old	NoComp	4	0.0555	2	0.65		
352	4	9	peak	old	NoComp	.	0.135	65	0.966		
615	18	9	peak	old	NoComp	4	0.2566	133	1.538		
66	20	9	peak	old	NoComp	5	0.1375	78	1.931		
1001	22	9	peak	old	NoComp	5	0.0928	28	0.298		
16	27	9	peak	young	NoComp	5	0.0867	33	1.472		
703	28	9	peak	old	NoComp	.	0.157	32	1.012		
655	29	9	peak	young	NoComp	4	.	.	0.988		
598	32	9	peak	old	NoComp	.	0.1805	104	1.331		
1007	33	9	peak	young	NoComp	7	0.091	22	0.648		
162	45	9	peak	young	Comp	.	0.2513	124	1.314		
255	46	9	peak	old	Comp	5	0.1254	74	1.336		
982	48	9	peak	old	Comp	4	.	.	1.173		
727	50	9	peak	old	Comp	4	0.1417	62	1.088		
946	53	9	peak	young	Comp	.	.	.	0.977		
536	55	9	peak	young	Comp	.	0.1524	18	1.605		
92	57	9	peak	young	Comp	3	.	.	1.57		
756	58	9	peak	old	Comp	.	0.1746	56	0.989		
1011	59	9	peak	young	Comp	.	0.1541	69	0.493		
64	61	9	peak	young	Comp	5	0.1448	57	1.05		
977	63	9	peak	young	Comp	7	.	.	1.855		
2	66	9	peak	old	Comp	4	0.0968	37	1.102		
530	67	9	peak	young	Comp	4	0.0505	20	0.585		
335	69	9	peak	young	Comp	.	0.1115	49	1.4		
295	71	9	peak	young	Comp	.	.	.	1.006		
871	73	9	peak	young	NoComp	.	0.4065	167	1.274		
417	75	9	peak	young	NoComp	4	0.1545	98	0.91		
357	76	9	peak	old	NoComp	4	0.1244	87	1.258		
631	77	9	peak	young	NoComp	3	0.1915	40	1.933		
96	79	9	peak	young	NoComp	4	0.1765	70	1.472		
677	80	9	peak	old	NoComp	.	0.1021	12	1.18		
1	83	9	peak	young	NoComp	.	0.2818	135	1.765		
340	84	9	peak	old	NoComp	.	0.0889	78	0.694		
980	85	9	peak	young	NoComp	.	.	.	1.109		
258	86	9	peak	old	NoComp	.	0.1834	101	1.141		
732	87	9	peak	young	NoComp	.	0.1429	57	1.638		
968	88	9	peak	old	NoComp	5	0.1921	138	1.034		
137	89	9	peak	young	NoComp	.	0.1372	95	0.791		
576	90	9	peak	old	NoComp	4	0.2189	97	1.214		
638	91	9	peak	young	NoComp	.	0.1675	38	2.046		
687	92	9	peak	old	NoComp	4	0.0568	16	0.7		
822	94	9	peak	old	NoComp	4	0.2209	79	1.624		
342	95	9	peak	young	NoComp	.	0.2367	27	1.09		
56	98	9	peak	old	NoComp	.	.	.	1.398		
642	99	9	peak	young	NoComp	4	0.0677	42	0.558		
680	100	9	peak	old	NoComp	.	0.0915	11	1.483		
710	101	9	peak	young	NoComp	.	0.2809	116	1.315		
17	103	9	peak	young	NoComp	4	0.2376	59	1.189		
654	104	9	peak	old	NoComp	8	0.1269	64	1.916		
609	105	9	peak	young	NoComp	.	0.1731	18	1.552		
217	106	9	peak	old	NoComp	4	0.0564	28	1.875		
814	107	9	peak	young	NoComp	7	0.3699	98	1.398		
12	108	9	peak	old	NoComp	.	0.101	39	1.477		
514	109	9	peak	young	Comp	.	0.2128	63	0.771		
983	110	9	peak	old	Comp	.	.	.	1.421		
876	111	9	peak	young	Comp	.	0.1703	42	1.281		
464	112	9	peak	old	Comp	.	0.0824	17	0.702		
853	113	9	peak	young	Comp	.	0.304	127	1.341		
791	115	9	peak	young	Comp	.	0.173	59	0.91		
979	116	9	peak	old	Comp	.	.	.	1.289		
300	119	9	peak	young	Comp	.	0.2168	34	1.423		
4	120	9	peak	old	Comp	.	0.1584	56	1.282		
467	121	9	peak	young	Comp	4	0.1156	13	1.649		
799	122	9	peak	old	Comp	6	0.1548	75	0.639		
194	123	9	peak	young	Comp	4	0.1684	107	1.382		
966	125	9	peak	young	Comp	.	0.1022	21	1.68		
805	126	9	peak	old	Comp	.	0.2158	90	1.178		
793	127	9	peak	young	Comp	.	0.1266	83	1.164		
313	128	9	peak	old	Comp	.	.	.	0.689		
406	129	9	peak	young	Comp	5	0.2539	105	1.194		
849	130	9	peak	old	Comp	4	0.1284	47	0.436		
947	131	9	peak	young	Comp	10	0.2315	114	1.043		
1005	132	9	peak	old	Comp	6	0.1398	93	0.558		
142	133	9	peak	young	Comp	4	0.1821	.	1.239		
480	135	9	peak	young	Comp	.	0.1732	55	1.53		
15	137	9	peak	young	Comp	.	0.2029	51	1.754		
719	138	9	peak	old	Comp	.	0.2264	102	1.197		
836	140	9	peak	old	Comp	10	0.1943	84	1.574		
963	141	9	peak	young	Comp	.	0.1348	72	1.191		
673	143	9	peak	young	Comp	.	0.1772	96	1.299		
504	146	9	peak	old	NoComp	.	0.189	68	1.293		
940	149	9	peak	young	NoComp	6	0.1662	111	1.187		
370	150	9	peak	old	NoComp	.	0.1989	69	1.601		
527	153	9	peak	young	NoComp	3	0.1221	26	0.949		
797	154	9	peak	old	NoComp	.	0.1756	82	1.313		
739	158	9	peak	old	NoComp	.	0.1768	59	1.475		
393	162	9	peak	old	NoComp	.	0.3776	200	1.314		
572	165	9	peak	young	NoComp	7	0.3828	195	1.251		
302	167	9	peak	young	NoComp	.	0.2186	101	1.905		
262	168	9	peak	old	NoComp	.	.	.	1.259		
261	172	9	peak	old	NoComp	.	0.1738	68	1.453		
164	176	9	peak	old	NoComp	.	.	.	1.043		
543	177	9	peak	young	NoComp	.	0.2216	128	1.07		
479	178	9	peak	old	NoComp	.	0.132	30	1.454		
930	181	9	peak	young	Comp	.	.	.	1.457		
44	182	9	peak	old	Comp	.	0.1754	65	1.13		
52	183	9	peak	young	Comp	5	0.3364	135	1.144		
330	185	9	peak	young	Comp	.	0.2134	98	0.819		
306	187	9	peak	young	Comp	.	0.1437	65	0.937		
498	188	9	peak	old	Comp	.	0.1362	66	0.728		
438	191	9	peak	young	Comp	.	.	.	1.4		
218	193	9	peak	young	Comp	.	0.2164	124	1.492		
132	194	9	peak	old	Comp	4	0.1376	105	1.066		
169	199	9	peak	young	Comp	5	0.3493	215	1.123		
617	204	9	peak	old	Comp	.	0.1896	91	1.195		
518	206	9	peak	old	Comp	.	0.1815	71	0.996		
701	209	9	peak	young	Comp	.	0.2817	146	0.926		
737	212	9	peak	old	Comp	.	0.1861	69	0.977		
839	213	9	peak	young	Comp	.	.	.	1.39		
294	214	9	peak	old	Comp	.	.	.	1.149		
902	216	9	peak	old	Comp	4	0.0872	43	0.85		
758	217	9	peak	young	NoComp	8	0.023	1	0.834		
389	218	9	peak	old	NoComp	.	.	.	0.911		
692	220	9	peak	old	NoComp	.	0.2421	53	1.838		
75	1	11	peak	young	NoComp	4	0.0995	33	0.501		
363	4	11	peak	old	NoComp	.	.	.	0.927		
47	5	11	peak	young	NoComp	4	.	.	1.061		
801	11	11	peak	young	NoComp	3	0.0447	6	0.733		
948	13	11	peak	young	NoComp	5	.	.	1.165		
367	17	11	peak	young	NoComp	3	0.1261	45	0.973		
315	18	11	peak	old	NoComp	.	.	.	1.584		
867	19	11	peak	young	NoComp	5	.	.	0.64		
129	20	11	peak	old	NoComp	.	0.0573	32	1.051		
24	21	11	peak	young	NoComp	5	.	.	1.052		
761	22	11	peak	old	NoComp	.	0.15	108	1.043		
972	27	11	peak	young	NoComp	3	0.0789	16	1.869		
411	28	11	peak	old	NoComp	.	0.1155	48	0.854		
659	29	11	peak	young	NoComp	.	.	.	0.443		
577	32	11	peak	old	NoComp	.	.	.	0.601		
1012	33	11	peak	young	NoComp	5	0.1019	46	1.474		
207	34	11	peak	old	NoComp	4	0.1287	41	1.159		
40	35	11	peak	young	NoComp	5	.	.	1.387		
192	36	11	peak	old	NoComp	5	0.1393	118	0.797		
630	38	11	peak	old	Comp	.	.	.	1.093		
173	45	11	peak	young	Comp	.	.	.	1.065		
13	46	11	peak	old	Comp	.	0.1316	98	1.367		
109	48	11	peak	old	Comp	.	.	.	1.166		
592	50	11	peak	old	Comp	4	.	.	1.697		
269	53	11	peak	young	Comp	.	.	.	0.981		
939	55	11	peak	young	Comp	.	0.1411	44	1.293		
705	57	11	peak	young	Comp	14	.	.	1.373		
815	58	11	peak	old	Comp	.	0.0902	46	1.413		
78	61	11	peak	young	Comp	3	.	.	0.881		
68	63	11	peak	young	Comp	.	.	.	0.878		
584	65	11	peak	young	Comp	3	.	.	1.012		
863	66	11	peak	old	Comp	.	.	.	0.7		
65	67	11	peak	young	Comp	.	0.076	43	1.403		
607	69	11	peak	young	Comp	.	.	.	1.19		
742	71	11	peak	young	Comp	4	.	.	0.72		
336	73	11	peak	young	NoComp	4	.	.	1.355		
461	74	11	peak	old	NoComp	4	.	.	1.13		
587	75	11	peak	young	NoComp	5	.	.	1.193		
817	76	11	peak	old	NoComp	3	.	.	1.312		
833	77	11	peak	young	NoComp	.	0.1608	77	1.327		
360	79	11	peak	young	NoComp	.	0.1895	84	1.124		
303	80	11	peak	old	NoComp	.	.	.	0.989		
604	81	11	peak	young	NoComp	.	.	.	0.66		
215	83	11	peak	young	NoComp	.	0.2123	117	1.147		
233	84	11	peak	old	NoComp	.	.	.	0.795		
326	85	11	peak	young	NoComp	.	.	.	0.908		
191	86	11	peak	old	NoComp	.	.	.	0.95		
924	87	11	peak	young	NoComp	.	.	.	0.993		
897	88	11	peak	old	NoComp	.	.	.	0.67		
337	89	11	peak	young	NoComp	5	0.1306	58	0.758		
622	90	11	peak	old	NoComp	.	.	.	1.338		
20	91	11	peak	young	NoComp	.	0.1875	73	1.439		
331	92	11	peak	old	NoComp	.	.	.	1.17		
582	93	11	peak	young	NoComp	.	.	.	1.185		
623	94	11	peak	old	NoComp	.	0.0681	19	1.548		
957	95	11	peak	young	NoComp	5	.	.	1.231		
868	97	11	peak	young	NoComp	.	.	.	1.408		
698	98	11	peak	old	NoComp	4	0.2114	133	1.149		
351	99	11	peak	young	NoComp	.	.	.	1.239		
885	100	11	peak	old	NoComp	.	0.1238	45	0.939		
108	101	11	peak	young	NoComp	.	.	.	0.887		
120	102	11	peak	old	NoComp	5	.	.	0.84		
189	103	11	peak	young	NoComp	.	0.1854	71	1.27		
277	104	11	peak	old	NoComp	3	.	.	1.34		
770	105	11	peak	young	NoComp	.	.	.	1.44		
314	106	11	peak	old	NoComp	.	.	.	1.113		
960	107	11	peak	young	NoComp	.	.	.	1.071		
658	108	11	peak	old	NoComp	7	0.0935	78	0.806		
925	109	11	peak	young	Comp	5	0.2678	117	0.553		
491	110	11	peak	old	Comp	.	0.1128	62	0.982		
788	111	11	peak	young	Comp	7	0.2094	113	0.946		
715	112	11	peak	old	Comp	.	0.128	66	0.983		
177	113	11	peak	young	Comp	.	.	.	1.356		
729	114	11	peak	old	Comp	4	0.1948	80	1.352		
772	115	11	peak	young	Comp	4	0.1416	38	1.218		
507	116	11	peak	old	Comp	.	.	.	0.843		
563	117	11	peak	young	Comp	.	.	.	0.832		
384	118	11	peak	old	Comp	7	0.1783	102	1.435		
324	119	11	peak	young	Comp	.	.	.	0.111		
517	120	11	peak	old	Comp	.	.	.	1.199		
781	121	11	peak	young	Comp	.	.	.	0.932		
591	123	11	peak	young	Comp	.	0.2871	129	0.867		
708	124	11	peak	old	Comp	.	0.1341	75	0.938		
964	125	11	peak	young	Comp	.	0.12	61	1.169		
490	126	11	peak	old	Comp	.	0.2271	125	1.029		
918	127	11	peak	young	Comp	4	.	.	1.012		
892	128	11	peak	old	Comp	.	0.034	56	1.049		
176	129	11	peak	young	Comp	.	.	.	1.604		
37	133	11	peak	young	Comp	.	0.1694	67	1.291		
542	134	11	peak	old	Comp	.	.	.	0.618		
242	135	11	peak	young	Comp	.	0.1833	90	1.437		
307	137	11	peak	young	Comp	.	0.1679	61	1.383		
597	138	11	peak	old	Comp	3	.	.	0.622		
864	140	11	peak	old	Comp	8	.	.	1.605		
82	141	11	peak	young	Comp	.	0.0882	31	1.222		
196	142	11	peak	old	Comp	4	0.1157	75	0.93		
629	143	11	peak	young	Comp	4	0.1821	63	1.378		
694	144	11	peak	old	Comp	.	.	.	1.169		
889	145	11	peak	young	NoComp	.	.	.	1.323		
468	146	11	peak	old	NoComp	.	0.2295	106	1.622		
896	148	11	peak	old	NoComp	.	0.1461	53	1.415		
569	149	11	peak	young	NoComp	.	.	.	0.725		
5	153	11	peak	young	NoComp	6	.	40	1.996		
921	154	11	peak	old	NoComp	.	0.1698	101	1.171		
881	155	11	peak	young	NoComp	.	.	.	1.555		
748	157	11	peak	young	NoComp	4	0.04	12	0.422		
476	158	11	peak	old	NoComp	4	0.0125	1	1.248		
119	159	11	peak	young	NoComp	.	0.0743	10	1.407		
410	162	11	peak	old	NoComp	.	0.1238	77	1.479		
434	163	11	peak	young	NoComp	4	.	.	1.444		
870	165	11	peak	young	NoComp	.	.	.	1.279		
281	167	11	peak	young	NoComp	.	.	.	1.251		
69	168	11	peak	old	NoComp	.	.	.	1.052		
460	172	11	peak	old	NoComp	.	.	.	0.915		
243	176	11	peak	old	NoComp	.	0.1344	82	0.816		
926	181	11	peak	young	Comp	.	0.1287	41	0.885		
547	182	11	peak	old	Comp	4	0.0968	28	1.477		
59	183	11	peak	young	Comp	5	0.2255	81	1		
30	185	11	peak	young	Comp	4	0.1325	11	1.168		
239	186	11	peak	old	Comp	.	0.0914	31	1.317		
877	187	11	peak	young	Comp	.	.	.	1.169		
41	188	11	peak	old	Comp	4	.	.	0.79		
958	191	11	peak	young	Comp	.	.	.	1.477		
152	193	11	peak	young	Comp	.	.	.	1.062		
891	194	11	peak	old	Comp	.	0.0965	52	0.643		
585	199	11	peak	young	Comp	.	.	.	1.208		
565	203	11	peak	young	Comp	.	.	.	1.43		
253	204	11	peak	old	Comp	.	.	.	1.352		
969	206	11	peak	old	Comp	14	0.1581	95	1.14		
954	209	11	peak	young	Comp	.	.	.	1.052		
735	212	11	peak	old	Comp	.	.	.	0.893		
341	213	11	peak	young	Comp	.	.	.	1.375		
455	214	11	peak	old	Comp	.	0.0809	43	1.276		
481	217	11	peak	young	NoComp	.	0.1391	31	0.616		
171	218	11	peak	old	NoComp	.	.	.	1.107		
941	220	11	peak	old	NoComp	4	.	.	0.747		
463	1	13	peak	young	NoComp	6	0.1277	66	1.134		
676	4	13	peak	old	NoComp	54	0.1041	63	1.077		
35	5	13	peak	young	NoComp	5	0.2199	87	1.496		
459	7	13	peak	young	NoComp	.	0.1302	66	1.274		
412	9	13	peak	young	NoComp	5	.	.	1.224		
