Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
1a	1	young	NoComp	0	4	63	27.4	1.2	32.88	alive	.	.	.	.		May 2016	0
1a	4	old	NoComp	0	1	30	24.6	2.1	51.66	alive	.	.	.	.		June	1
1b	5	young	NoComp	0	3	55	13.7	1.3	17.81	alive	.	.	.	.		July	2
1a	7	young	NoComp	0	1	39	20.5	2.6	53.3	alive	.	.	.	.		August	3
1a	9	young	NoComp	0	1	50	36	2.2	79.2	alive	.	.	.	.		September	4
1b	11	young	NoComp	0	3	47	14.2	1.1	15.62	alive	.	.	.	.		October	5
1a	13	young	NoComp	0	1	31	29.3	2.9	84.97	alive	.	.	.	.		November	6
1b	14	old	NoComp	0	2	42	22.5	0.8	18	alive	.	.	.	.		December	7
1a	16	old	NoComp	0	5	90	21.5	0.5	10.75	alive	.	.	.	.		January	8
1b	17	young	NoComp	0	4	77	32.3	2	64.6	alive	.	.	.	.		February	9
1b	18	old	NoComp	0	5	71	23	1.1	25.3	alive	.	.	.	.		March	10
1b	19	young	NoComp	0	2	40	23	1.5	34.5	alive	.	.	.	.		April	11
1a	20	old	NoComp	0	3	59	21.3	1.2	25.56	alive	.	.	.	.		May 2017	12
1a	21	young	NoComp	0	1	30	35.4	2.9	102.66	alive	.	.	.	.			
1a	22	old	NoComp	0	9	79	16	0.7	11.2	alive	.	.	.	.			
1a	23	young	NoComp	0	5	69	29.7	1.9	56.43	alive	.	.	.	.			
1a	27	young	NoComp	0	2	63	39.5	2.3	90.85	alive	.	.	.	.			
1a	28	old	NoComp	0	5	57	25.5	1.7	43.35	alive	.	.	.	.			
1a	29	young	NoComp	0	2	52	34.1	2.4	81.84	alive	.	.	.	.			
1b	30	old	NoComp	0	4	56	22.4	1.3	29.12	alive	.	.	.	.			
1a	32	old	NoComp	0	5	66	18.4	1.1	20.24	alive	.	.	.	.			
1b	33	young	NoComp	0	1	33	36.1	3.3	119.13	alive	.	.	.	.			
1b	34	old	NoComp	0	3	61	23.6	1.9	44.84	alive	.	.	.	.			
1b	35	young	NoComp	0	1	38	36.3	2.2	79.86	alive	.	.	.	.			
1a	36	old	NoComp	0	4	83	26.1	1.1	28.71	alive	.	.	.	.			
1b	38	old	Comp	0	4	51	20.5	1.1	22.55	alive	.	.	.	.			
1a	45	young	Comp	0	2	34	22	1.4	30.8	alive	.	.	.	.			
1b	46	old	Comp	0	4	66	16.9	1.3	21.97	alive	.	.	.	.			
1b	48	old	Comp	0	4	62	31.5	1.7	53.55	alive	.	.	.	.			
1b	50	old	Comp	0	4	53	25.5	1.6	40.8	alive	.	.	.	.			
1a	53	young	Comp	0	1	50	34.2	2.2	75.24	alive	.	.	.	.			
1a	55	young	Comp	0	1	33	35.2	2.4	84.48	alive	.	.	.	.			
1a	57	young	Comp	0	5	53	9.6	1.2	11.52	alive	.	.	.	.			
1b	58	old	Comp	0	1	36	31.7	2.2	69.74	alive	.	.	.	.			
1a	59	young	Comp	0	2	43	30.6	2.1	64.26	alive	.	.	.	.			
1a	61	young	Comp	0	1	48	37.3	2.4	89.52	alive	.	.	.	.			
1a	63	young	Comp	0	4	49	12.3	0.7	8.61	alive	.	.	.	.			
1a	65	young	Comp	0	4	42	24.3	1.5	36.45	alive	.	.	.	.			
1a	66	old	Comp	0	4	44	22.5	1.3	29.25	alive	.	.	.	.			
1b	67	young	Comp	0	3	43	18.6	1.4	26.04	alive	.	.	.	.			
1b	69	young	Comp	0	1	40	31	3.4	105.4	alive	.	.	.	.			
1a	71	young	Comp	0	2	37	17.6	2.2	38.72	alive	.	.	.	.			
1a	72	old	Comp	0	1	59	27.2	1.7	46.24	alive	.	.	.	.			
2b	73	young	NoComp	0	1	41	31.2	1.9	59.28	alive	.	.	.	.			
2a	74	old	NoComp	0	4	80	28.2	1.2	33.84	alive	.	.	.	.			
2b	75	young	NoComp	0	4	93	20.9	2.1	43.89	alive	.	.	.	.			
2a	76	old	NoComp	0	1	30	33.3	1.9	63.27	alive	.	.	.	.			
2b	77	young	NoComp	0	1	21	30.5	2.6	79.3	alive	.	.	.	.			
2a	79	young	NoComp	0	5	72	12.4	1.2	14.88	alive	.	.	.	.			
2a	80	old	NoComp	0	5	63	30	1.6	48	alive	.	.	.	.			
2b	81	young	NoComp	0	4	60	24.3	1.8	43.74	alive	.	.	.	.			
2b	82	old	NoComp	0	1	27	29.1	1.3	37.83	alive	.	.	.	.			
2a	83	young	NoComp	0	3	48	28.1	1.1	30.91	alive	.	.	.	.			
2a	84	old	NoComp	0	4	38	20.1	0.9	18.09	alive	.	.	.	.			
2a	85	young	NoComp	0	1	25	35.6	1.9	67.64	alive	.	.	.	.			
2b	86	old	NoComp	0	10	81	21.2	1.2	25.44	alive	.	.	.	.			
2a	87	young	NoComp	0	1	25	36	2.1	75.6	alive	.	.	.	.			
2b	88	old	NoComp	0	3	40	23.9	1.4	33.46	alive	.	.	.	.			
2a	89	young	NoComp	0	5	57	23	1.2	27.6	alive	.	.	.	.			
2a	90	old	NoComp	0	6	111	27.1	1.5	40.65	alive	.	.	.	.			
2b	91	young	NoComp	0	5	77	18.7	1	18.7	alive	.	.	.	.			
2a	92	old	NoComp	0	4	53	19.7	1.2	23.64	alive	.	.	.	.			
2a	93	young	NoComp	0	2	51	28.7	1.7	48.79	alive	.	.	.	.			
2b	94	old	NoComp	0	1	26	34.4	1.8	61.92	alive	.	.	.	.			
2a	95	young	NoComp	0	1	39	32.4	3.2	103.68	alive	.	.	.	.			
2a	96	old	NoComp	0	3	44	16.6	1.9	31.54	alive	.	.	.	.			
2a	97	young	NoComp	0	2	18	32.6	1.4	45.64	alive	.	.	.	.			
2a	98	old	NoComp	0	1	43	31.6	2.3	72.68	alive	.	.	.	.			
2b	99	young	NoComp	0	1	26	33.9	2.2	74.58	alive	.	.	.	.			
2a	100	old	NoComp	0	6	91	11.5	0.6	6.9	alive	.	.	.	.			
2a	101	young	NoComp	0	3	41	22.5	1.4	31.5	alive	.	.	.	.			
2b	102	old	NoComp	0	5	42	15.6	1.4	21.84	alive	.	.	.	.			
2a	103	young	NoComp	0	1	30	37.5	1.8	67.5	alive	.	.	.	.			
2b	104	old	NoComp	0	3	28	23.3	1.2	27.96	alive	.	.	.	.			
2a	105	young	NoComp	0	1	28	32.6	2.5	81.5	alive	.	.	.	.			
2a	106	old	NoComp	0	5	39	26	1.5	39	alive	.	.	.	.			
2a	107	young	NoComp	0	2	39	44.1	2.5	110.25	alive	.	.	.	.			
2a	108	old	NoComp	0	8	103	22.8	1.2	27.36	alive	.	.	.	.			
2a	109	young	Comp	0	2	36	14.6	1	14.6	alive	.	.	.	.			
2b	110	old	Comp	0	4	67	26.8	0.8	21.44	alive	.	.	.	.			
2a	111	young	Comp	0	4	62	28.4	1	28.4	alive	.	.	.	.			
2a	112	old	Comp	0	6	73	28	0.9	25.2	alive	.	.	.	.			
2a	113	young	Comp	0	6	65	15.2	1.2	18.24	alive	.	.	.	.			
2a	114	old	Comp	0	7	81	18.1	1.2	21.72	alive	.	.	.	.			
2b	115	young	Comp	0	2	54	17.2	1.2	20.64	alive	.	.	.	.			
2a	116	old	Comp	0	8	88	19.4	1.2	23.28	alive	.	.	.	.			
2b	117	young	Comp	0	6	66	26.6	2.5	66.5	alive	.	.	.	.			
2a	118	old	Comp	0	7	76	27	1.2	32.4	alive	.	.	.	.			
2a	119	young	Comp	0	3	25	17.3	1.3	22.49	alive	.	.	.	.			
2b	120	old	Comp	0	6	99	24.6	1.3	31.98	alive	.	.	.	.			
2a	121	young	Comp	0	6	117	21.5	1.1	23.65	alive	.	.	.	.			
2b	122	old	Comp	0	3	52	22.1	0.8	17.68	alive	.	.	.	.			
2a	123	young	Comp	0	1	35	34.6	2.7	93.42	alive	.	.	.	.			
2a	124	old	Comp	0	1	26	24.7	1.9	46.93	alive	.	.	.	.			
2b	125	young	Comp	0	5	55	23.6	2.9	68.44	alive	.	.	.	.			
2b	126	old	Comp	0	1	39	33	2.5	82.5	alive	.	.	.	.			
2a	127	young	Comp	0	5	72	25.8	1.4	36.12	alive	.	.	.	.			
