id_vegrec,location,LAI,soil_depth
1_1,KW,6.14,12.5
1_1,KW,4.05,29.5
1_1,KW,4.22,16.5
1_2,KW,4.01,20.7
1_2,KW,2.73,14.5
1_2,KW,4.04,17.7
1_3,KW,4.7,17.2
1_3,KW,2.43,17
1_3,KW,3.17,12.6
1_4,KW,,
1_4,KW,,
1_4,KW,,
1_5,KW,,
1_5,KW,,
1_5,KW,,
,KW,,
,KW,,
,KW,,
,KW,,
,KW,,
2_1,Bo,1.97,11.3
2_1,Bo,1.49,14.5
2_1,Bo,0.891,13.4
2_1,Bo,1.53,16.3
2_1,Bo,0.41,13.5
2_2,Bo,0.459,15.1
2_2,Bo,0.867,14.9
2_2,Bo,0.416,16.8
2_2,Bo,0.246,9
2_2,Bo,0.385,12.5
2_3,Bo,1.73,11.9
2_3,Bo,1.08,12.5
2_3,Bo,0.861,14.6
2_3,Bo,0.64,7.3
2_3,Bo,0.682,9.4
2_4,Bo,0.922,5.8
2_4,Bo,0.541,5
2_4,Bo,0.137,5.4
2_4,Bo,1.04,5.1
2_4,Bo,0.619,8.8
2_5,Bo,0.655,10.4
2_5,Bo,1.92,20.8
2_5,Bo,0.676,16
2_5,Bo,1.19,16.6
2_5,Bo,0.468,12.4
3_1,Ha,1.2,7.8
3_1,Ha,1.29,7.6
3_1,Ha,1.95,9
3_1,Ha,1.43,8.6
3_1,Ha,2.72,10.4
3_2,Ha,1.72,10.1
3_2,Ha,0.855,13.2
3_2,Ha,1.31,14.4
3_2,Ha,3.33,11.1
3_2,Ha,1.46,17.7
3_3,Ha,1.34,16.6
3_3,Ha,4.29,9.7
3_3,Ha,0.788,9.5
3_3,Ha,1.99,14.3
3_3,Ha,1.3,11.4
3_4,Ha,3.38,15.9
3_4,Ha,2.37,13.3
3_4,Ha,2.36,14.4
3_4,Ha,4.72,14.2
3_4,Ha,2.71,15.8
3_5,Ha,3.28,22.4
3_5,Ha,3.39,25.2
3_5,Ha,4.71,15.4
3_5,Ha,2.12,18.9
3_5,Ha,3.71,14.7
4_1,Wo,1.38,6.5
4_1,Wo,2.12,17.2
4_1,Wo,1.52,16.6
4_1,Wo,2.37,16.3
4_1,Wo,1.96,17.1
4_2,Wo,1.43,15.2
4_2,Wo,1.39,17
4_2,Wo,1.83,17.3
4_2,Wo,2.56,24.1
4_2,Wo,1.37,22.1
4_3,Wo,2.2,15.8
4_3,Wo,1.99,19.7
4_3,Wo,2.76,18.5
4_3,Wo,1.3,13.8
4_3,Wo,2.22,14
4_4,Wo,4.82,13.9
4_4,Wo,3.74,19.6
4_4,Wo,1.74,24.5
4_4,Wo,2.6,16.6
4_4,Wo,1.94,19.8
4_5,Wo,2.02,16.8
4_5,Wo,1.73,20
4_5,Wo,2.06,20.3
4_5,Wo,1.97,17.4
4_5,Wo,1.23,25.7
5_1,Ba,1.57,18.5
5_1,Ba,2.16,11.3
5_1,Ba,4.26,14.7
5_1,Ba,4.06,30.3
5_1,Ba,2.59,15.9
5_2,Ba,0.973,17.2
5_2,Ba,1.34,22.4
5_2,Ba,1.36,26.3
5_2,Ba,1.08,13.3
5_2,Ba,1.25,35.2
5_3,Ba,1.64,24.7
5_3,Ba,1.71,31.8
5_3,Ba,2.32,21.5
5_3,Ba,2.98,15.8
5_3,Ba,2.19,21.3
5_4,Ba,1.19,25.9
5_4,Ba,0.837,24.6
5_4,Ba,0.864,10
5_4,Ba,1.66,17.2
5_4,Ba,1.72,24.9
5_5,Ba,4.17,21.2
5_5,Ba,4.82,43
5_5,Ba,3.66,49.8
5_5,Ba,3.62,17.1
5_5,Ba,3.9,30.4
6_1,St,0.76,23.4
6_1,St,1,20.6
6_1,St,1.56,29.4
6_1,St,1.48,14.8
6_1,St,2.27,20.6
6_2,St,1.47,23.3
6_2,St,2.23,19.4
6_2,St,1.84,28.6
6_2,St,1.7,24.1
6_2,St,2.21,22.5
6_3,St,1.09,19.8
