location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
KW,KW_01,44.50,1.39,1317.65,15.56,285.62,,,290.26,2.42
KW,KW_02,59.00,1.04,1321.21,15.83,275.91,,,305.00,2.71
KW,KW_03,62.50,0.89,682.55,17.13,276.74,,,278.77,2.79
KW,KW_04,51.00,1.09,954.25,15.84,270.36,,,283.94,2.63
KW,KW_05,52.00,0.67,711.78,18.81,267.78,,,194.45,3.09
KW,KW_06,42.00,0.91,954.12,15.38,288.54,,,266.01,2.37
KW,KW_07,67.00,1.04,979.56,17.01,253.47,,,247.90,4.06
KW,KW_08,56.50,1.37,1350.23,13.28,292.06,,,235.98,3.02
KW,KW_09,53.00,0.68,737.16,19.58,246.64,,,265.07,3.29
KW,KW_10,43.50,0.35,570.69,17.64,270.37,,,289.22,2.79
KW,KW_11,42.00,0.50,700.90,13.61,278.83,,,244.62,3.52
KW,KW_12,50.50,0.57,713.34,16.30,267.50,,,216.94,2.69
KW,KW_13,71.00,2.05,1065.27,15.19,286.68,,,239.62,3.58
KW,KW_14,41.50,,860.64,16.35,269.31,,,270.41,3.1
KW,KW_15,48.50,0.94,960.11,16.06,271.39,,,247.35,3
KW,KW_16,47.50,0.49,637.53,15.00,275.53,,,262.65,2.82
KW,KW_17,57.50,1.02,862.98,16.48,240.14,,,258.21,3.4
KW,KW_18,56.50,0.93,653.62,17.74,266.06,,,290.22,2.25
KW,KW_19,47.00,0.73,1137.05,17.49,255.35,,,241.36,3.04
KW,KW_20,48.00,0.72,640.71,17.97,271.62,,,278.84,2.37
Bo,Bo_01,12.40,0.11,160.40,21.68,233.07,0.85,12.49,222.18,3.04
Bo,Bo_02,10.30,0.17,186.67,19.15,271.59,0.86,14.55,232.56,4.74
Bo,Bo_03,9.50,0.19,249.41,17.56,292.18,0.85,8.57,165.67,3.74
Bo,Bo_04,13.30,0.30,227.73,17.25,275.57,0.79,1.42,243.91,3.06
Bo,Bo_05,16.50,0.33,371.73,15.68,278.33,0.86,17.65,246.71,3.71
Bo,Bo_06,9.30,0.21,186.51,18.47,268.62,0.83,4.56,255.50,3.07
Bo,Bo_07,7.80,0.23,214.47,15.54,299.67,0.82,4.69,275.18,3.47
Bo,Bo_08,15.50,0.50,275.44,14.81,279.49,0.83,5.48,192.90,3.34
Bo,Bo_09,16.20,0.30,247.69,17.63,275.49,0.83,7.82,225.02,3.81
Bo,Bo_10,13.80,0.31,243.01,18.99,239.25,0.83,6.16,225.12,3.31
Bo,Bo_11,12.40,,303.17,18.32,262.49,0.84,7.28,233.02,3.7
Bo,Bo_12,13.00,0.55,344.98,16.20,258.81,0.83,5.84,260.67,3.97
Bo,Bo_13,7.60,0.10,132.28,16.33,285.71,,,161.02,4.91
Bo,Bo_14,13.30,0.38,240.01,17.14,280.00,0.85,16.84,226.76,3.05
Bo,Bo_15,12.30,0.35,230.56,15.63,267.21,0.86,7.84,266.85,2.21
Bo,Bo_16,10.10,0.14,176.22,14.93,272.52,0.82,2.74,213.34,3.8
Bo,Bo_17,15.30,0.30,333.23,17.40,248.86,0.86,12.00,213.86,3.37
