location,altitude,exposition,slope,LAI,soil_depth,CECpot,pH,N,P,K
KW,0.001,0,0,0.282,0.294,0.038,0.091,0.129,0.349,0.248
Bo,0.013,0.895,0.52,0.587,0.35,0.051,0.03,0.206,0.125,0.251
Ha,0.022,0.373,0.288,0.496,0.322,0.016,0.164,0.102,0.465,0.1
Wo,0.021,0.566,0.508,0.381,0.223,0.018,0.041,0.172,0.421,0.217
Ba,0.018,0,0.315,0.537,0.408,0.149,0.146,0.298,0.227,0.345
St,0.011,1.044,0.684,0.437,0.251,0.028,0.048,0.428,0.413,0.226
Sa,0.013,0.722,0.974,0.621,0.368,0.03,0.007,0.096,0.203,0.218
If,0.011,0.141,0.276,0.4,0.274,0.012,0.007,0.097,0.086,0.193
Ni,0.012,0,0.516,0.316,0.281,0.117,0.007,0.084,0.132,0.229
Di,0.012,0,1.129,0.342,0.424,0.028,0.048,0.09,0.406,0.471
Er,0.009,0.639,0.572,0.509,0.438,0.03,0.012,0.156,0.889,0.21
Gr,0.009,0.124,0.233,0.447,0.266,0.036,0.024,0.044,0.124,0.204
Eh,0.006,0,0.389,0.552,0.334,0.029,0.007,0.071,0.365,0.177
