location;RH;AGB;LA;SLA;LDMC;FvFm;PI;SPS;SPI
KW;0.161;0.429;0.276;0.096;0.05;0.011;0.275;0.105;0.157
Bo;0.233;0.427;0.305;0.097;0.06;0.023;0.542;0.144;0.225
Ha;0.199;0.455;0.49;0.101;0.049;0.011;0.212;0.147;0.178
Wo;0.183;0.493;0.319;0.098;0.102;0.011;0.413;0.1;0.171
Ba;0.232;0.47;0.278;0.094;0.068;0.015;0.326;0.115;0.17
St;0.361;0.696;0.496;0.132;0.067;0.019;0.349;0.09;0.176
Sa;0.324;0.585;0.38;0.108;0.07;0.015;0.334;0.12;0.238
If;0.167;0.4;0.311;0.087;0.05;0.012;0.31;0.121;0.196
Ni;0.18;0.407;0.452;0.128;0.064;0.01;0.228;0.141;0.223
Di;0.172;0.457;0.312;0.121;0.062;0.021;0.458;0.079;0.135
Er;0.28;0.381;0.373;0.174;0.104;0.011;0.337;0.13;0.23
Gr;0.138;0.35;0.258;0.091;0.056;0.008;0.21;0.09;0.137
Eh;0.156;0.307;0.203;0.088;0.074;0.014;0.262;0.121;0.151
