location,lat_N,long_E,FD,HD,GD
KW,47.361036,10.173825,0.173,0.143,0.597
Bo,51.316042,11.396525,0.228,0.303,0.612
Ha,51.162917,11.446789,0.205,0.235,0.63
Wo,50.924306,11.665083,0.21,0.257,0.654
Ba,51.367267,11.103056,0.196,0.244,0.666
St,51.40955,11.00485,0.265,0.357,0.686
Sa,50.631003,11.383729,0.242,0.325,0.637
If,51.086633,10.148017,0.184,0.15,0.678
Ni,50.776294,11.027711,0.204,0.169,0.661
Di,51.095233,11.188406,0.202,0.295,0.647
Er,50.565556,10.157383,0.224,0.346,0.658
Gr,50.532456,11.294961,0.149,0.151,0.57
Eh,50.478583,10.665786,0.153,0.193,0.595
