location,altitude,Ta,Pa,exposition,slope,LAI,soil_depth,CECpot,CECNa,CECK,CECCa,CECMg,pHH20,pHKCl,Corg,CaCO3,N,P,K
KW,1057,5.7,1045,315,2,3.94,17.58,12.92,0.11,0.26,20.92,2.89,6.12,5.62,7.22,1.08,0.57,0.66,3.6
Bo,179.6,8.7,511,45,3.0,0.87,11.97,15.64,0.1,0.27,4.09,1.04,5.56,4.8,4.11,0.50,0.36,0.8,5.2
Ha,233.4,8.4,548,270,12.7,2.39,13.66,15.98,0.1,0.95,17.33,4.35,6.68,6.02,4.66,4.24,0.41,1.34,20
Wo,298.2,7.8,628,270,6.6,2.09,17.83,15.94,0.1,1.26,27.28,4.65,7.68,7.14,4.72,5.76,0.42,1.24,23.8
Ba,259.8,8.2,565,270,18.3,2.32,23.37,14.8,0.1,0.49,74.7,1.21,5.36,4.98,7.418,0.50,0.614,0.86,8.6
St,265.4,8.2,567,67.5,9.1,1.76,20.18,16.32,0.1,0.46,39.3,4.36,7.6,7.02,6.10,8.22,0.58,1.44,7
Sa,332.4,8.1,598,225,5.5,2.55,15.81,15.74,0.1,0.51,35.6,5.12,7.96,7.38,7.15,44.40,0.59,1.96,12.4
If,357.8,7.7,709,225,7.2,2.33,18.83,16.84,0.1,0.79,22.88,8.59,7.94,7.2,4.83,32.08,0.37,0.64,16
Ni,366.2,7.7,588,0,16.5,4.19,12.73,17.54,0.1,1.23,47.15,1.38,7.84,7.2,6.95,16.80,0.61,1.7,25.2
Di,231.6,8.3,535,315,7.9,5.59,18.16,16.64,0.1,0.68,25.01,2.39,7.48,6.8,4.32,1.34,0.41,1,14.6
Er,545.8,6.9,767,90,10.2,4.01,10.36,16.3,0.1,1.23,50.8,1.21,7.74,7.1,7.6,18.32,0.72,2.56,24.4
Gr,539.8,6.7,734,180,16.1,2.57,10.66,14.82,0.1,0.34,38.27,1.28,7.32,6.7,7.42,2.48,0.83,0.88,6
Eh,498.8,7.4,661,0,4.9,3.22,10.1,16.725,0.1,1.35,64.98,1.6,7.75,7.15,9.21,10.15,0.75,2.4,28
