blk,plt,cable,heating,wtr,ftr,tr,PFT,decidu,evergr,betula,salix,ledum,vacci,ind,spp_abbr,tot_bio,wood_bio,leaf_bio,LDMC1,LDMC2,LDMC,LA1,LA2,LA,SLA1,SLA2,SLA,LNC,LPC,CN_ratio,height,SSD,bark,XD,SWC
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp201,Betn,1.588,1.183,0.375,0.615,0.636,0.615,1.1519,0.9987,1.0753,143.988,142.671,143.33,25.866,1.627,19.278,11,1.322,0.56,3.55,26.6
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp202,Betn,4.154,3.649,0.461,0.813,0.846,0.534,1.4471,1.1485,1.2978,111.315,104.409,107.862,21.989,1.678,22.934,16.5,1.055,0.55,4.1,39.3
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp203,Betn,0.645,0.514,0.119,0.857,0.636,0.748,0.8083,1.0471,0.9277,134.717,149.586,142.152,29.56,2.46,16.528,11.1,0.393,0.37,3.35,27.9
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp204,Betn,NA,NA,NA,0.769,0.9,NA,0.8776,0.9218,0.8997,87.76,102.422,95.091,NA,NA,NA,24.9,NA,0.26,1.63,NA
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp205,Betn,NA,NA,NA,0.929,0.909,NA,1.4802,1.2102,1.3452,113.862,121.02,117.441,NA,NA,NA,15.1,NA,1.59,8.31,NA
BLK1,WE01,cN,hN,Ct,NF,CtNF,decid,dY,eN,Y,N,N,N,Sp206,Betn,NA,NA,NA,0.538,0.6,NA,0.9022,0.8561,0.8792,128.886,142.683,135.785,NA,NA,NA,20.5,NA,0.51,4.21,NA
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp501,Ledp,2.033,1.404,0.622,0.417,0.5,0.524,0.3551,0.3432,0.3492,71.02,57.2,64.11,16.307,1.035,32.176,29.5,0.514,0.17,2.73,12.5
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp502,Ledp,0.541,0.364,0.177,0.5,0.6,0.543,0.1637,0.1623,0.163,54.567,54.1,54.334,14.467,1.01,36.895,8.2,0.695,0.17,2.68,9.1
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp503,Ledp,2.458,1.959,0.408,0.625,0.714,0.551,0.2741,0.2202,0.2472,54.82,44.04,49.43,11.164,0.837,47.361,10.4,0.512,0.2,2.92,27
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp504,Ledp,NA,NA,NA,0.625,0.444,NA,0.3073,0.3972,0.3523,61.46,99.3,80.38,NA,NA,NA,7.5,NA,0.14,1.6,NA
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp505,Ledp,NA,NA,NA,0.6,0.556,NA,0.2892,0.3165,0.3029,48.2,63.3,55.75,NA,NA,NA,10.2,NA,0.26,3.01,NA
BLK1,WE01,cN,hN,Ct,NF,CtNF,everg,dN,eY,N,N,Y,N,Sp506,Ledp,NA,NA,NA,0.667,0.625,NA,0.308,0.2816,0.2948,51.333,56.32,53.827,NA,NA,NA,14.7,NA,0.25,2.51,NA
