Species;seed mass;plant height;lifeform;longevity;light;temperature;continentality;humidity;reaction;nitrogen;salt;habitat
Nuphar_pumila;270;120;1;3;8;4;7;10;4;2;0;1
Nuphar_lutea;460;500;1;3;8;6;4;10;7;6;0;1
Nymphaea_candida;9.678;175;1;3;8;6;6;10;4;4;0;1
Nymphaea_alba;6.304;150;1;3;8;6;3;10;7;5;0;1
Aristolochia_clematitis;34.3623;100;3;3;6;7;3;4;8;8;0;0
Asarum_europaeum;3.16;10;4;3;3;6;5;5;7;6;0;7
Acorus_calamus;3.72;120;1;3;8;6;5;10;7;7;0;1
Calla_palustris;1.59;40;1;3;6;6;6;9;6;4;0;1
Arum_maculatum;105;40;4;3;3;6;2;7;7;8;0;7
Tofieldia_calyculata;0.038667;35;3;3;8;5;4;8;8;2;0;1
Najas_marina;2.36;30;1;1;5;6;4;10;9;6;1;1
Hydrocharis_morsus_ranae;0.17;30;2;1;7;6;4;10;7;6;0;1
Sagittaria_sagittifolia;1.7;100;1;3;7;6;4;10;7;6;0;1
Luronium_natans;0.3889;100;1;3;8;6;1;10;5;3;0;1
Baldellia_ranunculoides;0.46;40;1;3;8;6;1;10;5;2;1;1
Alisma_gramineum;0.37;60;1;3;7;7;6;10;7;4;0;1
Alisma_plantago_aquatica;0.5;120;1;3;7;5;5;10;5;8;0;1
Alisma_lanceolatum;0.47;80;1;3;7;7;2;10;7;5;0;1
Triglochin_palustre;1.966;60;3;3;8;5;5;9;5;1;2;1
Triglochin_maritimum;0.98;70;3;3;8;6;7;7;5;5;2;2
Zannichellia_palustris;1.03;50;1;3;6;6;5;10;8;8;2;2
Groenlandia_densa;2.23;40;4;3;8;6;2;10;8;5;0;1
Potamogeton_filiformis;1.85;80;1;3;8;4;5;10;4;3;0;1
Potamogeton_pectinatus;5.61;200;1;3;6;5;5;10;8;8;1;1
Potamogeton_coloratus;0.53;60;1;3;8;6;3;10;8;8;0;1
Potamogeton_natans;5.5;200;1;3;6;5;5;10;7;5;0;1
Potamogeton_polygonifolius;1.17;60;1;3;7;6;2;10;3;2;0;1
Potamogeton_crispus;11.876;100;1;3;6;5;3;10;7;5;0;1
Potamogeton_lucens;5.36;300;1;3;6;6;4;10;6;7;0;1
Potamogeton_gramineus;2.49;120;1;3;8;4;5;10;5;5;0;1
Potamogeton_nodosus;3.83;300;1;3;6;6;5;10;8;5;0;1
Potamogeton_perfoliatus;3.83;200;1;3;6;5;5;10;7;6;1;1
Potamogeton_alpinus;2.58;60;1;3;7;4;5;10;6;6;0;1
Potamogeton_berchtoldii;0.75;100;2;1;6;6;5;10;7;5;0;1
