plantID,week,nutrient_supply,shortcut_of_species,seedmass[mg],width[px],depth[px],distance_from_top_of_root_system_to_centroid[px],area[px2],relative_depth,relative_width,length_of_main_root[px],length_of_lateral_roots[px],number_of_lateral_roots,mean_lenght_of_lateral_roots[px],Genus,species
CN0-110318.bmp,1,0,CN,5.718,54,272,111.7762818495,6526.5,0.4109422127,0.1985294118,272.693,0,0,0,Cytisus,nigricans
CN0-110318.bmp,2,0,CN,5.718,73,440,116.2798643388,12790,0.264272419,0.1659090909,154.961,0,0,0,Cytisus,nigricans
CN0-110318.bmp,3,0,CN,5.718,197,587,416.5708562197,54162.5,0.7096607431,0.33560477,145.732,509.882,4,127.4705,Cytisus,nigricans
CN0-110318.bmp,4,0,CN,5.718,350,804,563.1547577127,139153,0.7004412409,0.4353233831,195.335,670.118,2,335.059,Cytisus,nigricans
CN0-110328.bmp,1,0,CN,5.718,77,381,190.5,388.7029714319,0.5,0.2020997375,350.441,0,0,0,Cytisus,nigricans
CN0-110328.bmp,2,0,CN,5.718,117,752,420.4817538752,21891,0.5591512685,0.1555851064,441.611,0,0,0,Cytisus,nigricans
CN0-110328.bmp,3,0,CN,5.718,300,1072,205.4390593201,159204,0.1916409135,0.2798507463,311.349,555.902,4,138.9755,Cytisus,nigricans
CN0-110328.bmp,4,0,CN,5.718,505,1521,264.6019404393,374760.5,0.1739657728,0.3320184089,450.042,1264.34,6,210.7233333333,Cytisus,nigricans
CN0-120131a.bmp,1,0,CN,5.718,113,247,203.3810666757,6193,0.8234051282,0.4574898785,263.765,0,0,0,Cytisus,nigricans
CN0-120131a.bmp,2,0,CN,5.718,128,364,338.5573920009,3634.0000000001,0.9301027253,0.3516483516,128.073,0,0,0,Cytisus,nigricans
CN0-120131a.bmp,3,0,CN,5.718,174,559,253.3523212951,48323,0.4532241884,0.3112701252,206.738,297.512,4,74.378,Cytisus,nigricans
CN0-120131a.bmp,4,0,CN,5.718,401,730,317.3196616552,145532,0.434684468,0.5493150685,187.325,407.97,1,407.97,Cytisus,nigricans
CN0-120131b.bmp,1,0,CN,5.718,54,177,88.5,185.0540461595,0.5,0.3050847458,174.725,0,0,0,Cytisus,nigricans
CN0-120131b.bmp,2,0,CN,5.718,73,360,180,367.3268299485,0.5,0.2027777778,161.082,0,0,0,Cytisus,nigricans
CN0-120131b.bmp,3,0,CN,5.718,82,545,266.7402864213,21372,0.4894317182,0.1504587156,193.532,0,0,0,Cytisus,nigricans
CN0-120131b.bmp,4,0,CN,5.718,156,734,406.8008621738,51313.5,0.5542246079,0.2125340599,172.295,70.464,1,70.464,Cytisus,nigricans
CN0-120202a.bmp,1,0,CN,5.718,38,205,102.5,208.4922060893,0.5,0.1853658537,210.38,0,0,0,Cytisus,nigricans
CN0-120202a.bmp,2,0,CN,5.718,131,320,150.5713799348,12135.5,0.4705355623,0.409375,128.363,47.629,1,47.629,Cytisus,nigricans
CN0-120202a.bmp,3,0,CN,5.718,181,532,216.7520662479,28191,0.407428696,0.3402255639,198.08,101.065,1,101.065,Cytisus,nigricans
CN0-120202a.bmp,4,0,CN,5.718,281,668,432.5934285531,78065,0.6475949529,0.4206586826,128.679,256.18,2,128.09,Cytisus,nigricans
CN0-120202b.bmp,1,0,CN,5.718,74,237,78.6197603938,6593,0.3317289468,0.3122362869,248.976,0,0,0,Cytisus,nigricans
CN0-120202b.bmp,2,0,CN,5.718,122,421,372.5539131047,11393.4999999999,0.8849261594,0.2897862233,218.616,0,0,0,Cytisus,nigricans
CN0-120202b.bmp,3,0,CN,5.718,121,572,383.2430127675,17461,0.6700052671,0.2115384615,132.962,53.786,1,53.786,Cytisus,nigricans
CN0-120202b.bmp,4,0,CN,5.718,177,720,144.6507690265,58155,0.2009038459,0.2458333333,142.892,207.875,1,207.875,Cytisus,nigricans
CN0-120203.bmp,1,0,CN,5.718,70,159,79.5,173.7267970119,0.5,0.4402515723,171.083,0,0,0,Cytisus,nigricans
CN0-120203.bmp,2,0,CN,5.718,97,255,127.5,272.8259518448,0.5,0.3803921569,79.392,0,0,0,Cytisus,nigricans
CN0-120203.bmp,3,0,CN,5.718,149,315,157.5,348.4623365588,0.5,0.473015873,70.73,0,0,0,Cytisus,nigricans
CN0-120203.bmp,4,0,CN,5.718,227,476,238,527.3566155838,0.5,0.4768907563,164.104,188.837,2,94.4185,Cytisus,nigricans
CN0-120208b.bmp,1,0,CN,5.718,47,310,43.4176516854,2612.5000000001,0.1400569409,0.1516129032,304.516,0,0,0,Cytisus,nigricans
CN0-120208b.bmp,2,0,CN,5.718,97,690,345,696.7847587311,0.5,0.1405797101,353.151,0,0,0,Cytisus,nigricans
CN0-120208b.bmp,3,0,CN,5.718,208,1034,308.9840295924,55841.4999999996,0.2988240131,0.2011605416,318.959,192.295,3,64.0983333333,Cytisus,nigricans
CN0-120208b.bmp,4,0,CN,5.718,364,1382,618.3420957434,232204,0.4474255396,0.2633863965,322.841,839.235,7,119.8907142857,Cytisus,nigricans
CN0-120210.bmp,1,0,CN,5.718,72,120,60,139.9428454763,0.5,0.6,136.129,0,0,0,Cytisus,nigricans
CN0-120210.bmp,2,0,CN,5.718,100,470,196.9647743692,19298,0.419073988,0.2127659574,324.244,0,0,0,Cytisus,nigricans
CN0-120210.bmp,3,0,CN,5.718,171,713,195,60961.5,0.2734922861,0.2398316971,237.002,233.637,2,116.8185,Cytisus,nigricans
CN0-120210.bmp,4,0,CN,5.718,244,998,224.8050688669,121684,0.22525558,0.244488978,289.626,242.344,1,242.344,Cytisus,nigricans
CN1-110319.bmp,1,0.25,CN,5.718,80,135,85.8347483836,4256,0.635812951,0.5925925926,207.319,0,0,0,Cytisus,nigricans
CN1-110319.bmp,2,0.25,CN,5.718,91,355,270.7358028858,17776.5,0.7626360645,0.2563380282,240.194,0,0,0,Cytisus,nigricans
CN1-110319.bmp,3,0.25,CN,5.718,250,523,244.0732518778,68831,0.4666792579,0.4780114723,185.656,651.902,5,130.3804,Cytisus,nigricans
CN1-110319.bmp,4,0.25,CN,5.718,412,607,357.0194425642,125575,0.5881704161,0.6787479407,82.307,1712.907,11,155.7188181818,Cytisus,nigricans
CN1-120131.bmp,1,0.25,CN,5.718,73,161,80.5,176.7766952966,0.5,0.4534161491,160.862,0,0,0,Cytisus,nigricans
CN1-120131.bmp,2,0.25,CN,5.718,83,298,206.8514169713,5704.5,0.6941322717,0.2785234899,128.268,0,0,0,Cytisus,nigricans
CN1-120131.bmp,3,0.25,CN,5.718,71,349,174.5,356.148845288,0.5,0.2034383954,45.49,0,0,0,Cytisus,nigricans
CN1-120131.bmp,4,0.25,CN,5.718,80,414,208.6537672825,12646,0.503994607,0.193236715,67.804,0,0,0,Cytisus,nigricans
CN1-120204.bmp,1,0.25,CN,5.718,45,226,175.0474422442,4848,0.7745462046,0.1991150442,222.088,0,0,0,Cytisus,nigricans
CN1-120204.bmp,2,0.25,CN,5.718,48,461,161.689192989,10669,0.3507357765,0.1041214751,210.951,22.69,1,22.69,Cytisus,nigricans
CN1-120204.bmp,3,0.25,CN,5.718,140,579,420.7145702467,39162,0.7266227465,0.2417962003,119.16,207.91,1,207.91,Cytisus,nigricans
CN1-120204.bmp,4,0.25,CN,5.718,248,869,484.0923879409,107454.5,0.5570683406,0.2853855006,275.453,566.873,4,141.71825,Cytisus,nigricans
CN1-120206a.bmp,1,0.25,CN,5.718,87,82,41,119.553335378,0.5,1.0609756098,117.938,0,0,0,Cytisus,nigricans
CN1-120206a.bmp,2,0.25,CN,5.718,88,107,88.219715835,1311,0.8244833256,0.8224299065,28.06,0,0,0,Cytisus,nigricans
CN1-120206a.bmp,3,0.25,CN,5.718,86,145,90.5457605398,3387.5,0.624453521,0.5931034483,34.834,0,0,0,Cytisus,nigricans
CN1-120206a.bmp,4,0.25,CN,5.718,87,214,94.885810043,7116,0.4433916357,0.4065420561,63.185,0,0,0,Cytisus,nigricans
CN1-120206b.bmp,1,0.25,CN,5.718,67,72,37.9311023622,2032,0.5268208661,0.9305555556,150.933,0,0,0,Cytisus,nigricans
CN1-120206b.bmp,2,0.25,CN,5.718,108,197,25.1011423744,3243,0.1274169664,0.5482233503,127.251,0,0,0,Cytisus,nigricans
CN1-120206b.bmp,3,0.25,CN,5.718,120,327,26.0835850845,4724,0.0797663152,0.3669724771,116.996,0,0,0,Cytisus,nigricans
CN1-120206b.bmp,4,0.25,CN,5.718,155,403,22.7974722145,5696.5000000001,0.05656941,0.3846153846,81.35,43.627,2,21.8135,Cytisus,nigricans
CN1-120208a.bmp,1,0.25,CN,5.718,60,358,241.4913664951,4372.4999999999,0.6745568897,0.1675977654,377.995,0,0,0,Cytisus,nigricans
CN1-120208a.bmp,2,0.25,CN,5.718,105,715,192.329416916,20554.4999999998,0.2689921915,0.1468531469,334.96,0,0,0,Cytisus,nigricans
CN1-120208a.bmp,3,0.25,CN,5.718,147,928,506.0209152243,61311,0.5452811586,0.1584051724,224.954,182.535,3,60.845,Cytisus,nigricans
CN1-120208a.bmp,4,0.25,CN,5.718,235,1131,791.1884252875,131986,0.6995476793,0.207780725,203.026,965.039,6,160.8398333333,Cytisus,nigricans
CN1-120208b.bmp,1,0.25,CN,5.718,110,84,27.7136016608,2670,0.3299238293,1.3095238095,155.056,0,0,0,Cytisus,nigricans
CN1-120208b.bmp,2,0.25,CN,5.718,120,247,71.456123433,12444,0.2892960463,0.4858299595,153.848,0,0,0,Cytisus,nigricans
CN1-120208b.bmp,3,0.25,CN,5.718,133,419,147.8423166092,22638.5,0.3528456244,0.3174224344,182.234,0,0,0,Cytisus,nigricans
CN1-120208b.bmp,4,0.25,CN,5.718,351,665,210.2095653523,89395,0.3161046096,0.5278195489,251.261,697.832,5,139.5664,Cytisus,nigricans
CN1-120208c.bmp,1,0.25,CN,5.718,87,115,57.5,144.2012482609,0.5,0.7565217391,129.741,0,0,0,Cytisus,nigricans
CN1-120208c.bmp,2,0.25,CN,5.718,94,190,118.5962218444,5972,0.6241906413,0.4947368421,81.907,0,0,0,Cytisus,nigricans
CN1-120208c.bmp,3,0.25,CN,5.718,94,243,129.162739334,6358,0.5315339067,0.3868312757,69.522,36.502,1,36.502,Cytisus,nigricans
CN1-120208c.bmp,4,0.25,CN,5.718,92,332,130.0089254023,11339.5,0.3915931488,0.2771084337,75.098,113.499,1,113.499,Cytisus,nigricans
CN1-120208d.bmp,1,0.25,CN,5.718,30,213,118.7106085089,1956,0.5573268005,0.1408450704,188.441,0,0,0,Cytisus,nigricans
CN1-120208d.bmp,2,0.25,CN,5.718,62,396,224.9132602193,12036,0.5679627783,0.1565656566,209.328,0,0,0,Cytisus,nigricans
CN1-120208d.bmp,3,0.25,CN,5.718,180,555,350.252851711,48655,0.6310862193,0.3243243243,154.054,333.298,5,66.6596,Cytisus,nigricans
CN1-120208d.bmp,4,0.25,CN,5.718,450,697,456.8113699442,160335,0.6553965135,0.6456241033,137.446,937.831,2,468.9155,Cytisus,nigricans
CN2-110315.bmp,1,0.5,CN,5.718,97,49,31.514634107,1539,0.6431557981,1.9795918367,103.69,0,0,0,Cytisus,nigricans
CN2-110315.bmp,2,0.5,CN,5.718,140,137,59.4692358741,8022.5,0.4340820137,1.0218978102,38.486,79.767,1,79.767,Cytisus,nigricans
CN2-110315.bmp,3,0.5,CN,5.718,141,263,71.5973074139,17353.5,0.272233108,0.536121673,0,126.429,0,0,Cytisus,nigricans
CN2-110315.bmp,4,0.5,CN,5.718,149,412,221.4600182629,27394,0.5375243162,0.3616504854,0,141.935,2,70.9675,Cytisus,nigricans
CN2-120131.bmp,1,0.5,CN,5.718,68,132,66,148.4856895462,0.5,0.5151515152,136.745,0,0,0,Cytisus,nigricans
CN2-120131.bmp,2,0.5,CN,5.718,164,333,166.5,371.1940193484,0.5,0.4924924925,208.637,0,0,0,Cytisus,nigricans
CN2-120131.bmp,3,0.5,CN,5.718,259,574,287,629.7277189389,0.5,0.4512195122,232.864,66.316,2,33.158,Cytisus,nigricans
CN2-120131.bmp,4,0.5,CN,5.718,282,696,490.5960125918,68616,0.7048793284,0.4051724138,111.59,382.545,3,127.515,Cytisus,nigricans
CN2-120203.bmp,1,0.5,CN,5.718,83,194,55.3293180394,3941,0.2852026703,0.4278350515,223.055,0,0,0,Cytisus,nigricans
CN2-120203.bmp,2,0.5,CN,5.718,258,345,187.4623965906,39890,0.5433692655,0.747826087,129.721,298.053,3,99.351,Cytisus,nigricans
CN2-120203.bmp,3,0.5,CN,5.718,362,633,256.9173531385,107312,0.4058725958,0.5718799368,282.031,373.984,3,124.6613333333,Cytisus,nigricans
CN2-120203.bmp,4,0.5,CN,5.718,485,858,312.9469602277,199209,0.3647400469,0.5652680653,216.041,639.878,2,319.939,Cytisus,nigricans
CN2-120204.bmp,1,0.5,CN,5.718,93,73,36.5,118.2285921425,0.5,1.2739726027,121.264,0,0,0,Cytisus,nigricans
CN2-120204.bmp,2,0.5,CN,5.718,104,216,108,239.7331850203,0.5,0.4814814815,129.2,0,0,0,Cytisus,nigricans
CN2-120204.bmp,3,0.5,CN,5.718,99,269,268.5313053592,134.4999999987,0.9982576407,0.3680297398,51.416,0,0,0,Cytisus,nigricans
CN2-120204.bmp,4,0.5,CN,5.718,192,299,168.7012120577,28629,0.5642181005,0.6421404682,33.757,346.519,4,86.62975,Cytisus,nigricans
CN2-120206a.bmp,1,0.5,CN,5.718,39,179,89.5,183.199344977,0.5,0.217877095,180.772,0,0,0,Cytisus,nigricans
