invader.species,block,size,plot,survival,invader.SLA,invader.LDMC,resident.weighted.SLA,resident.weighted.LDMC,invader.resident.trait.difference.PC1,invader.resident.trait.difference.PC2,resident FDis,soil.pc1,soil.pc2,soil.pc3,soil.moisture
Asclepias_tuberosa,1,0.5,1,1,0.923852944,-1.224220408,296.9793592,0.235185172,-5.97133525,0.814088515,1.088103908,-2.398011587,0.858665154,0.590970849,15.6
Panclum_virgatum,1,0.5,1,1,1.562773584,-0.568674578,296.9793592,0.235185172,-6.148638538,0.679825909,1.088103908,-2.398011587,0.858665154,0.590970849,15.6
Elymus_canadensis,1,0.5,1,1,-0.290254646,1.932457145,296.9793592,0.235185172,1.360900508,1.140053527,1.088103908,-2.398011587,0.858665154,0.590970849,15.6
Schizachyrium_scoparium,1,0.5,1,0,-0.089111616,0.794290674,296.9793592,0.235185172,-1.651044572,-0.833991798,1.088103908,-2.398011587,0.858665154,0.590970849,15.6
Lespedeza_capitata,1,0.5,1,1,-0.518784311,1.336085922,296.9793592,0.235185172,0.600246055,-0.83904183,1.088103908,-2.398011587,0.858665154,0.590970849,15.6
Andropogon_gerardii,1,2,1,1,1.069288831,0.069143982,219.3298715,0.313193786,-1.918692804,0.580617139,1.29985014,-2.346738362,0.307726641,1.001867984,14.5
Monarda_punctata,1,2,1,1,0.335709803,-0.480910348,219.3298715,0.313193786,-2.095358571,0.668527645,1.29985014,-2.346738362,0.307726641,1.001867984,14.5
Schizachyrium_scoparium,1,2,1,1,-0.089111616,0.794290674,219.3298715,0.313193786,-2.053746517,0.689983421,1.29985014,-2.346738362,0.307726641,1.001867984,14.5
Desmodium_canadense,1,2,1,1,1.939097938,0.333434344,219.3298715,0.313193786,-2.182979442,0.5999401,1.29985014,-2.346738362,0.307726641,1.001867984,14.5
Monarda_fistulosa,1,2,1,1,-0.325757308,0.125305679,219.3298715,0.313193786,-2.298109924,0.578364813,1.29985014,-2.346738362,0.307726641,1.001867984,14.5
Coreopsis_lanceolata,1,2,2,1,-2.15797621,-1.035854055,250.9927149,0.274282744,0.517936736,-3.84017991,1.318215355,-2.886250167,0.590750429,1.353079038,12
Aster_ericoides,1,2,2,0,0.187198689,-1.405926644,250.9927149,0.274282744,-4.00320223,0.608970969,1.318215355,-2.886250167,0.590750429,1.353079038,12
Asclepias_tuberosa,1,2,2,1,0.923852944,-1.224220408,250.9927149,0.274282744,-3.898697134,0.616600805,1.318215355,-2.886250167,0.590750429,1.353079038,12
Aster_N-A,1,2,2,1,-0.157500245,-0.134029239,250.9927149,0.274282744,-3.040737109,-0.058791791,1.318215355,-2.886250167,0.590750429,1.353079038,12
Coreopsis_tripteris,1,2,2,1,-0.968375668,-0.251308097,250.9927149,0.274282744,-1.093691972,-2.375628944,1.318215355,-2.886250167,0.590750429,1.353079038,12
Monarda_fistulosa,1,0.5,3,1,-0.325757308,0.125305679,158.5344781,0.316747597,-0.593822967,-0.955478564,0.917830297,-1.764373808,-0.084027257,0.123506401,12.3
Asclepias_syriaca,1,0.5,3,0,-0.330814924,-0.535651497,158.5344781,0.316747597,-0.443898112,-0.814859217,0.917830297,-1.764373808,-0.084027257,0.123506401,12.3
Aster_ericoides,1,0.5,3,1,0.187198689,-1.405926644,158.5344781,0.316747597,-0.522587949,-0.834995452,0.917830297,-1.764373808,-0.084027257,0.123506401,12.3
Andropogon_gerardii,1,0.5,3,1,1.069288831,0.069143982,158.5344781,0.316747597,-0.214405847,-0.953226238,0.917830297,-1.764373808,-0.084027257,0.123506401,12.3
Rudbeckia_hirta,1,0.5,3,1,0.137128441,-1.224227009,158.5344781,0.316747597,-0.076266542,-0.901125817,0.917830297,-1.764373808,-0.084027257,0.123506401,12.3
Andropogon_gerardii,1,1,3,1,1.069288831,0.069143982,189.0205969,0.332328866,-0.652648255,0.232306126,0.675951136,-2.200823355,0.798326091,0.801263614,16
Monarda_punctata,1,1,3,1,0.335709803,-0.480910348,189.0205969,0.332328866,-0.829314022,0.320216632,0.675951136,-2.200823355,0.798326091,0.801263614,16
Schizachyrium_scoparium,1,1,3,1,-0.089111616,0.794290674,189.0205969,0.332328866,-0.787701967,0.341672409,0.675951136,-2.200823355,0.798326091,0.801263614,16
Ratibida_pinnata,1,1,3,0,-1.574433682,-0.964892091,189.0205969,0.332328866,-0.051548094,-0.638020482,0.675951136,-2.200823355,0.798326091,0.801263614,16
Monarda_fistulosa,1,1,3,1,-0.325757308,0.125305679,189.0205969,0.332328866,-1.032065374,0.2300538,0.675951136,-2.200823355,0.798326091,0.801263614,16
Panclum_virgatum,1,2,3,1,1.562773584,-0.568674578,149.3881401,0.385669386,1.390589991,0.357939034,0.589808115,-1.888049046,0.765115473,-0.286552961,15.3
Asclepias_syriaca,1,2,3,0,-0.330814924,-0.535651497,149.3881401,0.385669386,1.452453177,0.594332883,0.589808115,-1.888049046,0.765115473,-0.286552961,15.3
Lespedeza_capitata,1,2,3,1,-0.518784311,1.336085922,149.3881401,0.385669386,1.239494132,0.497113895,0.589808115,-1.888049046,0.765115473,-0.286552961,15.3
Sorghastrum_nutans,1,2,3,1,0.609346862,-0.054742128,149.3881401,0.385669386,1.658630193,0.464560035,0.589808115,-1.888049046,0.765115473,-0.286552961,15.3
