Species,Site,AG_1500,Plant#,Leaf#,Larvae.Mass.mg
Barbarea_vulgaris,1,0.001530222,1,1,2.95
Barbarea_vulgaris,1,0.001530222,1,2,9.9
Barbarea_vulgaris,1,0.001530222,2,1,4.07
Barbarea_vulgaris,1,0.001530222,2,2,12.6
Barbarea_vulgaris,1,0.001530222,3,1,10.95
Barbarea_vulgaris,1,0.001530222,3,2,13.81
Barbarea_vulgaris,1,0.001530222,4,1,7.33
Barbarea_vulgaris,1,0.001530222,4,2,10.24
Barbarea_vulgaris,1,0.001530222,5,1,14.45
Barbarea_vulgaris,1,0.001530222,5,2,13.22
Barbarea_vulgaris,1,0.001530222,6,1,7.42
Barbarea_vulgaris,1,0.001530222,6,2,8.14
Barbarea_vulgaris,1,0.001530222,7,1,9.42
Barbarea_vulgaris,1,0.001530222,7,2,6.56
Barbarea_vulgaris,1,0.001530222,8,1,12.67
Barbarea_vulgaris,1,0.001530222,8,2,12.78
Barbarea_vulgaris,1,0.001530222,9a,1,6.63
Barbarea_vulgaris,1,0.001530222,9a,2,12.6
Barbarea_vulgaris,1,0.001530222,9b,1,12.24
Barbarea_vulgaris,1,0.001530222,9b,2,13.72
Barbarea_vulgaris,8,0.342551293,2a,1,12.65
Barbarea_vulgaris,8,0.342551293,4,1,7.45
Barbarea_vulgaris,8,0.342551293,4,2,4.02
Barbarea_vulgaris,8,0.342551293,5,1,5.12
Barbarea_vulgaris,8,0.342551293,5,2,13.1
Barbarea_vulgaris,8,0.342551293,6,1,11.14
Barbarea_vulgaris,8,0.342551293,6,2,13.79
Barbarea_vulgaris,8,0.342551293,1,2,1.74
Barbarea_vulgaris,8,0.342551293,1,1,12.26
Barbarea_vulgaris,8,0.342551293,7,1,12.19
Barbarea_vulgaris,8,0.342551293,7,2,8.21
Barbarea_vulgaris,8,0.342551293,8a,1,5.62
Barbarea_vulgaris,8,0.342551293,8a,2,9.41
Barbarea_vulgaris,8,0.342551293,8b,1,12.56
Barbarea_vulgaris,8,0.342551293,8b,2,10.22
Barbarea_vulgaris,8,0.342551293,9a,1,10.39
Barbarea_vulgaris,8,0.342551293,9a,2,12.93
Barbarea_vulgaris,8,0.342551293,9b,1,9.58
Barbarea_vulgaris,8,0.342551293,9b,2,5.97
Barbarea_vulgaris,8,0.342551293,10,1,10.16
Barbarea_vulgaris,8,0.342551293,10,2,14.4
Barbarea_vulgaris,10,0.412844037,1,1,12.94
Barbarea_vulgaris,10,0.412844037,1,2,10.93
Barbarea_vulgaris,10,0.412844037,1b,1,6.46
Barbarea_vulgaris,10,0.412844037,1b,2,1.51
Barbarea_vulgaris,10,0.412844037,2,1,10.77
Barbarea_vulgaris,10,0.412844037,2,2,
Barbarea_vulgaris,10,0.412844037,3,1,6.62
Barbarea_vulgaris,10,0.412844037,3,2,4.37
Barbarea_vulgaris,10,0.412844037,4,1,3.25
Barbarea_vulgaris,10,0.412844037,4,2,11.32
Barbarea_vulgaris,10,0.412844037,6,1,8.41
Barbarea_vulgaris,10,0.412844037,6,2,
Barbarea_vulgaris,10,0.412844037,7,1,9.02
Barbarea_vulgaris,10,0.412844037,7,2,12.35
Barbarea_vulgaris,10,0.412844037,8,1,9.69
Barbarea_vulgaris,10,0.412844037,8,2,3.22
Barbarea_vulgaris,10,0.412844037,9,1,4.83
Barbarea_vulgaris,10,0.412844037,9,2,10.06
Barbarea_vulgaris,7,0.34201788,1,1,13.07
Barbarea_vulgaris,7,0.34201788,1,2,9.85
Barbarea_vulgaris,7,0.34201788,2,1,12.02
Barbarea_vulgaris,7,0.34201788,2,2,9.53
Barbarea_vulgaris,7,0.34201788,4,1,2.61
Barbarea_vulgaris,7,0.34201788,4,2,12.94
Barbarea_vulgaris,7,0.34201788,5,1,13.03
Barbarea_vulgaris,7,0.34201788,5,2,7.17
Barbarea_vulgaris,7,0.34201788,6,1,11.15
Barbarea_vulgaris,7,0.34201788,6,2,11.93
Barbarea_vulgaris,7,0.34201788,7,1,4.72
Barbarea_vulgaris,7,0.34201788,7,2,14.03
Barbarea_vulgaris,7,0.34201788,8,1,3.07
Barbarea_vulgaris,7,0.34201788,8,2,6.63
Barbarea_vulgaris,7,0.34201788,10,1,9.56
Barbarea_vulgaris,7,0.34201788,10,2,
Barbarea_vulgaris,7,0.34201788,13a,1,10.58
Barbarea_vulgaris,7,0.34201788,13a,2,11.45
Barbarea_vulgaris,7,0.34201788,13b,1,7.44
Barbarea_vulgaris,7,0.34201788,13b,2,12.32
Barbarea_vulgaris,3,0.088452715,1,1,12.06
Barbarea_vulgaris,3,0.088452715,1,2,12.91
Barbarea_vulgaris,3,0.088452715,2,1,13.09
Barbarea_vulgaris,3,0.088452715,2,2,14.09
Barbarea_vulgaris,3,0.088452715,3,1,11.52
Barbarea_vulgaris,3,0.088452715,3,2,14.37
