Plant.ID,Spp,Site,Parent,Replicate,Seed.Mass.mg,NAT_1000
321,Capsella_bursa-pastoris,11,9,1,69.22,0.191472034
322,Capsella_bursa-pastoris,11,9,2,62.54,0.191472034
323,Capsella_bursa-pastoris,11,9,3,60.3,0.191472034
324,Capsella_bursa-pastoris,11,9,4,56.32,0.191472034
325,Capsella_bursa-pastoris,11,9,5,72,0.191472034
326,Capsella_bursa-pastoris,11,3,1,51.31,0.191472034
327,Capsella_bursa-pastoris,11,3,2,70.05,0.191472034
328,Capsella_bursa-pastoris,11,6,1,,0.191472034
329,Capsella_bursa-pastoris,11,6,2,63.22,0.191472034
330,Capsella_bursa-pastoris,11,4,1,60.42,0.191472034
331,Capsella_bursa-pastoris,11,4,2,35.21,0.191472034
332,Capsella_bursa-pastoris,14,1,1,,0.103452398
333,Capsella_bursa-pastoris,14,1,2,43.55,0.103452398
334,Capsella_bursa-pastoris,14,1,3,55.11,0.103452398
335,Capsella_bursa-pastoris,14,1,4,45.72,0.103452398
336,Capsella_bursa-pastoris,14,1,5,81.73,0.103452398
337,Capsella_bursa-pastoris,14,3,1,43.43,0.103452398
338,Capsella_bursa-pastoris,14,3,2,38.47,0.103452398
339,Capsella_bursa-pastoris,14,3,3,27.37,0.103452398
340,Capsella_bursa-pastoris,14,3,4,47.13,0.103452398
341,Capsella_bursa-pastoris,14,3,5,25.05,0.103452398
342,Capsella_bursa-pastoris,14,1,6,74.55,0.103452398
343,Capsella_bursa-pastoris,14,1,7,76.23,0.103452398
344,Capsella_bursa-pastoris,14,3,6,55.97,0.103452398
345,Capsella_bursa-pastoris,7,1,1,63.91,0.106409953
346,Capsella_bursa-pastoris,7,1,2,62.08,0.106409953
347,Capsella_bursa-pastoris,7,1,3,73.65,0.106409953
348,Capsella_bursa-pastoris,7,1,4,53.21,0.106409953
349,Capsella_bursa-pastoris,7,1,5,60.24,0.106409953
350,Capsella_bursa-pastoris,7,1,6,56.64,0.106409953
351,Capsella_bursa-pastoris,7,2,1,68.18,0.106409953
352,Capsella_bursa-pastoris,7,2,2,52.75,0.106409953
353,Capsella_bursa-pastoris,7,2,3,47.09,0.106409953
354,Capsella_bursa-pastoris,7,2,4,70.17,0.106409953
355,Capsella_bursa-pastoris,7,2,5,48.49,0.106409953
356,Capsella_bursa-pastoris,7,2,6,,0.106409953
357,Capsella_bursa-pastoris,7,3,1,53.12,0.106409953
358,Capsella_bursa-pastoris,7,4,1,73.59,0.106409953
359,Capsella_bursa-pastoris,7,4,2,,0.106409953
360,Capsella_bursa-pastoris,7,4,3,,0.106409953
361,Capsella_bursa-pastoris,7,4,4,,0.106409953
362,Capsella_bursa-pastoris,7,4,5,81.51,0.106409953
363,Capsella_bursa-pastoris,7,4,6,,0.106409953
364,Capsella_bursa-pastoris,7,5,1,29.09,0.106409953
365,Capsella_bursa-pastoris,7,5,2,50.89,0.106409953
366,Capsella_bursa-pastoris,7,5,3,30.25,0.106409953
367,Capsella_bursa-pastoris,7,5,4,44.7,0.106409953
368,Capsella_bursa-pastoris,7,5,5,21.07,0.106409953
369,Capsella_bursa-pastoris,7,5,6,54.56,0.106409953
370,Capsella_bursa-pastoris,3,7,1,59.19,0.176161408
371,Capsella_bursa-pastoris,3,7,2,57.95,0.176161408
372,Capsella_bursa-pastoris,3,7,3,55.39,0.176161408
373,Capsella_bursa-pastoris,3,7,4,68.43,0.176161408
374,Capsella_bursa-pastoris,3,5,1,55.51,0.176161408
375,Capsella_bursa-pastoris,3,5,2,60.61,0.176161408
376,Capsella_bursa-pastoris,3,5,3,48.04,0.176161408
377,Capsella_bursa-pastoris,3,3,1,57.78,0.176161408
378,Capsella_bursa-pastoris,3,3,2,58.72,0.176161408
379,Capsella_bursa-pastoris,3,3,3,74.78,0.176161408
380,Capsella_bursa-pastoris,3,3,4,59.13,0.176161408
381,Capsella_bursa-pastoris,3,3,5,56.96,0.176161408
382,Capsella_bursa-pastoris,3,3,6,58.43,0.176161408
383,Capsella_bursa-pastoris,10,1,1,64.61,0.069456603
384,Capsella_bursa-pastoris,10,1,2,50.11,0.069456603
385,Capsella_bursa-pastoris,10,1,3,59.56,0.069456603
386,Capsella_bursa-pastoris,10,2,1,59.31,0.069456603
387,Capsella_bursa-pastoris,10,4,1,71.21,0.069456603
388,Capsella_bursa-pastoris,10,5,1,59.23,0.069456603
389,Capsella_bursa-pastoris,10,5,2,46.79,0.069456603
390,Capsella_bursa-pastoris,10,5,3,44.7,0.069456603
391,Capsella_bursa-pastoris,10,5,4,50.08,0.069456603
392,Capsella_bursa-pastoris,9,2,1,64.65,0.139259237
393,Capsella_bursa-pastoris,9,2,2,35.61,0.139259237
394,Capsella_bursa-pastoris,9,2,3,71.96,0.139259237
395,Capsella_bursa-pastoris,9,2,4,42.65,0.139259237
396,Capsella_bursa-pastoris,9,2,5,56.34,0.139259237
397,Capsella_bursa-pastoris,9,3,1,70.45,0.139259237
398,Capsella_bursa-pastoris,9,4,1,77.02,0.139259237
399,Capsella_bursa-pastoris,9,4,2,61.01,0.139259237
400,Capsella_bursa-pastoris,9,4,3,66.72,0.139259237
401,Capsella_bursa-pastoris,9,4,4,63.36,0.139259237
402,Capsella_bursa-pastoris,9,4,5,45.19,0.139259237
403,Capsella_bursa-pastoris,9,4,6,46.42,0.139259237
404,Capsella_bursa-pastoris,9,5,1,79.68,0.139259237
405,Capsella_bursa-pastoris,9,5,2,64.54,0.139259237
406,Capsella_bursa-pastoris,8,4,1,68.11,0.137455814
407,Capsella_bursa-pastoris,8,4,2,45.87,0.137455814
408,Capsella_bursa-pastoris,8,4,3,58.19,0.137455814
409,Capsella_bursa-pastoris,8,4,4,57.56,0.137455814
410,Capsella_bursa-pastoris,8,4,5,54.3,0.137455814
411,Capsella_bursa-pastoris,8,4,6,52.31,0.137455814
412,Capsella_bursa-pastoris,8,4,7,75.81,0.137455814
413,Capsella_bursa-pastoris,8,6,1,44.41,0.137455814
414,Capsella_bursa-pastoris,8,6,2,50.73,0.137455814
415,Capsella_bursa-pastoris,8,6,3,53.66,0.137455814
416,Capsella_bursa-pastoris,8,6,4,48.05,0.137455814
417,Capsella_bursa-pastoris,8,6,5,52.84,0.137455814
418,Capsella_bursa-pastoris,8,6,6,36.03,0.137455814
419,Capsella_bursa-pastoris,8,6,7,46.73,0.137455814
420,Capsella_bursa-pastoris,13,2,1,52.11,0.058560612
421,Capsella_bursa-pastoris,5,2,1,51.04,0.040319972
422,Capsella_bursa-pastoris,5,2,2,49.9,0.040319972
423,Capsella_bursa-pastoris,1,2,1,26.2,0.059382359
424,Capsella_bursa-pastoris,2,4,1,47.34,0.034057749
425,Capsella_bursa-pastoris,2,4,2,60.07,0.034057749
426,Capsella_bursa-pastoris,2,4,3,,0.034057749
427,Capsella_bursa-pastoris,2,2,1,50.01,0.034057749
428,Capsella_bursa-pastoris,2,2,2,45.38,0.034057749
429,Capsella_bursa-pastoris,2,5,1,59.05,0.034057749
430,Capsella_bursa-pastoris,2,5,2,44.85,0.034057749
