Species,Plant.No.,Site.No.,petal.width,AG_500
Thlaspi_arvense,1,1,1.68,0.18296893
Thlaspi_arvense,1,1,1.37,0.18296893
Thlaspi_arvense,1,1,1.37,0.18296893
Thlaspi_arvense,1b,1,1.78,0.18296893
Thlaspi_arvense,1b,1,1.52,0.18296893
Thlaspi_arvense,4,1,1.69,0.18296893
Thlaspi_arvense,6,1,1.73,0.18296893
Thlaspi_arvense,6,1,1.25,0.18296893
Thlaspi_arvense,1,2,1.21,0.010332951
Thlaspi_arvense,5,2,1.39,0.010332951
Thlaspi_arvense,5,2,1.04,0.010332951
Thlaspi_arvense,5,2,1.62,0.010332951
Thlaspi_arvense,7,2,1.58,0.010332951
Thlaspi_arvense,7,2,0.73,0.010332951
Thlaspi_arvense,8,2,1.47,0.010332951
Thlaspi_arvense,8,2,1.39,0.010332951
Thlaspi_arvense,8,2,1.59,0.010332951
Thlaspi_arvense,9,2,1.13,0.010332951
Thlaspi_arvense,9,2,1.34,0.010332951
Thlaspi_arvense,1,8,1.74,0.434782609
Thlaspi_arvense,1,8,1.48,0.434782609
Thlaspi_arvense,10,8,1.79,0.434782609
Thlaspi_arvense,10,8,1.61,0.434782609
Thlaspi_arvense,11,8,1.78,0.434782609
Thlaspi_arvense,11,8,1.56,0.434782609
Thlaspi_arvense,11,8,1.37,0.434782609
Thlaspi_arvense,12,8,1.55,0.434782609
Thlaspi_arvense,13,8,1.59,0.434782609
Thlaspi_arvense,13,8,1.47,0.434782609
Thlaspi_arvense,13,8,1.26,0.434782609
Thlaspi_arvense,15,8,1.8,0.434782609
Thlaspi_arvense,15,8,1.63,0.434782609
Thlaspi_arvense,15,8,1.27,0.434782609
Thlaspi_arvense,17,8,1.92,0.434782609
Thlaspi_arvense,17,8,1.5,0.434782609
Thlaspi_arvense,18,8,1.65,0.434782609
Thlaspi_arvense,18,8,1.49,0.434782609
Thlaspi_arvense,19,8,1.65,0.434782609
Thlaspi_arvense,19,8,1.59,0.434782609
Thlaspi_arvense,2,8,1.56,0.434782609
Thlaspi_arvense,20,8,1.8,0.434782609
Thlaspi_arvense,20,8,1.53,0.434782609
Thlaspi_arvense,5,8,1.65,0.434782609
Thlaspi_arvense,5,8,1.51,0.434782609
Thlaspi_arvense,5,8,1.52,0.434782609
Thlaspi_arvense,6,8,1.72,0.434782609
Thlaspi_arvense,6,8,1.6,0.434782609
Thlaspi_arvense,7,8,1.72,0.434782609
Thlaspi_arvense,7,8,1.48,0.434782609
Thlaspi_arvense,7,8,1.64,0.434782609
Thlaspi_arvense,9,8,1.88,0.434782609
Thlaspi_arvense,9,8,1.46,0.434782609
Thlaspi_arvense,9,8,1.25,0.434782609
Thlaspi_arvense,1,4,1.6,0.304597701
Thlaspi_arvense,1,4,1.57,0.304597701
Thlaspi_arvense,1,4,1.02,0.304597701
Thlaspi_arvense,10,4,1.58,0.304597701
Thlaspi_arvense,10,4,1.57,0.304597701
Thlaspi_arvense,10,4,1.32,0.304597701
Thlaspi_arvense,16,4,1.88,0.304597701
Thlaspi_arvense,2,4,1.37,0.304597701
Thlaspi_arvense,2,4,1.93,0.304597701
Thlaspi_arvense,2,4,0.94,0.304597701
Thlaspi_arvense,3,4,1.61,0.304597701
Thlaspi_arvense,3,4,1.56,0.304597701
Thlaspi_arvense,4,4,1.54,0.304597701
Thlaspi_arvense,4,4,1.83,0.304597701
Thlaspi_arvense,5,4,1.98,0.304597701
Thlaspi_arvense,5,4,1.53,0.304597701
Thlaspi_arvense,5,4,1.62,0.304597701
Thlaspi_arvense,6,4,1.54,0.304597701
Thlaspi_arvense,6,4,1.76,0.304597701
Thlaspi_arvense,7,4,1.16,0.304597701
Thlaspi_arvense,7,4,1.75,0.304597701
Thlaspi_arvense,8,4,1.78,0.304597701
Thlaspi_arvense,8,4,1.53,0.304597701
Thlaspi_arvense,9,4,1.47,0.304597701
Thlaspi_arvense,9,4,0.98,0.304597701
Thlaspi_arvense,9,4,1.51,0.304597701
Thlaspi_arvense,1,7,1.57,0.008018328
Thlaspi_arvense,1,7,1.74,0.008018328
Thlaspi_arvense,2,7,0.65,0.008018328
Thlaspi_arvense,2,7,1.66,0.008018328
Thlaspi_arvense,1,9,1.58,0.326460481
Thlaspi_arvense,1,9,1.44,0.326460481
Thlaspi_arvense,2,9,1.43,0.326460481
Thlaspi_arvense,3,9,1.48,0.326460481
Thlaspi_arvense,4,9,1.44,0.326460481
Thlaspi_arvense,4,9,1.7,0.326460481
Thlaspi_arvense,5,9,1.54,0.326460481
Thlaspi_arvense,5,9,1.63,0.326460481
Thlaspi_arvense,6,9,1.39,0.326460481
Thlaspi_arvense,6,9,1.82,0.326460481
Thlaspi_arvense,7a,9,1.54,0.326460481
Thlaspi_arvense,7b,9,1.43,0.326460481
Thlaspi_arvense,8a,9,1.4,0.326460481
Thlaspi_arvense,1,5,1.59,0.33906071
Thlaspi_arvense,1,5,1.53,0.33906071
Thlaspi_arvense,10,5,1.6,0.33906071
Thlaspi_arvense,10,5,1.41,0.33906071
Thlaspi_arvense,11,5,1.46,0.33906071
Thlaspi_arvense,11,5,1.55,0.33906071
Thlaspi_arvense,12,5,1.49,0.33906071
Thlaspi_arvense,12,5,1.59,0.33906071
Thlaspi_arvense,13,5,1.58,0.33906071
Thlaspi_arvense,13,5,1.69,0.33906071
Thlaspi_arvense,13,5,1.4,0.33906071
Thlaspi_arvense,2a,5,1.69,0.33906071
Thlaspi_arvense,2a,5,1.43,0.33906071
Thlaspi_arvense,2b,5,1.71,0.33906071
Thlaspi_arvense,2b,5,1.58,0.33906071
Thlaspi_arvense,2b,5,1.51,0.33906071
Thlaspi_arvense,3,5,1.43,0.33906071
Thlaspi_arvense,3,5,1.69,0.33906071
Thlaspi_arvense,3,5,1.52,0.33906071
Thlaspi_arvense,4,5,1.66,0.33906071
Thlaspi_arvense,4,5,1.61,0.33906071
Thlaspi_arvense,5,5,1.51,0.33906071
Thlaspi_arvense,5,5,1.56,0.33906071
Thlaspi_arvense,5,5,1.48,0.33906071
Thlaspi_arvense,6,5,1.75,0.33906071
Thlaspi_arvense,6,5,1.48,0.33906071
Thlaspi_arvense,6,5,1.25,0.33906071
Thlaspi_arvense,7,5,1.79,0.33906071
Thlaspi_arvense,7,5,1.75,0.33906071
Thlaspi_arvense,7,5,1.27,0.33906071
Thlaspi_arvense,8,5,1.63,0.33906071
Thlaspi_arvense,8,5,1.59,0.33906071
Thlaspi_arvense,8,5,1.4,0.33906071
Thlaspi_arvense,9,5,1.62,0.33906071
Thlaspi_arvense,9,5,1.67,0.33906071
Thlaspi_arvense,1,6,1.85,0.451317297
Thlaspi_arvense,3,6,1.27,0.451317297
Thlaspi_arvense,1,3,1.24,0.299194476
Thlaspi_arvense,10,3,1.31,0.299194476
Thlaspi_arvense,11,3,0.94,0.299194476
Thlaspi_arvense,11,3,1.52,0.299194476
Thlaspi_arvense,12,3,1.47,0.299194476
Thlaspi_arvense,12,3,1.38,0.299194476
Thlaspi_arvense,13,3,1.25,0.299194476
Thlaspi_arvense,13,3,1.52,0.299194476
Thlaspi_arvense,14,3,1.22,0.299194476
Thlaspi_arvense,14,3,1.35,0.299194476
Thlaspi_arvense,14,3,1.21,0.299194476
Thlaspi_arvense,15,3,1.44,0.299194476
Thlaspi_arvense,17,3,1.15,0.299194476
Thlaspi_arvense,2,3,1.33,0.299194476
Thlaspi_arvense,2,3,1.52,0.299194476
Thlaspi_arvense,3,3,1.69,0.299194476
Thlaspi_arvense,3,3,1.32,0.299194476
Thlaspi_arvense,5,3,1.39,0.299194476
Thlaspi_arvense,6,3,1.79,0.299194476
Thlaspi_arvense,7,3,1.57,0.299194476
Thlaspi_arvense,7,3,1.14,0.299194476
Thlaspi_arvense,8,3,1.44,0.299194476
Thlaspi_arvense,9,3,1.48,0.299194476
Thlaspi_arvense,9,3,0.81,0.299194476
