"dryad_dataset_doi","dryad_version_id","dryad_file_id","file_path","action","status","message","rows_in","rows_out","timestamp_utc"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv","read","read","Loaded 6657 rows x 34 columns",0,0,"2026-04-25T18:38:48Z"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv","standardize","compiled","Compiled BIEN-style observation rows.",6657,6657,"2026-04-25T18:38:58Z"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv","read","read","Loaded 25 rows x 6 columns",0,0,"2026-04-25T18:38:48Z"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv","standardize","compiled","Compiled BIEN-style observation rows.",25,50,"2026-04-25T18:38:58Z"
"doi:10.5061/dryad.701q8",4214,24177,"DryadPlantTraits/output/downloads/v4214/CompileData.csv","read","read","Loaded 823 rows x 79 columns",0,0,"2026-04-25T18:38:58Z"
"doi:10.5061/dryad.701q8",4214,24177,"DryadPlantTraits/output/downloads/v4214/CompileData.csv","standardize","skipped","No likely trait observation fields detected.",823,0,"2026-04-25T18:39:01Z"
"doi:10.5061/dryad.701q8",4214,24178,"DryadPlantTraits/output/downloads/v4214/README_for_CompileData.csv","read","read","Loaded 81 rows x 5 columns",0,0,"2026-04-25T18:38:58Z"
"doi:10.5061/dryad.701q8",4214,24178,"DryadPlantTraits/output/downloads/v4214/README_for_CompileData.csv","standardize","skipped","No likely trait observation fields detected.",81,0,"2026-04-25T18:39:01Z"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv","read","read","Loaded 313 rows x 17 columns",0,0,"2026-04-25T18:39:01Z"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv","standardize","compiled","Compiled BIEN-style observation rows.",313,626,"2026-04-25T18:39:03Z"
"doi:10.5061/dryad.f66db",14653,53768,"DryadPlantTraits/output/downloads/v14653/root_foraging_per_pot_data.csv","read","read","Loaded 660 rows x 7 columns",0,0,"2026-04-25T18:39:03Z"
"doi:10.5061/dryad.f66db",14653,53768,"DryadPlantTraits/output/downloads/v14653/root_foraging_per_pot_data.csv","standardize","skipped","No likely trait observation fields detected.",660,0,"2026-04-25T18:39:05Z"
"doi:10.5061/dryad.251q438",16491,57228,"DryadPlantTraits/output/downloads/v16491/Kleyer2018.csv","read","read","Loaded 128 rows x 24 columns",0,0,"2026-04-25T18:39:05Z"
"doi:10.5061/dryad.251q438",16491,57228,"DryadPlantTraits/output/downloads/v16491/Kleyer2018.csv","standardize","skipped","No likely trait observation fields detected.",128,0,"2026-04-25T18:39:07Z"
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv","read","read","Loaded 44 rows x 29 columns",0,0,"2026-04-25T18:39:07Z"
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv","standardize","compiled","Compiled BIEN-style observation rows.",44,88,"2026-04-25T18:39:09Z"
"doi:10.5061/dryad.53550",19534,65904,"Species key.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:09Z"
"doi:10.5061/dryad.53550",19534,65903,"Traits per species and quadrat.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:09Z"
"doi:10.5061/dryad.q28h6",19779,66389,"AmesetalCWMdata.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:10Z"
"doi:10.5061/dryad.q28h6",19779,66388,"AmesetalOrdinationData.csv","download_version_zip","failed","Dryad version zip download failed with HTTP status 429.",0,0,"2026-04-25T18:39:10Z"
"doi:10.5061/dryad.8g252",27866,103545,"DryadPlantTraits/output/downloads/v27866/adler_demography.csv","read","read","Loaded 222 rows x 36 columns",0,0,"2026-04-25T18:39:11Z"
"doi:10.5061/dryad.8g252",27866,103545,"DryadPlantTraits/output/downloads/v27866/adler_demography.csv","standardize","skipped","No likely trait observation fields detected.",222,0,"2026-04-25T18:39:13Z"
"doi:10.5061/dryad.8g252",27866,103546,"DryadPlantTraits/output/downloads/v27866/README_for_adler_demography.txt","read","skipped","more columns than column names",0,0,"2026-04-25T18:39:11Z"
"doi:10.5061/dryad.n41d2dv",28598,106914,"DryadPlantTraits/output/downloads/v28598/Full_data_Swiss_intraspecific.csv","read","read","Loaded 582 rows x 9 columns",0,0,"2026-04-25T18:39:13Z"
