Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403842.013,6463261.297
C_undulatum_LL_&_UTM,Single Plant,403840.315,6463260.949
C_undulatum_LL_&_UTM,Single Plant,403841.748,6463259.299
C_undulatum_LL_&_UTM,Single Plant,403840.513,6463259.953
C_undulatum_LL_&_UTM,Single Plant,403840.605,6463260.175
C_undulatum_LL_&_UTM,Single Plant,403840.603,6463260.397
C_undulatum_LL_&_UTM,Single Plant,403840.791,6463260.51
C_undulatum_LL_&_UTM,Single Plant,403843.934,6463257.989
C_undulatum_LL_&_UTM,Single Plant,403844.133,6463256.883
C_undulatum_LL_&_UTM,Single Plant,403844.141,6463256.107
C_undulatum_LL_&_UTM,Single Plant,403847.63,6463256.916
C_undulatum_LL_&_UTM,Single Plant,403846.482,6463258.346
C_undulatum_LL_&_UTM,Single Plant,403848.092,6463258.029
C_undulatum_LL_&_UTM,Single Plant,403844.756,6463260.99
C_undulatum_LL_&_UTM,Single Plant,403844.556,6463262.208
C_undulatum_LL_&_UTM,Single Plant,403846.717,6463263.559
C_undulatum_LL_&_UTM,Single Plant,403845.968,6463262.775
C_undulatum_LL_&_UTM,Single Plant,403847.107,6463262.232
C_undulatum_LL_&_UTM,Single Plant,403848.326,6463263.241
C_undulatum_LL_&_UTM,Single Plant,403845.679,6463263.327
C_undulatum_LL_&_UTM,Single Plant,403847.182,6463264.339
C_undulatum_LL_&_UTM,Single Plant,403849.52,6463266.911
C_undulatum_LL_&_UTM,Single Plant,403854.053,6463257.309
C_undulatum_LL_&_UTM,Single Plant,403856.705,6463256.668
C_undulatum_LL_&_UTM,Single Plant,403858.571,6463259.236
C_undulatum_LL_&_UTM,Single Plant,403861.555,6463263.476
C_undulatum_LL_&_UTM,Single Plant,403867.739,6463279.276
C_undulatum_LL_&_UTM,Single Plant,403868.188,6463281.72
C_undulatum_LL_&_UTM,Single Plant,403866.405,6463280.373
C_undulatum_LL_&_UTM,Single Plant,403868.49,6463279.838
C_undulatum_LL_&_UTM,Single Plant,403870.206,6463278.191
C_undulatum_LL_&_UTM,Single Plant,403871.046,6463279.308
C_undulatum_LL_&_UTM,Single Plant,403870.682,6463277.863
C_undulatum_LL_&_UTM,Single Plant,403870.648,6463281.521
C_undulatum_LL_&_UTM,Single Plant,403872.918,6463281.321
C_undulatum_LL_&_UTM,Single Plant,403873.041,6463278.218
C_undulatum_LL_&_UTM,Single Plant,403873.036,6463278.772
C_undulatum_LL_&_UTM,Single Plant,403875.422,6463276.356
C_undulatum_LL_&_UTM,Single Plant,403876.74,6463276.811
C_undulatum_LL_&_UTM,Single Plant,403878.729,6463276.387
C_undulatum_LL_&_UTM,Single Plant,403877.234,6463274.599
C_undulatum_LL_&_UTM,Single Plant,403871.578,6463272.994
C_undulatum_LL_&_UTM,Single Plant,403875.318,6463277.352
C_undulatum_LL_&_UTM,Single Plant,403836.33,6463262.574
C_undulatum_LL_&_UTM,Single Plant,403837.154,6463265.353
C_undulatum_LL_&_UTM,Single Plant,403838.091,6463266.249
C_undulatum_LL_&_UTM,Single Plant,403838.64,6463268.139
C_undulatum_LL_&_UTM,Single Plant,403838.356,6463268.247
C_undulatum_LL_&_UTM,Single Plant,403837.17,6463273.779
C_undulatum_LL_&_UTM,Single Plant,403837.06,6463275.441
C_undulatum_LL_&_UTM,Single Plant,403836.195,6463276.984
C_undulatum_LL_&_UTM,Single Plant,403836.664,6463277.321
C_undulatum_LL_&_UTM,Single Plant,403832.812,6463274.846
C_undulatum_LL_&_UTM,Single Plant,403830.555,6463273.716
C_undulatum_LL_&_UTM,Single Plant,403829.825,6463270.938
C_undulatum_LL_&_UTM,Single Plant,403833.624,6463268.978
C_undulatum_LL_&_UTM,Single Plant,403848.529,6463271.89
C_undulatum_LL_&_UTM,Single Plant,403831.734,6463268.961
C_undulatum_LL_&_UTM,Single Plant,403831.263,6463268.734
C_undulatum_LL_&_UTM,Single Plant,403827.935,6463270.92
C_undulatum_LL_&_UTM,Single Plant,403830.119,6463269.832
C_undulatum_LL_&_UTM,Single Plant,403828.169,6463266.156
C_undulatum_LL_&_UTM,Single Plant,403829.893,6463263.733
C_undulatum_LL_&_UTM,Single Plant,403829.888,6463264.176
C_undulatum_LL_&_UTM,Single Plant,403827.341,6463263.709
C_undulatum_LL_&_UTM,Single Plant,403825.824,6463264.249
C_undulatum_LL_&_UTM,Single Plant,403831.586,6463264.525
C_undulatum_LL_&_UTM,Single Plant,403836.358,6463259.581
C_undulatum_LL_&_UTM,Single Plant,403836.266,6463259.358
C_undulatum_LL_&_UTM,Single Plant,403822.183,6463259.448
C_undulatum_LL_&_UTM,Single Plant,403821.711,6463259.443
C_undulatum_LL_&_UTM,Single Plant,403825.394,6463259.7
C_undulatum_LL_&_UTM,Single Plant,403822.622,6463262.999
C_undulatum_LL_&_UTM,Single Plant,403819.965,6463264.194
