"species";"island";"islandgroup";"Native";"Cultivated";"family";"order";"dataset";"Invasive";"Original_name";"reference";"refid";"latitude";"longitude"
"Blechum pyramidatum";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Blechum pyramidatum (Lam.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"NA";"Aunu'u";"Samoa";0,5;"0";"NA";"NA";"glonpier";0;"Justica procumbens L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Ruellia prostrata";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia prostrata Poir.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Ruellia tuberosa";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia tuberosa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Achyranthes aspera";"Aunu'u";"Samoa";0,75;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0,5;"Achyranthes aspera L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1,150";"-14.284039";"-170.553464"
"Alternanthera sessilis";"Aunu'u";"Samoa";0;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0;"Alternanthera sessilis (L.) R.Br. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Centella asiatica";"Aunu'u";"Samoa";0;"0";"Apiaceae";"Apiales";"glonpier";0;"Centella asiatica (L.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Bidens pilosa";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Bidens alba (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Emilia sonchifolia";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Emilia sonchifolia (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Mikania micrantha";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glon";0;"Mikania micrantha H.B.K.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Cyanthillium cinereum";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Vernonia cinerea (L.) Less.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Sphagneticola trilobata";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Wedelia triloba (L.) Hitchc.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Euploca procumbens";"Aunu'u";"Samoa";0;"0";"Heliotropiaceae";"Boraginales";"glonpier";0;"Heliotropium procumbens Mill.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Carica papaya";"Aunu'u";"Samoa";0;"0";"Caricaceae";"Brassicales";"glon";0;"Carica papaya L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Luffa cylindrica";"Aunu'u";"Samoa";1;"0";"Cucurbitaceae";"Cucurbitales";"glon";0;"Luffa cylindrica (L.) Roemer";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Acalypha lanceolata";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Acalypha lanceolata Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Bischofia javanica";"Aunu'u";"Samoa";0,5;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0,5;"Bischofia javanica Bl.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1,150";"-14.284039";"-170.553464"
"Euphorbia hirta";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hirta (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Euphorbia hypericifolia";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hypericifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Euphorbia prostrata";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce prostrata (Ait.) Small";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Euphorbia thymifolia";"Aunu'u";"Samoa";0;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce thymifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Phyllanthus amarus";"Aunu'u";"Samoa";0;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0;"Phyllanthus amarus Sch. & Thon.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Abrus precatorius";"Aunu'u";"Samoa";0,75;"0";"Fabaceae";"Fabales";"glonpier";0,5;"Abrus precatorius L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1,150";"-14.284039";"-170.553464"
"Adenanthera pavonina";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Adenanthera pavonina L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Alysicarpus vaginalis";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Alysicarpus vaginalis (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Crotalaria retusa";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Crotalaria retusa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Desmodium incanum";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium incanum DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Desmodium triflorum";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium triflorum (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Inocarpus fagifer";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Inocarpus fagifer (Parkinson) Fosb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Leucaena leucocephala";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Leucaena leucocephala (Lam.) de Wit";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Mimosa pudica";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Mimosa pudica L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Pueraria montana";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Pueraria lobata (Willd.) Ohwi";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Uraria lagopodioides";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Uraria lagopodoides (L.) Desv. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Abelmoschus moschatus";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glonpier";0;"Hibiscus abelmoschus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Sida rhombifolia";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glonpier";0;"Sida rhombifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Sida parvifolia";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glon";0;"Sida samoensis Rechinger";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Psidium guajava";"Aunu'u";"Samoa";0;"0";"Myrtaceae";"Myrtales";"glonpier";0;"Psidium guajava L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Ludwigia hyssopifolia";"Aunu'u";"Samoa";0;"0";"Onagraceae";"Myrtales";"glonpier";0;"Ludwigia hyssopifolia (G.Don) Exell";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Ludwigia octovalvis";"Aunu'u";"Samoa";0,25;"0";"Onagraceae";"Myrtales";"glonpier";0,5;"Ludwigia octocalvis (Jacq.) Raven";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1,150";"-14.284039";"-170.553464"
"Passiflora foetida";"Aunu'u";"Samoa";0;"0";"Passifloraceae";"Malpighiales";"glonpier";0;"Passiflora foetida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Peperomia pellucida";"Aunu'u";"Samoa";0;"0";"Piperaceae";"Piperales";"glonpier";0;"Peperomia pellucida (L.) Kunth";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Polygala paniculata";"Aunu'u";"Samoa";0;"0";"Polygalaceae";"Fabales";"glonpier";0;"Polygala paniculata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Portulaca oleracea";"Aunu'u";"Samoa";0;"0";"Portulacaceae";"Caryophyllales";"glonpier";0;"Portulaca oleracea L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Portulaca quadrifida";"Aunu'u";"Samoa";0;"0";"Portulacaceae";"Caryophyllales";"glon";0;"Portulaca quadrifida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Gardenia taitensis";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Gardenia taitensis DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Morinda citrifolia";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Morinda citrifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Spermacoce rubescens";"Aunu'u";"Samoa";0;"0";"Rubiaceae";"Gentianales";"glon";0;"Spermacoce assurgens Ruiz and Pavon";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Physalis angulata";"Aunu'u";"Samoa";0;"0";"Solanaceae";"Solanales";"glonpier";0;"Physalis angulata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Triumfetta rhomboidea";"Aunu'u";"Samoa";0;"0";"Sparrmanniaceae";"Malvales";"glonpier";0;"Triumfetta rhomboidea Jacq.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Premna serratifolia";"Aunu'u";"Samoa";0;"0";"Lamiaceae";"Lamiales";"glon";0;"Premna serratifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Stachytarpheta urticifolia";"Aunu'u";"Samoa";0;"0";"Verbenaceae";"Lamiales";"glon";0;"Stachytarpheta urticaefolia (Salisb.) Sims";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Amorphophallus paeoniifolius";"Aunu'u";"Samoa";0;"0";"Araceae";"Alismatales";"glon";0;"Amorphophallus paeoniifolius (Dennst.) Nicholson";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
