"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid"
"3835";"Blechum pyramidatum";"Aunu'u";"Samoa";0,0555555555555556;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Blechum pyramidatum (Lam.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Blechum pyramidatum_Samoa";"Blechum pyramidatum_Aunu'u";"glonpier";0;0;"1"
"3836";"NA";"Aunu'u";"Samoa";0,360126050420168;"0";"NA";"NA";"glonpier";0;"Justica procumbens L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"NA_Samoa";"NA_Aunu'u";"glonpier";0,5;0;"1"
"3837";"Ruellia prostrata";"Aunu'u";"Samoa";0,13;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia prostrata Poir.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ruellia prostrata_Samoa";"Ruellia prostrata_Aunu'u";"glonpier";0;0;"1"
"3838";"Ruellia tuberosa";"Aunu'u";"Samoa";0,229166666666667;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia tuberosa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ruellia tuberosa_Samoa";"Ruellia tuberosa_Aunu'u";"glonpier";0;0;"1"
"3839";"Achyranthes aspera";"Aunu'u";"Samoa";0,658333333333333;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0,5;"Achyranthes aspera L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Achyranthes aspera_Samoa";"Achyranthes aspera_Aunu'u";"glonpier";0,75;0;"1,150"
"3840";"Alternanthera sessilis";"Aunu'u";"Samoa";0,283333333333333;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0;"Alternanthera sessilis (L.) R.Br. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Alternanthera sessilis_Samoa";"Alternanthera sessilis_Aunu'u";"glonpier";0;0;"1"
"3841";"Centella asiatica";"Aunu'u";"Samoa";0,189285714285714;"0";"Apiaceae";"Apiales";"glonpier";0;"Centella asiatica (L.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Centella asiatica_Samoa";"Centella asiatica_Aunu'u";"glonpier";0;0;"1"
"3842";"Bidens pilosa";"Aunu'u";"Samoa";0,0833333333333333;"0";"Asteraceae";"Asterales";"glonpier";0;"Bidens alba (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bidens pilosa_Samoa";"Bidens pilosa_Aunu'u";"glonpier";0;0;"1"
"3844";"Emilia sonchifolia";"Aunu'u";"Samoa";0,161111111111111;"0";"Asteraceae";"Asterales";"glonpier";0;"Emilia sonchifolia (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Emilia sonchifolia_Samoa";"Emilia sonchifolia_Aunu'u";"glonpier";0;0;"1"
"3845";"Mikania micrantha";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glon";0;"Mikania micrantha H.B.K.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Mikania micrantha_Samoa";"Mikania micrantha_Aunu'u";"glon";0;0;"1"
"3846";"Cyanthillium cinereum";"Aunu'u";"Samoa";0,15625;"0";"Asteraceae";"Asterales";"glonpier";0;"Vernonia cinerea (L.) Less.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyanthillium cinereum_Samoa";"Cyanthillium cinereum_Aunu'u";"glonpier";0;0;"1"
"3847";"Sphagneticola trilobata";"Aunu'u";"Samoa";0,05;"0";"Asteraceae";"Asterales";"glonpier";0;"Wedelia triloba (L.) Hitchc.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sphagneticola trilobata_Samoa";"Sphagneticola trilobata_Aunu'u";"glonpier";0;0;"1"
"3848";"Euploca procumbens";"Aunu'u";"Samoa";0,208333333333333;"0";"Heliotropiaceae";"Boraginales";"glonpier";0;"Heliotropium procumbens Mill.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euploca procumbens_Samoa";"Euploca procumbens_Aunu'u";"glonpier";0;0;"1"
"3849";"Carica papaya";"Aunu'u";"Samoa";0;"0";"Caricaceae";"Brassicales";"glon";0;"Carica papaya L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Carica papaya_Samoa";"Carica papaya_Aunu'u";"glon";0;0;"1"
"3850";"Luffa cylindrica";"Aunu'u";"Samoa";1;"0";"Cucurbitaceae";"Cucurbitales";"glon";0;"Luffa cylindrica (L.) Roemer";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Luffa cylindrica_Samoa";"Luffa cylindrica_Aunu'u";"glon";1;0;"1"
"3851";"Acalypha lanceolata";"Aunu'u";"Samoa";0,246666666666667;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Acalypha lanceolata Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Acalypha lanceolata_Samoa";"Acalypha lanceolata_Aunu'u";"glonpier";0;0;"1"
"3852";"Bischofia javanica";"Aunu'u";"Samoa";0,642857142857143;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0,5;"Bischofia javanica Bl.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bischofia javanica_Samoa";"Bischofia javanica_Aunu'u";"glonpier";0,5;0;"1,150"
"3853";"Euphorbia hirta";"Aunu'u";"Samoa";0,156944444444444;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hirta (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia hirta_Samoa";"Euphorbia hirta_Aunu'u";"glonpier";0;0;"1"
"3854";"Euphorbia hypericifolia";"Aunu'u";"Samoa";0,3125;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce hypericifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia hypericifolia_Samoa";"Euphorbia hypericifolia_Aunu'u";"glonpier";0;0;"1"
"3855";"Euphorbia prostrata";"Aunu'u";"Samoa";0,138888888888889;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce prostrata (Ait.) Small";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia prostrata_Samoa";"Euphorbia prostrata_Aunu'u";"glonpier";0;0;"1"
"3856";"Euphorbia thymifolia";"Aunu'u";"Samoa";0,15;"0";"Euphorbiaceae";"Malpighiales";"glonpier";0;"Chamaesyce thymifolia (L.) Millsp.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Euphorbia thymifolia_Samoa";"Euphorbia thymifolia_Aunu'u";"glonpier";0;0;"1"
"3857";"Phyllanthus amarus";"Aunu'u";"Samoa";0,140277777777778;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0;"Phyllanthus amarus Sch. & Thon.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Phyllanthus amarus_Samoa";"Phyllanthus amarus_Aunu'u";"glonpier";0;0;"1"
"3858";"Abrus precatorius";"Aunu'u";"Samoa";0,697916666666667;"0";"Fabaceae";"Fabales";"glonpier";0,5;"Abrus precatorius L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Abrus precatorius_Samoa";"Abrus precatorius_Aunu'u";"glonpier";0,75;0;"1,150"
"3859";"Adenanthera pavonina";"Aunu'u";"Samoa";0,241666666666667;"0";"Fabaceae";"Fabales";"glonpier";0;"Adenanthera pavonina L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Adenanthera pavonina_Samoa";"Adenanthera pavonina_Aunu'u";"glonpier";0;0;"1"
"3860";"Alysicarpus vaginalis";"Aunu'u";"Samoa";0,236111111111111;"0";"Fabaceae";"Fabales";"glonpier";0;"Alysicarpus vaginalis (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Alysicarpus vaginalis_Samoa";"Alysicarpus vaginalis_Aunu'u";"glonpier";0;0;"1"
"3861";"Crotalaria retusa";"Aunu'u";"Samoa";0,194444444444444;"0";"Fabaceae";"Fabales";"glonpier";0;"Crotalaria retusa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Crotalaria retusa_Samoa";"Crotalaria retusa_Aunu'u";"glonpier";0;0;"1"
"3862";"Desmodium incanum";"Aunu'u";"Samoa";0,152777777777778;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium incanum DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Desmodium incanum_Samoa";"Desmodium incanum_Aunu'u";"glonpier";0;0;"1"
