"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid";"latitude";"longitude"
"3835";"Blechum pyramidatum";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Blechum pyramidatum (Lam.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Blechum pyramidatum_Samoa";"Blechum pyramidatum_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3836";"NA";"Aunu'u";"Samoa";0,5;"0";"NA";"NA";"glonpier";0;"Justica procumbens L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"NA_Samoa";"NA_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3837";"Ruellia prostrata";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia prostrata Poir.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ruellia prostrata_Samoa";"Ruellia prostrata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3838";"Ruellia tuberosa";"Aunu'u";"Samoa";0;"0";"Acanthaceae";"Lamiales";"glonpier";0;"Ruellia tuberosa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ruellia tuberosa_Samoa";"Ruellia tuberosa_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3839";"Achyranthes aspera";"Aunu'u";"Samoa";0,75;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0,5;"Achyranthes aspera L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Achyranthes aspera_Samoa";"Achyranthes aspera_Aunu'u";"glonpier";1;0;"1,150";"-14.284039";"-170.553464"
"3840";"Alternanthera sessilis";"Aunu'u";"Samoa";0;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0;"Alternanthera sessilis (L.) R.Br. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Alternanthera sessilis_Samoa";"Alternanthera sessilis_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3841";"Centella asiatica";"Aunu'u";"Samoa";0;"0";"Apiaceae";"Apiales";"glonpier";0;"Centella asiatica (L.) Urb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Centella asiatica_Samoa";"Centella asiatica_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3842";"Bidens pilosa";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Bidens alba (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bidens pilosa_Samoa";"Bidens pilosa_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3844";"Emilia sonchifolia";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Emilia sonchifolia (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Emilia sonchifolia_Samoa";"Emilia sonchifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3845";"Mikania micrantha";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glon";0;"Mikania micrantha H.B.K.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Mikania micrantha_Samoa";"Mikania micrantha_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3846";"Cyanthillium cinereum";"Aunu'u";"Samoa";0;"0";"Asteraceae";"Asterales";"glonpier";0;"Vernonia cinerea (L.) Less.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyanthillium cinereum_Samoa";"Cyanthillium cinereum_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
