"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","fetch_chunk"
"scientific_data","10.1038/sdata.2016.2","2016-01","Plant traits, productivity, biomass and soil properties from forest sites in the Pacific Northwest, 1999–2014","Logan T. Berner; Beverly E. Law","<jats:title>Abstract</jats:title><jats:p>Plant trait measurements are needed for evaluating ecological responses to environmental conditions and for ecosystem process model development, parameterization, and testing. We present a standardized dataset integrating measurements from projects conducted by the Terrestrial Ecosystem Research and Regional Analysis- Pacific Northwest (TERRA-PNW) research group between 1999 and 2014 across Oregon and Northern California, where measurements were collected for scaling and modeling regional terrestrial carbon processes with models such as Biome-BGC and the Community Land Model. The dataset contains measurements of specific leaf area, leaf longevity, leaf carbon and nitrogen for 35 tree and shrub species derived from more than 1,200 branch samples collected from over 200 forest plots, including several AmeriFlux sites. The dataset also contains plot-level measurements of forest composition, structure (e.g., tree biomass), and productivity, as well as measurements of soil structure (e.g., bulk density) and chemistry (e.g., carbon). Publically-archiving regional datasets of standardized, co-located, and geo-referenced plant trait measurements will advance the ability of earth system models to capture species-level climate sensitivity at regional to global scales.</jats:p>",NA,NA,NA,38,TRUE,"plant_hits=6; trait_hits=4; measurement_hits=2; exclude_hits=0; title_override=TRUE","10.1038/sdata.2016.2","https://doi.org/10.1038/sdata.2016.2","https://doi.org/10.1038/sdata.2016.2","2016-01"
"scientific_data","10.1038/sdata.2017.60","2017-05","Seagrass morphometrics at species level in Moreton Bay, Australia from 2012 to 2013","Jimena Samper-Villarreal; Chris Roelfsema; Eva M. Kovacs; Novi S. Adi; Mitchell Lyons; Peter J. Mumby; Catherine E. Lovelock; Megan I. Saunders; Stuart R. Phinn","<jats:title>Abstract</jats:title><jats:p>Seagrass above, below and total biomass, density and leaf area, length and width were quantified at a species level for 122 sites over three sampling periods in Moreton Bay, Australia. Core samples were collected in two regions: (1) a high water quality region with varying species assemblages and canopy complexity (98 sites); and (2) along a turbidity gradient in the bay (24 sites within four locations). Core samples were collected using a 15 cm diameter×20 cm long corer. Seagrass dry biomass per component was quantified per species present in each sample. A total of 220 biomass and density data records are included, 130 from the high water quality region and 90 from the turbidity gradient. These data provide a detailed assessment of biomass, density and leaf metrics per species sampled from Moreton Bay over 2012–2013. In future, these can be used as a baseline to assess seasonal and spatial variation within the bay, within the region and among regions.</jats:p>",NA,NA,NA,10,TRUE,"plant_hits=2; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/sdata.2017.60","https://doi.org/10.1038/sdata.2017.60","https://doi.org/10.1038/sdata.2017.60, 10.1594/PANGAEA.833767, 10.1594/PANGAEA.864316","2017-05"
"scientific_data","10.1038/sdata.2018.132","2018-07","FRY, a global database of fire patch functional traits derived from space-borne burned area products","Pierre Laurent; Florent Mouillot; Chao Yue; Philippe Ciais; M. Vanesa Moreno; Joana M. P. Nogueira","<jats:title>Abstract</jats:title><jats:p>Vegetation fires are intrinsic ecosystem disturbances of the Earth system. Global burned area products have been delivered from several space-borne instruments, and have recently provided pixel-level information underpinning fire spread processes. Here we present FRY, a global database of fire patches with morphology-based functional traits reconstructed from pixel-based burned areas derived from the MODIS and MERIS imagery using a flood-fill algorithm. Each fire patch is characterized by the geo-location of its center, area, perimeter, the features of the ellipse fitted over its pixel’s spatial distribution, and different indices of patch complexity. We obtained a consistent spatial distribution of global fire patch functional traits between the MCD64A1 Collection 6 and the MERIS fire_cci v4.1 datasets during their overlap period (2005-2011), confirming the robustness of the applied algorithm and the consistency between both products. This database is relevant to a broad spectrum of fire-related applications such as local to global functional pyrodiversity, fire emissions quantification, and the benchmarking of fire modules embedded in dynamic global vegetation models.</jats:p>",NA,NA,NA,11,TRUE,"plant_hits=1; trait_hits=1; measurement_hits=2; exclude_hits=0","10.1038/sdata.2018.132","https://doi.org/10.1038/sdata.2018.132","https://doi.org/10.1038/sdata.2018.132","2018-07"
"scientific_data","10.1038/sdata.2018.135","2018-07","A functional trait database for Mediterranean Basin plants","Çağatay Tavşanoğlu; Juli G. Pausas","<jats:title>Abstract</jats:title><jats:p>Functional trait databases are emerging as crucial tools for a wide range of ecological studies across the world. Here, we provide a database of functional traits for vascular plant species of the Mediterranean Basin. The database includes 25,764 individual records of 44 traits from 2,457 plant taxa distributed in 119 taxonomic families. This database (BROT 2.0) is an updated and enlarged version of a previous database (BROT 1.0; 8,263 records, 14 traits, 952 taxa). Trait data were obtained from a comprehensive literature review, plus some field and experimental observations. All records are fully referenced and, in many cases, include geographic coordinates. The database is structured to include different levels of accuracy of trait information for each entry. BROT 2.0 should facilitate testing hypotheses on plant functional ecology within the Mediterranean Basin, and comparing this region with other ecosystems worldwide. The BROT 2.0 database and its trait definitions can be used as a template for creating similar trait databases in other regions of the world.</jats:p>",NA,NA,NA,28,TRUE,"plant_hits=4; trait_hits=3; measurement_hits=2; exclude_hits=0","10.1038/sdata.2018.135","https://doi.org/10.1038/sdata.2018.135","https://doi.org/10.1038/sdata.2018.135, 10.6084/m9.figshare.c.3843841","2018-07"
"scientific_data","10.1038/s41597-019-0146-y","2019-07","Historical phenotypic data from seven decades of seed regeneration in a wheat ex situ collection","Norman Philipp; Stephan Weise; Markus Oppermann; Andreas Börner; Jens Keilwagen; Benjamin Kilian; Daniel Arend; Yusheng Zhao; Andreas Graner; Jochen C. Reif; Albert W. Schulthess","<jats:title>Abstract</jats:title><jats:p>Genebanks are valuable sources of genetic diversity, which can help to cope with future problems of global food security caused by a continuously growing population, stagnating yields and climate change. However, the scarcity of phenotypic and genotypic characterization of genebank accessions severely restricts their use in plant breeding. To warrant the seed integrity of individual accessions during periodical regeneration cycles in the field phenotypic characterizations are performed. This study provides non-orthogonal historical data of 12,754 spring and winter wheat accessions characterized for flowering time, plant height, and thousand grain weight during 70 years of seed regeneration at the German genebank. Supported by historical weather observations outliers were removed following a previously described quality assessment pipeline. In this way, ready-to-use processed phenotypic data across regeneration years were generated and further validated. We encourage international and national genebanks to increase their efforts to transform into bio-digital resource centers. A first important step could consist in unlocking their historical data treasures that allows an educated choice of accessions by scientists and breeders.</jats:p>",NA,NA,NA,12,TRUE,"plant_hits=2; trait_hits=1; measurement_hits=1; exclude_hits=0","10.1038/s41597-019-0146-y","https://doi.org/10.1038/s41597-019-0146-y","https://doi.org/10.1038/s41597-019-0146-y","2019-07"
"scientific_data","10.1038/s41597-019-0150-2","2019-08","MOD-LSP, MODIS-based parameters for hydrologic modeling of North American land cover change","Theodore J. Bohn; Enrique R. Vivoni","<jats:title>Abstract</jats:title><jats:p>Earth systems models require gridded land surface properties to compute fluxes of water, energy, and carbon within the landscape and to the atmosphere. However, most parameter sets contain time-invariant properties despite their known variability. Here we present new MODerate Resolution Imaging Spectroradiometer (MODIS)-based land surface parameters (MOD-LSP) formatted for the Variable Infiltration Capacity (VIC) hydrologic model that account for seasonal and interannual variability and longer-term change over the continental United States, Mexico, and southern Canada at 0.0625° spatial resolution and monthly temporal resolution. MOD-LSP improves over previously-available parameter sets via: (1) land cover maps of higher native spatial resolution; (2) multiple versions corresponding to the land cover of years 1992, 2001, and 2011; (3) spatially-explicit mean annual cycles of land surface properties, including leaf area index, canopy fraction, and albedo, derived from 17 years of observations; and (4) additional 17-year time series of these properties. The MOD-LSP parameters are useful as inputs to the VIC model, as an example land surface scheme, to assess the hydrologic impacts of land cover change from interannual to decadal scales; and as stand-alone datasets characterizing the temporal variability of these properties as a function of land cover class.</jats:p>",NA,NA,NA,12,TRUE,"plant_hits=2; trait_hits=1; measurement_hits=1; exclude_hits=0","10.1038/s41597-019-0150-2","https://doi.org/10.1038/s41597-019-0150-2","10.5281/zenodo.1256120, 10.5281/zenodo.2649737, 10.5281/zenodo.2612560, 10.5281/zenodo.1402223, 10.5281/zenodo.2649756, 10.5281/zenodo.2591501","2019-08"
"scientific_data","10.1038/s41597-019-0340-y","2020-01","The GenTree Dendroecological Collection, tree-ring and wood density data from seven tree species across Europe","Elisabet Martínez-Sancho; Lenka Slámová; Sandro Morganti; Claudio Grefen; Barbara Carvalho; Benjamin Dauphin; Christian Rellstab; Felix Gugerli; Lars Opgenoorth; Katrin Heer; Florian Knutzen; Georg von Arx; Fernando Valladares; Stephen Cavers; Bruno Fady; Ricardo Alía; Filippos Aravanopoulos; Camilla Avanzi; Francesca Bagnoli; Evangelos Barbas; Catherine Bastien; Raquel Benavides; Frédéric Bernier; Guillaume Bodineau; Cristina C. Bastias; Jean-Paul Charpentier; José M. Climent; Marianne Corréard; Florence Courdier; Darius Danusevicius; Anna-Maria Farsakoglou; José M. García del Barrio; Olivier Gilg; Santiago C. González-Martínez; Alan Gray; Christoph Hartleitner; Agathe Hurel; Arnaud Jouineau; Katri Kärkkäinen; Sonja T. Kujala; Mariaceleste Labriola; Martin Lascoux; Marlène Lefebvre; Vincent Lejeune; Grégoire Le-Provost; Mirko Liesebach; Ermioni Malliarou; Nicolas Mariotte; Silvia Matesanz; Célia Michotey; Pascal Milesi; Tor Myking; Eduardo Notivol; Birte Pakull; Andrea Piotti; Christophe Plomion; Mehdi Pringarbe; Tanja Pyhäjärvi; Annie Raffin; José A. Ramírez-Valiente; Kurt Ramskogler; Juan J. Robledo-Arnuncio; Outi Savolainen; Silvio Schueler; Vladimir Semerikov; Ilaria Spanu; Jean Thévenet; Mari Mette Tollefsrud; Norbert Turion; Dominique Veisse; Giovanni Giuseppe Vendramin; Marc Villar; Johan Westin; Patrick Fonti","<jats:title>Abstract</jats:title><jats:p>The dataset presented here was collected by the GenTree project (EU-Horizon 2020), which aims to improve the use of forest genetic resources across Europe by better understanding how trees adapt to their local environment. This dataset of individual tree-core characteristics including ring-width series and whole-core wood density was collected for seven ecologically and economically important European tree species: silver birch (<jats:italic>Betula pendula</jats:italic>), European beech (<jats:italic>Fagus sylvatica</jats:italic>), Norway spruce (<jats:italic>Picea abies</jats:italic>), European black poplar (<jats:italic>Populus nigra</jats:italic>), maritime pine (<jats:italic>Pinus pinaster</jats:italic>), Scots pine (<jats:italic>Pinus sylvestris</jats:italic>), and sessile oak (<jats:italic>Quercus petraea</jats:italic>). Tree-ring width measurements were obtained from 3600 trees in 142 populations and whole-core wood density was measured for 3098 trees in 125 populations. This dataset covers most of the geographical and climatic range occupied by the selected species. The potential use of it will be highly valuable for assessing ecological and evolutionary responses to environmental conditions as well as for model development and parameterization, to predict adaptability under climate change scenarios.</jats:p>",NA,NA,NA,19,TRUE,"plant_hits=3; trait_hits=1; measurement_hits=3; exclude_hits=0","10.1038/s41597-019-0340-y","https://doi.org/10.1038/s41597-019-0340-y","https://doi.org/10.1038/s41597-019-0340-y, 10.6084/m9.figshare.c.4561037, 10.5061/dryad.234","2020-01"
"scientific_data","10.1038/s41597-020-0447-1","2020-04","Author Correction: The GenTree Dendroecological Collection, tree-ring and wood density data from seven tree species across Europe","Elisabet Martínez-Sancho; Lenka Slámová; Sandro Morganti; Claudio Grefen; Barbara Carvalho; Benjamin Dauphin; Christian Rellstab; Felix Gugerli; Lars Opgenoorth; Katrin Heer; Florian Knutzen; Georg von Arx; Fernando Valladares; Stephen Cavers; Bruno Fady; Ricardo Alía; Filippos Aravanopoulos; Camilla Avanzi; Francesca Bagnoli; Evangelos Barbas; Catherine Bastien; Raquel Benavides; Frédéric Bernier; Guillaume Bodineau; Cristina C. Bastias; Jean-Paul Charpentier; José M. Climent; Marianne Corréard; Florence Courdier; Darius Danusevicius; Anna-Maria Farsakoglou; José M. García del Barrio; Olivier Gilg; Santiago C. González-Martínez; Alan Gray; Christoph Hartleitner; Agathe Hurel; Arnaud Jouineau; Katri Kärkkäinen; Sonja T. Kujala; Mariaceleste Labriola; Martin Lascoux; Marlène Lefebvre; Vincent Lejeune; Grégoire Le-Provost; Mirko Liesebach; Ermioni Malliarou; Nicolas Mariotte; Silvia Matesanz; Célia Michotey; Pascal Milesi; Tor Myking; Eduardo Notivol; Birte Pakull; Andrea Piotti; Christophe Plomion; Mehdi Pringarbe; Tanja Pyhäjärvi; Annie Raffin; José A. Ramírez-Valiente; Kurt Ramskogler; Juan J. Robledo-Arnuncio; Outi Savolainen; Silvio Schueler; Vladimir Semerikov; Ilaria Spanu; Jean Thévenet; Mari Mette Tollefsrud; Norbert Turion; Dominique Veisse; Giovanni Giuseppe Vendramin; Marc Villar; Johan Westin; Patrick Fonti","<jats:p>An amendment to this paper has been published and can be accessed via a link at the top of the paper.</jats:p>",NA,NA,NA,10,FALSE,"plant_hits=2; trait_hits=1; measurement_hits=0; exclude_hits=0; dropped: Author Correction paper, no associated dataset","10.1038/s41597-020-0447-1","https://doi.org/10.1038/s41597-020-0447-1","https://doi.org/10.1038/s41597-020-0447-1","2020-04"
"scientific_data","10.1038/s41597-020-0459-x","2020-04","A fine-tuned global distribution dataset of marine forests","Jorge Assis; Eliza Fragkopoulou; Duarte Frade; João Neiva; André Oliveira; David Abecasis; Sylvain Faugeron; Ester A. Serrão","<jats:title>Abstract</jats:title><jats:p>Species distribution records are a prerequisite to follow climate-induced range shifts across space and time. However, synthesizing information from various sources such as peer-reviewed literature, herbaria, digital repositories and citizen science initiatives is not only costly and time consuming, but also challenging, as data may contain thematic and taxonomic errors and generally lack standardized formats. We address this gap for important marine ecosystem-structuring species of large brown algae and seagrasses. We gathered distribution records from various sources and provide a fine-tuned dataset with ~2.8 million dereplicated records, taxonomically standardized for 682 species, and considering important physiological and biogeographical traits. Specifically, a flagging system was implemented to signal potentially incorrect records reported on land, in regions with limiting light conditions for photosynthesis, and outside the known distribution of species, as inferred from the most recent published literature. We document the procedure and provide a dataset in tabular format based on Darwin Core Standard (DwC), alongside with a set of functions in R language for data management and visualization.</jats:p>",NA,NA,NA,18,TRUE,"plant_hits=4; trait_hits=1; measurement_hits=1; exclude_hits=0","10.1038/s41597-020-0459-x","https://doi.org/10.1038/s41597-020-0459-x","10.6084/m9.figshare.7854767","2020-04"
"scientific_data","10.1038/s41597-020-0529-0","2020-06","Plant traits and vegetation data from climate warming experiments along an 1100 m elevation gradient in Gongga Mountains, China","Vigdis Vandvik; Aud H. Halbritter; Yan Yang; Hai He; Li Zhang; Alexander B. Brummer; Kari Klanderud; Brian S. Maitner; Sean T. Michaletz; Xiangyang Sun; Richard J. Telford; Genxu Wang; Inge H. J. Althuizen; Jonathan J. Henn; William Fernando Erazo Garcia; Ragnhild Gya; Francesca Jaroszynska; Blake L. Joyce; Rebecca Lehman; Michelangelo Sergio Moerland; Elisabeth Nesheim-Hauge; Linda Hovde Nordås; Ahui Peng; Claire Ponsac; Lorah Seltzer; Christien Steyn; Megan K. Sullivan; Jesslyn Tjendra; Yao Xiao; Xiaoxiang Zhao; Brian J. Enquist","<jats:title>Abstract</jats:title><jats:p>Functional trait data enhance climate change research by linking climate change, biodiversity response, and ecosystem functioning, and by enabling comparison between systems sharing few taxa. Across four sites along a 3000–4130 m a.s.l. gradient spanning 5.3 °C in growing season temperature in Mt. Gongga, Sichuan, China, we collected plant functional trait and vegetation data from control plots, open top chambers (OTCs), and reciprocally transplanted vegetation turfs. Over five years, we recorded vascular plant composition in 140 experimental treatment and control plots. We collected trait data associated with plant resource use, growth, and life history strategies (leaf area, leaf thickness, specific leaf area, leaf dry matter content, leaf C, N and P content and C and N isotopes) from local populations and from experimental treatments. The database consists of 6,671 plant records and 36,743 trait measurements (increasing the trait data coverage of the regional flora by 500%) covering 11 traits and 193 plant taxa (ca. 50% of which have no previous published trait data) across 37 families.</jats:p>",NA,NA,NA,49,TRUE,"plant_hits=5; trait_hits=8; measurement_hits=1; exclude_hits=0; title_override=TRUE","10.1038/s41597-020-0529-0","https://doi.org/10.1038/s41597-020-0529-0","10.5281/zenodo.3886332","2020-06"
