"source_provider","provider_dataset_id","zenodo_record_id","doi","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale"
"zenodo","zenodo:19855295","19855295","10.5281/zenodo.19855295","plant* trait*","Enacting Critical Thinking in Dialogic Picture Book Instruction: Skills and Dispositions in Late Childhood Classroom Discourse","Yao, Ying; Huang, Jiali; Li, Miaomiao","This dataset is derived from a classroom study based on the reading activity. The dataset focuses on the development and manifestation of critical thinking skills, including interpretation, analysis, inference, explanation, and self-regulation. Classroom discourse and written responses were coded using a structured coding scheme in MAXQDA. The classroom interaction data capture teacher&ndash;student and student&ndash;student exchanges. The assignment data further illustrate students&rsquo; independent application of critical thinking skills in written form, particularly in evaluating perspectives, generating alternative interpretations, and reflecting on prior assumptions. The student-level dataset provides quantitative summaries of participation frequency, number of critical thinking segments, and multidimensional coding patterns, along with background variables such as gender, personality traits, and academic performance. All data have been anonymized.",,"dataset",,8,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19851446","19851446","10.5281/zenodo.19851446","plant* trait*","REGENERATIVE PROPERTIES OF PHARMACEUTICAL CREAMS BASED ON CARTHAMUS TINCTORIUS L. EXTRACT: PHARMACOLOGICAL MECHANISMS OF ACTION AND FUTURE PERSPECTIVES","Shukurjonova Sevara Shuxratovna","Skin regeneration remains a critical challenge in dermatology, particularly for chronic wounds and burns.&nbsp; Carthamus tinctorius &nbsp;L. (Safflower), a plant rich in bioactive flavonoids and fatty acids, has shown significant potential in accelerating tissue repair. This study evaluates the efficacy of a pharmaceutical cream infused with&nbsp; C. tinctorius &nbsp;extract. Through biochemical analysis and histological observations, the research highlights the cream's ability to modulate inflammatory cytokines and promote collagen synthesis. The results suggest that safflower extract is a viable candidate for advanced wound-healing formulations. Background: &nbsp;The integrity of modern pharmaceutical development rests upon a foundation of rigorous ethical and procedural frameworks. Good Laboratory Practice (GLP) and Good Clinical Practice (GCP) represent the dual pillars that ensure the transition of a chemical entity from a laboratory concept to a safe therapeutic intervention. &nbsp; Objective: &nbsp;This study aims to analyze the critical role of GLP and GCP compliance as the primary safeguard for drug safety and efficacy within the global regulatory landscape. Methods: &nbsp;A comprehensive systematic review was conducted, examining the International Council for Harmonisation (ICH) guidelines and comparative case studies of regulatory approvals and clinical failures. The analysis focuses on the bioethical implications of data integrity and subject protection. Results: &nbsp;The findings demonstrate that adherence to GLP standards in non-clinical safety studies provides a reproducible toxicological profile, which is essential for risk assessment. Simultaneously, GCP compliance ensures the ethical treatment of human participants through robust Informed Consent processes and Institutional Review Board (IRB) oversight. Data suggests that deviations from these standards not only jeopardize patient safety but also lead to significant legal and financial repercussions for pharmaceutical organizations. Conclusion: &nbsp;Bioethical standards are not merely administrative requirements but are essential moral and scientific imperatives. Strengthening the global harmonization of GLP and GCP is vital for maintaining public trust in the healthcare system and ensuring that only high-quality, evidence-based medicines reach the market. &nbsp;",,"dataset",,6,FALSE,"plant_hits=2; trait_hits=0; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19848817","19848817","10.5281/zenodo.19848817","plant* trait*","SOCIO-PSYCHOLOGICAL ASPECTS OF THE DECLINE OF ACADEMIC MOTIVATION IN ADOLESCENCE","Davronova Go'zal Shuhrat kizi","This scientific article examines the socio-psychological aspects of the decline of academic motivation during adolescence. It analyzes the nature of learning motivation, its structural components, the psychological characteristics of adolescence, and the factors influencing the decrease in motivation, including family, educational institutions, peer environment, and individual psychological traits. The paper also presents effective psychological and pedagogical approaches aimed at restoring and developing academic motivation.",,"dataset",,10,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=1; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19846890","19846890","10.5281/zenodo.19846890","plant* trait*","ANALYZING STUDENTS' EMOTIONAL INTELLIGENCE AND SOCIAL SKILLS THROUGH DIGITAL DIAGNOSTICS","Xamroyeva Nargiza Shavkatovna","This study explores the role of digital diagnostics in assessing students&rsquo; emotional intelligence (EI) and social skills. Emotional intelligence, comprising self-awareness, self-regulation, motivation, empathy, and social skills, is crucial for students&rsquo; academic success and interpersonal development. The integration of digital diagnostic tools allows educators to collect real-time, objective data on students&rsquo; emotional and social competencies, providing insights for personalized interventions. By leveraging technology, schools can enhance assessment accuracy, track developmental progress, and promote socio-emotional learning in a systematic, data-driven manner.",,"dataset",,3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19846186","19846186","10.5281/zenodo.19846186","plant* trait*","AMARANTH (AMARANTHUS L.) AS A FUNCTIONAL CROP: BOTANICAL CHARACTERISTICS, NUTRITIONAL PROFILE, AND THERAPEUTIC POTENTIAL IN GASTROINTESTINAL DISORDERS","Muzaffarova Nigora Safarovna","Background: &nbsp;Amaranth (Amaranthus L.) is an ancient crop with significant nutritional and pharmacological properties. In recent decades, it has attracted global attention due to its high protein content, essential amino acids, and bioactive compounds with potential therapeutic effects. Objective: &nbsp;This study aims to systematically evaluate the botanical characteristics, geographical distribution, nutritional composition, and therapeutic significance of Amaranthus species, with particular emphasis on their role in gastrointestinal health. Methods: &nbsp;A comprehensive literature review was conducted using botanical, agronomic, and biomedical sources. Key species such as&nbsp; Amaranthus caudatus ,&nbsp; A. hybridus , and&nbsp; A. retroflexus &nbsp;were analyzed in terms of their biological, nutritional, and pharmacological properties. Results: &nbsp;Amaranth demonstrates high nutritional value, including elevated protein content (14&ndash;19%), lysine-rich amino acid composition, and significant levels of polyphenols, dietary fiber, and squalene. These compounds exhibit antioxidant, anti-inflammatory, and microbiota-modulating effects. Evidence suggests that amaranth contributes to improved gastrointestinal function, enhanced gut microbiota balance, and protection against digestive disorders. Conclusion: Amaranthus species represent a promising functional food and phytotherapeutic resource. Their bioactive compounds support potential applications in the prevention and treatment of gastrointestinal diseases. Further clinical studies are required to validate their therapeutic efficacy.",,"dataset",,10,TRUE,"plant_hits=2; trait_hits=1; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19819420","19819420","10.5281/zenodo.19819420","plant* trait*","Edible Balcony Gardens for Retrofit - Vertical Garden Systems for Cities - Raw Data","Spörl, Philipp; Brandl, Martin; Posnicek, Thomas; Pitha, Ulrike","Initial Situation, Challenges, and Motivation In social&nbsp; housing , there are often deficits in terms of private outdoor space and opportunities for active greening and self-sufficiency . Existing buildings typically provide only limited exterior spaces and contribute little to improving the microclimate or local food production . Given the growing importance of sustainable resource use , climate adaptation , and social quality of life , there is a need for innovative concepts that can be retroactively implemented in existing buildings to generate ecological and social benefits . The objective is to create multifunctional , cost-effective , and sustainable outdoor spaces th ose directly engage residents and have ecological impact. &nbsp; Objectives and Innovation &nbsp; The project investigated the retroactive creation of apartment-related outdoor space with opportunities for self-gardening in social housing, considering sustainable rainwater irrigation. At a building requiring renovation, balconies were equipped with vertical planting systems for vegetables, fruits, and herbs. These outdoor spaces simultaneously serve as retreat and recreational areas, microclimate-enhancing building components, and productive horticultural infrastructure, enabling year-round, local food production on a limited footprint. &nbsp; Methodology &nbsp; To evaluate vertical green ery and its effects on user experience, productivity, and microclimate, a comprehensive measurement concept was developed for three sites, including two functional prototypes and one demonstration building. The core of data collection was sensor-based monitoring of climate, substrate, and water, capturing air temperature, humidity, thermal transfer, solar radiation, and water balance. Additionally, visually assessable parameters such as plant appearance and measurable parameters such as plant volume and biomass yield were systematically recorded. &nbsp; Results &nbsp; The results indicate that the examined vertical green ing systems have significant potential as multifunctional elements for building green ery and urban food production. Success factors include site-specific planning, appropriate plant selection, optimized planting density, reliable irrigation, and clearly defined objectives (e.g. yield, shading, privacy). For users without prior experience, low-maintenance and perennial plants are recommended. Initial guidance and support during the early phase help ensure proper plant care, irrigation, and harvesting, fostering stable vegetation development. &nbsp; Conclusion and Outlook &nbsp; Vertical greening systems are a promising tool for improving the microclimate, supporting urban food production, and enhancing the ecological and functional quality of buildings. For future applications and research, long-term monitoring is recommended to identify optimization potential in terms of energy efficiency, plant selection, yield, and microclimatic effects. Site-adapted plant selection, module positioning, and planting density are key parameters for successful implementation. The findings demonstrate that, with careful planning and management, vertical greening systems can generate sustainable benefits for residents and the urban microclimate. &nbsp; &nbsp; &nbsp;- GERMAN VERSION -&nbsp; Ausgangssituation , Problematik und Motivation &nbsp; Im sozialen Wohnbau bestehen h&auml;ufig Defizite hinsichtlich wohnungsbezogener Freir&auml;ume sowie M&ouml;glichkeiten zur aktiven Begr&uuml;nung und Selbstversorgung . Bestehende Geb&auml;ude bieten meist nur begrenzte Au&szlig;enr&auml;ume und leisten nur einen geringen Beitrag zur Verbesserung des Mikroklimas oder zur lokalen Lebensmittelproduktion. Angesichts der zunehmenden Relevanz nachhaltiger Ressourcennutzung, Klimaanpassung und sozialer Lebensqualit&auml;t besteht ein Bedarf an innovativen Konzepten, die nachtr&auml;glich in Bestandsgeb&auml;uden implementiert werden k&ouml;nnen, um &ouml;kologische und soziale Mehrwerte zu generieren. Ziel ist es, multifunktionale, kosteneffiziente und nachhaltige Au&szlig;enr&auml;ume zu schaffen, die die Bewohner:innen direkt einbe ziehen und &ouml;kologisch wirksam sind. &nbsp; Ziele und Innovationsgehalt &nbsp; Das Projekt untersuchte die nachtr&auml;gliche Schaffung von wohnungsbezogenem Freiraum mit Selbstg&auml;rtner :innen -M&ouml;glichkeiten im sozialen Wohnbau, unter Ber&uuml;cksichtigung einer nachhaltigen Regenwasserbew&auml;sserung. An einem sanierungsbed&uuml;rftigen Bestandsgeb&auml;ude wurden Balkone mit vertikalen Pflanzsystemen f&uuml;r Gem&uuml;se, Obst und Kr&auml;uter installiert. Die so geschaffenen Au&szlig;enr&auml;ume dienen gleichzeitig als R&uuml;ckzugs- und Erholungsbereiche, mikroklimawirksame Bauteile und produktive g&auml;rtnerische Infrastruktur, wodurch eine ganzj&auml;hrige, lokale Produktion von Lebensmittel n auf begrenzter Fl&auml;che erm&ouml;glicht wird. &nbsp; Methodische Vorgehensweise &nbsp; Zur Evaluation der Vertikalbegr&uuml;nung und ihrer Wirkung auf Aufenthaltsqualit&auml;t, Produktivit&auml;t und Mikroklima wurde ein umfassendes Messkonzept f&uuml;r drei Standorte entwickelt , darunter zwei Funktionsmuster und ein Demonstrationsobjekt. Kern der Datenerhebung war ein sensorgest&uuml;tztes Monitoring von Klima, Substrat und Wasser, einschlie&szlig;lich Lufttemperatur, Luftfeuchtigkeit, W&auml;rmedurchgang, solarer Strahlung und Wasserbilanz. Erg&auml;nzend wurden visuell bestimmbare Parameter an den Pflanzen wie Erscheinungsbild, sowie messbare Parameter wie Pflanzenvolumen und Biomasseertrag systematisch erfasst. &nbsp; Ergebnisse &nbsp; Die Ergebnisse zeigen, dass die untersuchten Vertikalbegr&uuml;nungssysteme ein gro&szlig;es Potenzial als multifunktionale Elemente f&uuml;r Geb&auml;udebegr&uuml;nung und urbane Lebensmittelproduktion besitzen. Erfolgsfaktoren sind standortangepasste Planung, Pflanzenauswahl, abgestimmte Pflanzdichte, zuverl&auml;ssige Bew&auml;sserung und eine klare Definition der Zielsetzungen (z. B. Ertrag, Beschattung, Sichtschutz). F&uuml;r Nutzer:innen ohne Vorerfahrung eignen sich pflegeleichte, ausdauernde Pflanzen. Eine begleitende Betreuung in der Anfangsphase unterst&uuml;tzt die Pflanzenpflege, Bew&auml;sserung und Ernte und f&ouml;rdert eine stabile Vegetationsentwicklung. &nbsp; Schlussfolgerung und Ausblick &nbsp; Vertikalbegr&uuml;nungssysteme stellen ein vielversprechendes Instrument zur Verbesserung des Mikroklimas, zur F&ouml;rderung urbaner Lebensmittelproduktion und zur Steigerung der &ouml;kologischen sowie funktionalen Qualit&auml;t von Geb&auml;uden dar. F&uuml;r zuk&uuml;nftige Anwendungen und Forschungsprojekte ist eine langfristige Beobachtung empfehlenswert, um Optimierungspotenziale in Bezug auf Energieeffizienz, Pflanzenwahl, Ertrag und Mikroklimawirkung zu identifizieren. Standortangepasste Pflanzenauswahl, Modulpositionierung und Pflanzdichte sind zentrale Parameter f&uuml;r eine erfolgreiche Umsetzung. Die Ergebnisse belegen, dass Vertikalbegr&uuml;nungssysteme bei sorgf&auml;ltiger Planung und Betreuung nachhaltige Mehrwerte f&uuml;r Bewohner:innen und st&auml;dtisches Mikroklima generieren k&ouml;nnen. &nbsp; &nbsp;","Vertical Greening System; green balcony; retrofit of buildings; building greenery","dataset",,18,TRUE,"plant_hits=4; trait_hits=1; measurement_hits=1; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19816125","19816125","10.5281/zenodo.19816125","plant* trait*","KPLANT","Zhao, Yanchao; Mencuccini, Maurizio; Acuña-Míguez, Belén; Adet, Lucette; Amin, Shadman; Anadon-Rosell, Alba; Anderegg, Leander; Anderegg, William; Aranda, Ismael; Bachofen, Christoph; Bittencourt, Paulo; Binks, Oliver; De Cáceres, Miquel; Carminati, Andrea; Castells, Eva; Chaparro, David; Cochard, Hervé; Creek, Danielle; David, Teresa; David, Jorge; Delpierre, Nicolas; Didion-Gency, Margaux; Do, Frederic C.; domec, jean-christophe; Breder Eller, Cleiton; Fernández-de-Uña, Laura; Forrester, David; Fonti, Patrick; FORNER SALES, ALICIA; Gauthey, Alice; Gimeno, Teresa; Grossiord, Charlotte; Hernandez-Santana, Virginia; Hernando, Sonia; Hu, Ying; Johnson, Kate M.; Kahmen, Ansgar; Li, Yating; Limousin, Jean-Marc; Mantova, Marylou; Maréchaux, Isabelle; Margiotta, Evan; Martin-StPaul, Nicolas K; Martinez-Vilalta, Jordi; Martius, Lion R.; McCarthy, Christopher; Meir, Patrick; Moriggia, Maé; Novick, Kimberly; Peri, Pablo L.; Peters, Richard L.; Pinto, Clara A.; Poyatos, Rafael; Preisler, Yakir; Ramirez-Valiente, Jose Alberto; Rowland, Lucy; Sabot, Manon; Salmon, Yann; Salomon, Roberto L.; Sanchez-Martinez, Pablo; Schönbeck, Leonie C.; Silva, Mateus; Soler, Pol; Stahl, Clément; Stewart, Laura W.; Teixidó-Bonfill, Abiel; Tosto, Ambra; Trueba, Santiago; Trugman, Anna; valade, aude; Valladares, Fernando; de Vasconcellos Barros, Fernanda; Veuillen, Léa; Wu, Jingwei; Ziegler, Camille; Flo, Victor","The KPLANT database is a global compilation of whole-plant hydraulic conductance (kplant) measurements, providing harmonised data on plant water transport capacity along the soil-plant-atmosphere continuum. The database contains 3,873 observations from 356 datasets, covering 429 species across 245 genera and 100 families, sampled on six continents and seven plant growth forms (tree, shrub, liana, graminoid, forb, stem succulent, fern), spanning 1970 to the present. kplant values are provided as originally reported and additionally standardised on five normalisation bases (leaf area, sapwood area, wood area, ground area, and whole-plant), together with the underlying water flux and water potential measurements, plant- and stand-level characteristics, and metadata on site, experimental conditions, and source publication. This deposit contains: KPLANT_database.csv - main database with all kplant observations and metadata. Extraction_template.xlsx - standardised template used for data extraction. Individual_datasets.zip - compressed zip file containing the per-study .xlsx datasets. Qc_reports.zip - compressed zip file containing the HTML quality-control reports for individual datasets. Variable definitions, units, and full methodological details are provided in the accompanying data descriptor (Zhao, Mencuccini, et al., Flo. KPLANT: a global database of plant water transport capacity. Scientific Data&lt;/em&gt;, in preparation). Code used to build the database and to generate figures and the technical validation analyses is available at&nbsp; https://github.com/vflo/Kplant_database . The automated quality-control procedure used to produce the reports in &lt;code&gt;Qc_reports/&lt;/code&gt; is available at&nbsp; https://github.com/vflo/Kwp_QC .","Whole-plant hydraulic conductance; Hydraulic traits; Plant hydraulic parameters","dataset",,65,TRUE,"plant_hits=7; trait_hits=5; measurement_hits=3; exclude_hits=0; kw_hits=3"
"zenodo","zenodo:19837859","19837859","10.5281/zenodo.19837859","plant* trait*","Biological constraints override meteorological forcing on deep soil water depletion in a semiarid plantation","Yang, Min",,,"dataset",,3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19837731","19837731","10.5281/zenodo.19837731","plant* trait*","Biological constraints override meteorological forcing on deep soil water depletion in a semiarid plantation","Yang, MIn",,,"dataset",,3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=0; kw_hits=0"
"zenodo","zenodo:19835959","19835959","10.5281/zenodo.19835959","plant* trait*","Plant species of culinary importance in  women's traditional recipes in  Colón municipality, in the Semidesert region, Querétaro, Mexico","Ana Paola Galicia Gallardo; Proyecto Garambullo","In the municipality of Col&oacute;n, in the Semidesert region of the state of Quer&eacute;taro, participatory workshops were held with local women, and 74 traditional recipes were analyzed, from which the botanical species used as ingredients were identified. This database is part of the project &ldquo;The role of women in the conservation of biocultural heritage in the municipality of Col&oacute;n, Quer&eacute;taro: a socio-ecological analysis&rdquo;. The dataset consists of a species list including scientific name, family, origin (native/introduced), and common name.","Culinary plants; biocultural heritage; semidesert; Querétaro; Mexico","dataset",,6,FALSE,"plant_hits=2; trait_hits=0; measurement_hits=0; exclude_hits=0; kw_hits=0"
