"query_term","dryad_dataset_doi","dryad_dataset_id","title","authors","abstract","source_subjects","field_of_science","storage_size","latest_version_id","fetch_page"
"plant* trait*","doi:10.5061/dryad.ncjsxkst4",59338,"Human mediated land use change drives intraspecific plant trait variation","Hayley Schroeder; Heather Grab; Andre Kessler; Katja Poveda","In the Anthropocene, more than three quarters of ice-free land has experienced some form of human driven habitat modification, with agriculture dominating 40% of the Earth’s surface. This land use change alters the quality, availability, and configuration of habitat resources, affecting the community composition of plants and insects, as well as their interactions with each other. Landscapes dominated by agriculture are known to support a lower abundance and diversity of pollinators and frequently larger populations of key herbivore pests. In turn, insect communities subsidized by agriculture may spill into remaining natural habitats with consequences for wild plants persisting in (semi) natural habitats. Adaptive responses by wild plants may allow them to persist in highly modified landscapes; yet how landscape-mediated variation in insect communities affects wild plant traits related to reproduction and defense remains largely unknown. We synthesize the evidence for plant trait changes across land use gradients and propose potential mechanisms by which landscape-mediated changes in insect communities may be driving these trait changes. Further, we present results from a common garden experiment on three wild Brassica species demonstrating variation in both defensive and reproductive traits along an agricultural land use gradient. Our framework illustrates the potential for plant adaptation under land use change and predicts how defense and reproduction trait expression may shift in low diversity landscapes. We highlight areas of future research into plant population and community effects of land use change.","Natural sciences","Natural sciences",93367,98043,1
"plant* trait*","doi:10.5061/dryad.qfttdz0kn",91711,"Herbivory and traits of Lupinus polyphyllus","Satu Ramula","Glyphosate is the most widely used non-selective herbicide in the world. Glyphosate residues in soil can affect plant quality by modifying plant physiology, hormonal pathways, and traits, with potential consequences for plants’ interactions with herbivores. We explored these indirect effects in the context of plant-herbivore interactions in a perennial, nitrogen-fixing herb. We quantified leaf herbivory for glyphosate-exposed and control plants grown in phosphorus-fertilised and non-fertilised soils, and assessed the impacts of glyphosate treatment on traits related to plant resistance against herbivores (leaf trichome density, leaf mass per area) and performance (aboveground biomass, root:shoot ratio, nodule number, nodule activity). Moreover, we conducted a laboratory feeding experiment to compare the palatability of leaves from glyphosate-exposed and control plants to a generalist mollusc herbivore. Herbivore damage and intensity in situ increased during the growing season regardless of glyphosate or phosphorus treatment. Glyphosate treatment reduced leaf trichome density, but had no effect on the other plant traits considered. Herbivore damage was negatively associated with leaf trichome density. The feeding experiment revealed no difference in the feeding probability of mollusc herbivores between glyphosate-exposed and control plants. However, there was an interaction between glyphosate treatment and initial leaf area for leaf consumption by herbivores: leaf consumption increased with increasing leaf area in both groups, but at a lower rate for glyphosate-exposed plants than for control plants. Our results show that glyphosate residues in soil have the potential to indirectly affect aboveground herbivores through changes in leaf quality, which may have mixed consequences for folivore damage.","Natural sciences; Glyphosate; Herbivory; Lupinus polyphyllus; plant performance; plant traits","Natural sciences",327061,184100,1
"plant* trait*","doi:10.5061/dryad.5j618",15791,"Data from: Patterns of species relatedness created by competitive exclusion depend on species niche differences: evidence from Iberian Atlantic grasslands","Iñaki Odriozola; Gonzalo Garcia-Baquero; Ana Etxeberria; Arantza Aldezabal","It is commonly assumed that closely related species share more similar niches than do distantly related species, thus limiting their ability to coexist and leading to patterns of phylogenetic over-dispersion. On the contrary, recent theoretical developments argue that competitive exclusion may lead to patterns of either over-dispersion, clustering or randomness, depending on the relative importance of niche differences and interspecific competitive ability differences. In this study, we utilized semi-natural grassland communities to test the hypothesis that the pattern of species relatedness generated by competitive exclusion depends on species niche differences. Instead of inferring processes from observed patterns, we experimentally manipulated grassland plots to test the effects of competitive exclusion. We compared grazed plots (in which grazing functioned as an equalizing mechanism and suppressed aboveground competition) with neighbouring plots experimentally excluded from grazing over the course of nine years (in which aboveground competition was not prevented). Weak niche differences between species allowed competitive exclusion to generate phylogenetic clustering, because phylogenetically structured plant canopy height and capacity for lateral spread conferred superior competitive ability to grasses that outcompeted species in all dicot branches. By contrast, moderate niche differences allowed competitive exclusion to result in a random pattern of phylogenetic species assembly, because species niche differences partially counterbalanced competitive exclusion by superior competitors in the grass family. We conclude that patterns of species relatedness created by competitive exclusion in Iberian Atlantic grasslands depend on species niche differences. Competitive exclusion may cause differential patterns of phylogenetic assembly.","RLQ analysis; phylogenetic over-dispersion; competition-relatedness hypothesis; plant traits",,47933,15847,1
"plant* trait*","doi:10.5061/dryad.h18931zr3",103953,"FLAMITS: FLAMmability plant traiTS database","Korina Ocampo-Zuleta; Juli G. Pausas; Susana Paula","FLAMITS database contains 19,972 records of 40 flammability variables (classified according to the measured component of flammability). For each record, relevant details of the flammability experiment are included, such as the burning device, the ignition source, and the burned plant part. In addition, FLAMITS compiles taxonomic and functional data of the studied species and information on the study site (locality, geographic coordinates, biome, biogeographic realm, and fire activity). We compiled data from 295 studies located in 39 countries and distributed across 12 biomes worldwide over the last 62.5 years (1961 to 15th May 2023). The dataset has 1790 plant taxa from 186 families, 833 genera, and 1790 species.","Biological sciences; Biogeography; burning experiments; combustibility; consumability; ignitability; Macroecology; plant traits; sustainability; fire","Biological sciences",113224133,270618,1
"plant* trait*","doi:10.5061/dryad.63n980b",28747,"Data from: Soil heterogeneity increases plant diversity after twenty years of manipulation during grassland restoration","Sara Baer; Tianjiao Adams; Drew Scott; John Blair; Scott Collins","The ‘environmental heterogeneity hypothesis’ predicts that variability in resources promotes species coexistence, but few experiments support this hypothesis in plant communities. A previous 15-y test of this hypothesis in a prairie restoration experiment demonstrated a weak effect of manipulated soil resource heterogeneity on plant diversity. This response was attributed to a transient increase in richness following a post-restoration supplemental propagule addition, occasionally higher diversity under nutrient enrichment, and reduced cover of a dominant species in a subset of soil treatments. Here, we report community dynamics under continuous propagule addition in the same experiment, corresponding to 16-20 y of restoration, in response to altered availability and heterogeneity of soil resources. We also quantified traits of newly added species to determine if heterogeneity increases the amount and variety of niches available for new species to exploit. The heterogeneous treatment contained a factorial combination of altered nutrient availability and soil depth; control plots had no manipulations. Total diversity and richness were higher in the heterogeneous treatment during this 5 y study due to higher cover, diversity, and richness of previously established forbs, particularly in the N-enriched subplots. All new species added to the experiment exhibited unique trait spaces, but there was no evidence that heterogeneous plots contained a greater variety of new species representing a wider range of trait spaces relative to the control treatment. The richness and cover of new species was higher in N-enriched soil, but the magnitude of this response was small. Communities assembling under long-term N addition were dominated by different species among subplots receiving added N, leading to greater dispersion of communities among the heterogeneous relative to control plots. Contrary to the deterministic mechanism by which heterogeneity was expected to increase diversity (greater variability in resources for new species to exploit), higher diversity in the heterogeneous plots resulted from destabilization of formerly grass-dominated communities in N-enriched subplots. While we do not advocate increasing available soil N at large scales, we conclude that the positive effect of environmental heterogeneity on diversity can take decades to materialize and depend on development of stochastic processes in communities with strong establishment limitation.","plant traits",,418433,29721,1
"plant* trait*","doi:10.5061/dryad.cb13r",19414,"Data from: Land use history and seed dispersal drive divergent plant community assembly patterns in urban vacant lots","Anna L. Johnson; Dorothy Borowy; Christopher M. Swan","1. Despite high levels of disturbance and habitat modification, urban ecosystems still host substantial levels of biodiversity. The processes that maintain existing levels of diversity, however, remain understudied. Identifying the links between urban ecological processes and patterns has, therefore, become a fundamental research goal to support urban biodiversity and ecosystem functioning. 2. We conducted a study to determine how the diversity and composition of urban plant communities is affected by spatially and temporally variable land use legacies. We constructed a chronosequence of vacant lot properties covering a range of 3-22 years since demolition, in an urban neighborhood in Baltimore, Maryland (USA). Surveys of herbaceous plant species abundance were conducted during the summers of 2012 and 2013 in sections of each vacant lot where the building previously stood (the ‘building footprint’) and sections of the lot that was previously a backyard or garden (the ‘remnant garden’). 3. We found divergent patterns in plant community composition between areas of vacant lots with varying land use histories. This includes significant shifts in the functional composition of biotically-vectored seed dispersal strategies, as well as an increase in seed mass and terminal velocity trait values of plant communities in building footprints over time. Additionally, we found that communities in different sections of the same vacant lot tended to become more functionally dissimilar in dispersal strategies over time. In contrast, we found no significant changes in taxonomic diversity over time for any of our measures. 4. Policy implications: Our study suggests that regional-scale patterns of seed dispersal interact with heterogeneous land use legacies to structure urban plant communities. Although it has been suggested that highly altered local environmental conditions and competition from introduced species limit native plant diversity in urban environments, we find dispersal to be a more significant driver of urban plant community assembly patterns. Implementing management strategies that focus on habitat connectivity and augmenting species pools via seeding may present an effective strategy for promoting more successful establishment of diverse flora in urban environments.08-May-2017","plant traits",,80003,19478,1
"plant* trait*","doi:10.5061/dryad.1c59zw3wx",83292,"Data for the article: Coupling of leaf elemental traits with root fungal community composition reveals a plant resource acquisition strategy in a desert ecosystem","Yangui Qiao; Liang Liu; Chun Miao; Guannan Zhu; Lin Miao; Weiwei She; Shugao Qin; Yuqing Zhang","Purpose : Plant-associated microbes enhance nutrient access and stress tolerance of the host species, and therefore, are crucial for plant traits and resource strategies. However, the links between aboveground plant traits and belowground microbes related to plant resource strategies under stressful conditions remain poorly understood. Methods : We tested the relationships between leaf traits linked to water (carbon isotopic composition, δ 13 C) and nutrient use (elemental concentrations and stoichiometry) with microbial compositions in roots and rhizospheres of two dominant species ( Artemisia ordosica and Leymus secalinus ) in the Mu Us Desert, northern China. Results : L. secalinus exhibited higher Mg and Mn concentrations, N:P ratios, stoichiometric flexibility, and root fungi:bacteria ratios, but lower foliar K and Ca concentrations and δ 13 C values than A. ordosica . The leaf N:P of L. secalinus increased with the root fungi:bacteria ratios, whereas the leaf N:P of A. ordosica decreased with the root fungi:bacteria ratios. The plant elemental levels (P, N, K, Ca, Mn, and δ 13 C) of L. secalinus but not A. ordosica were significantly related to their root fungal composition. Additionally, the random forest model identified four key fungal families in predicting leaf elemental traits for both plant species. Conclusion : The results suggested tight coupling and coordination between leaf elemental traits and root microbial compositions (especially fungal communities) related to plant resource acquisition strategies. By regulating aboveground and belowground feedback loops through trait flexibility and root microbial compositions, the studied plant species can sustain their resource strategies under stressful environmental conditions.","Biological sciences; desert ecosystem; ecological stoichiometry; microbial compositions; Plant–soil interaction; plant traits; resource use strategy","Biological sciences",227347,206790,1
"plant* trait*","doi:10.5061/dryad.251q438",16434,"Data from: Trait correlation network analysis identifies biomass allocation traits and stem specific length as hub traits in herbaceous perennial plants","Michael Kleyer; Juliane Trinogga; Miguel A. Cebrián-Piqueras; Anastasia Trenkamp; Camilla Fløjgaard; Rasmus Ejrnæs; Tjeerd J. Bouma; Vanessa Minden; Martin Maier; Jasmin Mantilla-Contreras; Dirk C. Albach; Bernd Blasius; Rasmus Ejrnaes","Correlations among plant traits often reflect important trade‐offs or allometric relationships in biological functions like carbon gain, support, water uptake, and reproduction that are associated with different plant organs. Whether trait correlations can be aggregated to “spectra” or “leading dimensions,” whether these dimensions are consistent across plant organs, spatial scale, and growth forms are still open questions. To illustrate the current state of knowledge, we constructed a network of published trait correlations associated with the “leaf economics spectrum,” “biomass allocation dimension,” “seed dimension,” and carbon and nitrogen concentrations. This literature‐based network was compared to a network based on a dataset of 23 traits from 2,530 individuals of 126 plant species from 381 plots in Northwest Europe. The observed network comprised more significant correlations than the literature‐based network. Network centrality measures showed that size traits such as the mass of leaf, stem, below‐ground, and reproductive tissues and plant height were the most central traits in the network, confirming the importance of allometric relationships in herbaceous plants. Stem mass and stem‐specific length were “hub” traits correlated with most traits. Environmental selection of hub traits may affect the whole phenotype. In contrast to the literature‐based network, SLA and leaf N were of minor importance. Based on cluster analysis and subsequent PCAs of the resulting trait clusters, we found a “size” module, a “seed” module, two modules representing C and N concentrations in plant organs, and a “partitioning” module representing organ mass fractions. A module representing the plant economics spectrum did not emerge. Synthesis. Although we found support for several trait dimensions, the observed trait network deviated significantly from current knowledge, suggesting that previous studies have overlooked trait coordination at the whole‐plant level. Furthermore, network analysis suggests that stem traits have a stronger regulatory role in herbaceous plants than leaf traits.","Holocene; plant traits",,46070,16491,1
"plant* trait*","doi:10.5061/dryad.m0cfxpp34",63255,"Plant traits measured for Australian alpine plants","Meena Sivagowre Sritharan","Rapid evolution is likely to be an important mechanism allowing native species to adapt to changed environmental conditions. Many northern hemisphere species have undergone substantial recent changes in phenology and morphology. However, we have little information about how native species in the southern hemisphere are responding to climate change. We used herbarium specimens from 21 native alpine plant species in Kosciuszko National Park, Australia to make over 1500 measurements of plant size, leaf thickness, leaf mass per area, leaf shape and leaf size across the last 126 years. Only two out of 21 species (9%) showed significant changes in any of the measured traits. The number of changes we observed was not significantly different to what we would expect by chance alone, based on the number of analyses performed. This lack of change is not attributable to methodology – an earlier study using the same methods found significant changes in 70% of species introduced to south-east Australia. Australia’s native alpine plants do not appear to be adapting to changed conditions, and because of the low elevation of Australia’s mountains, they do not have much scope for uphill migration. Thus, our findings suggest that Australia’s native alpine plants are at even greater risk in the face of future climate change than was previously understood. ","alpine vegetation; Abrupt/rapid climate change; plant traits; Rapid evolution; Southern Hemisphere",,611175,105023,1
"plant* trait*","doi:10.5061/dryad.c2fqz61jc",135533,"Plant trait matrix for fire-prone Mediterranean chronosequences","Jose Antonio Navarro-Cano; Marta Goberna; Eduardo Pérez-Valera; Miguel Verdú","A database of 23 traits for 117 Mediterranean plant species. It includes three groups of traits: i) four whole-plant traits (bud height, sclerophylly, xerophily and resprouting ability), ii) ten above-ground traits (plant height, flowering time and span, leaf size, area, weight, thickness, specific leaf area, seed size and dispersal distance), and iii) nine below-ground traits (root length, depth, laterality, root depth:laterality ratio, root weight, specific root length, root C and N concentration and the root CN ratio).","Biological sciences; scientific names; plant traits; fire-prone Mediterranean ecosystems","Biological sciences",38041,305140,1
