verbatim_taxon_name,taxonomic_group,is_extinct,is_mesotherm,metabolic_mass_g,metabolic_rate_W,ta_c,final_adult_mass_g,gmax_g_per_day,r2_growth_curve,n_growth_obs,curve_only,equation_only,source_id,source_display_name,source_doi,source_data_note
Alligator mississipiensis,Crocodylia,FALSE,FALSE,1287,0.6701,25,125900,13.79,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Caiman crocodilus,Crocodylia,FALSE,FALSE,1684,0.1862,25,14820,4.044,0.96,16,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Caiman latirostris,Crocodylia,FALSE,FALSE,,,,28090,3.651,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Brachychampsa montana,Crocodylia,TRUE,FALSE,,,,632700,39.88,0.98,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Deinosuchus sp.,Crocodylia,TRUE,FALSE,,,,4206000,202.6,0.98,103,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Leidyosuchus canadens,Crocodylia,TRUE,FALSE,306300,,,36.67,1,,20,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Crocodylus 'affinis',Crocodylia,TRUE,FALSE,,,,1497000,91.48,0.99,18,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Crocodylus johnstoni,Crocodylia,FALSE,FALSE,,,,46380,4.054,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Crocodylus niloticus,Crocodylia,FALSE,FALSE,215.3,0.06421,25,162700,10.06,0.97,53,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Crocodylus porosus,Crocodylia,FALSE,FALSE,389000,38.52,30,237500,21.72,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Borealosuchus sternbergii,Crocodylia,TRUE,FALSE,1839000,,,73.79,1,,27,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Pristichampsus vorax,Crocodylia,TRUE,FALSE,461900,,,34.56,1,,20,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Psittacosaurus mongoliensis,Mesozoic Dinosaurs,TRUE,FALSE,,,,22720,13.8,0.97,8,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Dysalotosaurus lettowvorbecki,Mesozoic Dinosaurs,TRUE,FALSE,,,,148100,18.58,0.97,27,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Tenontosaurus tilletti,Mesozoic Dinosaurs,TRUE,FALSE,,,,1084000,194.5,0.88,13,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Massospondylus carinatus,Mesozoic Dinosaurs,TRUE,FALSE,,,,281000,75.95,0.94,10,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Plateosaurus engelhardti,Mesozoic Dinosaurs,TRUE,FALSE,,,,1587000,691,0.99,13,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Alamosaurus sanjuanensis,Mesozoic Dinosaurs,TRUE,FALSE,32660000,,,3512,1,,10,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Apatosaurus sp.,Mesozoic Dinosaurs,TRUE,FALSE,,,,19170000,4544,0.99,40,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Camarasaurus sp.,Mesozoic Dinosaurs,TRUE,FALSE,,,,14250000,4591,0.99,10,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Diplodocid sp. 1,Mesozoic Dinosaurs,TRUE,FALSE,,,,4753000,1091,0.99,10,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Diplodocid sp. 2,Mesozoic Dinosaurs,TRUE,FALSE,,,,18460000,2174,0.97,17,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Mamenchisaurid sp.,Mesozoic Dinosaurs,TRUE,FALSE,,,,25080000,4837,0.98,21,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Allosaurus fragilis,Mesozoic Dinosaurs,TRUE,FALSE,,,,1862000,311.9,0.85,100,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Coelophysis bauri,Mesozoic Dinosaurs,TRUE,FALSE,,,,33080,11.22,0.98,7,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Megapnosaurus rhodesiensis,Mesozoic Dinosaurs,TRUE,FALSE,,,,18780,20.29,0.97,7,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Albertosaurus sarcophagus,Mesozoic Dinosaurs,TRUE,FALSE,,,,1239000,472.2,0.99,6,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Archaeopteryx lithographica,Mesozoic Dinosaurs,TRUE,FALSE,,,,928,1.6,0.94,9,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Citipati osmolskae,Mesozoic Dinosaurs,TRUE,FALSE,,,,101700,34.66,0.98,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Gorgosaurus libratus,Mesozoic Dinosaurs,TRUE,FALSE,,,,1733000,225.8,0.97,6,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Saurornitholestes langstoni,Mesozoic Dinosaurs,TRUE,FALSE,,,,34240,14.12,0.98,10,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Troodon formosus,Mesozoic Dinosaurs,TRUE,FALSE,52090,,,16.6,1,,19,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Tyrannosaurus rex,Mesozoic Dinosaurs,TRUE,FALSE,,,,5654000,1293,0.96,9,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Acinonyx jubatus,Placental Mammals,FALSE,FALSE,38450,61.77,,44010,33.06,0.98,15,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Callorhinus ursinus,Placental Mammals,FALSE,FALSE,108700,,,20.31,1,,43,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Canis lupus,Placental Mammals,FALSE,FALSE,38900,49.02,,32390,103.4,0.95,21,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Caracal caracal,Placental Mammals,FALSE,FALSE,13650,,,60.48,1,,28,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Lynx rufus,Placental Mammals,FALSE,FALSE,9400,23.54,,9977,30.91,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Mustela nigripes,Placental Mammals,FALSE,FALSE,911.1,,,12.82,1,,36,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Mustela nivalis,Placental Mammals,FALSE,FALSE,70.81,,,1.222,1,,29,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Mustela putorius,Placental Mammals,FALSE,FALSE,1169,,,13.89,1,,56,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Panthera leo,Placental Mammals,FALSE,FALSE,,,,153800,152,0.98,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Panthera tigris,Placental Mammals,FALSE,FALSE,137900,133.9,171700,278.9,1,,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Puma concolor,Placental Mammals,FALSE,FALSE,37200,49.33,,48970,125.7,0.91,110,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Ursus arctos,Placental Mammals,FALSE,FALSE,,,,176900,82.99,0.78,39,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Vulpes lagopus,Placental Mammals,FALSE,FALSE,,,,3346,24.92,0.71,286,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Aepyceros melampus,Placental Mammals,FALSE,FALSE,,,,49500,61.29,0.97,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Alces alces,Placental Mammals,FALSE,FALSE,325000,286.8,,366100,417.5,0.88,21,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Bison bison,Placental Mammals,FALSE,FALSE,,,,445700,546,0.94,21,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Bison bonasus,Placental Mammals,FALSE,FALSE,,,,518500,255.7,0.98,27,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Cervus elaphus,Placental Mammals,FALSE,FALSE,67000,112.4,,92550,109.4,0.95,34,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Connochaetes gnou,Placental Mammals,FALSE,FALSE,,,,146100,188.8,0.92,78,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Eudorcas thomsonii,Placental Mammals,FALSE,FALSE,,,,22670,63.2,,,TRUE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Hippopotamus amphibius,Placental Mammals,FALSE,FALSE,,,,1348000,270.2,0.97,39,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Hippotragus niger,Placental Mammals,FALSE,FALSE,,,,216100,165.2,0.9,73,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Kobus ellipsipyrmnus,Placental Mammals,FALSE,FALSE,1e+05,148.9,,214600,169.6,0.98,25,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
Kobus leche,Placental Mammals,FALSE,FALSE,,,,93400,88.2,0.98,19,FALSE,FALSE,grady_etal_2014,Grady et al. 2014 (Science 344:1268),10.1126/science.1253143,Extracted from Supplementary Table S1 of Grady et al. 2014
