species,genus,source_id,source_access_date,n_species_total
Aa achalensis,Aa,bien,2026-05-11,333778
Aa argyrolepis,Aa,bien,2026-05-11,333778
Aa calceata,Aa,bien,2026-05-11,333778
Aa colombiana,Aa,bien,2026-05-11,333778
Aa denticulata,Aa,bien,2026-05-11,333778
Aa fiebrigii,Aa,bien,2026-05-11,333778
Aa hartwegii,Aa,bien,2026-05-11,333778
Aa hieronymi,Aa,bien,2026-05-11,333778
Aa inaequalis,Aa,bien,2026-05-11,333778
Aa leucantha,Aa,bien,2026-05-11,333778
Aa lorentzii,Aa,bien,2026-05-11,333778
Aa macra,Aa,bien,2026-05-11,333778
Aa maderoi,Aa,bien,2026-05-11,333778
Aa mandonii,Aa,bien,2026-05-11,333778
Aa mathewsii,Aa,bien,2026-05-11,333778
Aa matthewsii,Aa,bien,2026-05-11,333778
Aa microtidis,Aa,bien,2026-05-11,333778
Aa nervosa,Aa,bien,2026-05-11,333778
Aa paleacea,Aa,bien,2026-05-11,333778
Aa riobambae,Aa,bien,2026-05-11,333778
Aa sphaeroglossa,Aa,bien,2026-05-11,333778
Aa trilobulata,Aa,bien,2026-05-11,333778
Aa weberbaueri,Aa,bien,2026-05-11,333778
Aa weddelliana,Aa,bien,2026-05-11,333778
Aaronsohnia factorovskyi,Aaronsohnia,bien,2026-05-11,333778
Aaronsohnia pubescens,Aaronsohnia,bien,2026-05-11,333778
Abacopteris presliana,Abacopteris,bien,2026-05-11,333778
Abacopteris triphylla,Abacopteris,bien,2026-05-11,333778
Abarema abbottii,Abarema,bien,2026-05-11,333778
Abarema acreana,Abarema,bien,2026-05-11,333778
Abarema adenophora,Abarema,bien,2026-05-11,333778
Abarema adenophorum,Abarema,bien,2026-05-11,333778
Abarema agropecuaria,Abarema,bien,2026-05-11,333778
Abarema alexandri,Abarema,bien,2026-05-11,333778
Abarema asplenifolia,Abarema,bien,2026-05-11,333778
Abarema aspleniifolia,Abarema,bien,2026-05-11,333778
Abarema auriculata,Abarema,bien,2026-05-11,333778
Abarema barbouriana,Abarema,bien,2026-05-11,333778
Abarema barnebyana,Abarema,bien,2026-05-11,333778
Abarema brachystachya,Abarema,bien,2026-05-11,333778
Abarema callejasii,Abarema,bien,2026-05-11,333778
Abarema campestris,Abarema,bien,2026-05-11,333778
Abarema centiflora,Abarema,bien,2026-05-11,333778
Abarema cochleata,Abarema,bien,2026-05-11,333778
Abarema cochliacarpos,Abarema,bien,2026-05-11,333778
Abarema cochliocarpos,Abarema,bien,2026-05-11,333778
Abarema commutata,Abarema,bien,2026-05-11,333778
Abarema curvicarpa,Abarema,bien,2026-05-11,333778
Abarema diamantina,Abarema,bien,2026-05-11,333778
Abarema ferruginea,Abarema,bien,2026-05-11,333778
Abarema filamentosa,Abarema,bien,2026-05-11,333778
Abarema floribunda,Abarema,bien,2026-05-11,333778
Abarema gallorum,Abarema,bien,2026-05-11,333778
Abarema ganymedea,Abarema,bien,2026-05-11,333778
Abarema glauca,Abarema,bien,2026-05-11,333778
