species_name,family,genus,higher_plant_group,subfamily,growth_form_canonical,growth_form_n_records,growth_form_conflict,is_graminoid,is_bamboo,is_bryophyte
"",,"",,,tree,53112,TRUE,FALSE,FALSE,FALSE
Aa argyrolepis,,Aa,,,herb,1,FALSE,FALSE,FALSE,FALSE
Aa calceata,,Aa,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Aa fiebrigii,,Aa,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Aa macra,,Aa,,,herb,1,FALSE,FALSE,FALSE,FALSE
Aa maderoi,,Aa,,,herb,1,FALSE,FALSE,FALSE,FALSE
Aa weberbaueri,,Aa,,,herb,1,FALSE,FALSE,FALSE,FALSE
Aalius macrophylla,,Aalius,,,shrub,1,FALSE,FALSE,FALSE,FALSE
Abarema acreana,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema adenophora,,Abarema,,,tree,12,FALSE,FALSE,FALSE,FALSE
Abarema barbouriana,,Abarema,,,tree,2,FALSE,FALSE,FALSE,FALSE
Abarema callejasii,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema campestris,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema cochleata,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema cochliacarpos,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema curvicarpa,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema filamentosa,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema floribunda,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema ganymedea,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema idiopoda,,Abarema,,,tree,1,FALSE,FALSE,FALSE,FALSE
Abarema jupunba,,Abarema,,,tree,64,FALSE,FALSE,FALSE,FALSE
Abarema killipii,,Abarema,,,tree,2,FALSE,FALSE,FALSE,FALSE
