species_name,family,genus,growth_form_canonical,rho_mean,rho_sd,rho_n,rho_match_level,rho_source
Aa achalensis,,Aa,unknown,,,,none,
Aa argyrolepis,,Aa,herb,,,,none,
Aa calceata,,Aa,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Aa colombiana,,Aa,unknown,,,,none,
Aa denticulata,,Aa,unknown,,,,none,
Aa fiebrigii,,Aa,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Aa hartwegii,,Aa,unknown,,,,none,
Aa hieronymi,,Aa,unknown,,,,none,
Aa inaequalis,,Aa,unknown,,,,none,
Aa leucantha,,Aa,unknown,,,,none,
Aa lorentzii,,Aa,unknown,,,,none,
Aa macra,,Aa,herb,,,,none,
Aa maderoi,,Aa,herb,,,,none,
Aa mandonii,,Aa,unknown,,,,none,
Aa mathewsii,,Aa,unknown,,,,none,
Aa matthewsii,,Aa,unknown,,,,none,
Aa microtidis,,Aa,unknown,,,,none,
Aa nervosa,,Aa,unknown,,,,none,
Aa paleacea,,Aa,unknown,,,,none,
Aa riobambae,,Aa,unknown,,,,none,
Aa sphaeroglossa,,Aa,unknown,,,,none,
Aa trilobulata,,Aa,unknown,,,,none,
Aa weberbaueri,,Aa,herb,,,,none,
Aa weddelliana,,Aa,unknown,,,,none,
Aaronsohnia factorovskyi,,Aaronsohnia,unknown,,,,none,
Aaronsohnia pubescens,,Aaronsohnia,unknown,,,,none,
Abacopteris presliana,,Abacopteris,unknown,,,,none,
Abacopteris triphylla,,Abacopteris,unknown,,,,none,
Abarema abbottii,,Abarema,unknown,,,,none,
Abarema acreana,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema adenophora,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema adenophorum,,Abarema,unknown,,,,none,
Abarema agropecuaria,,Abarema,unknown,,,,none,
Abarema alexandri,,Abarema,unknown,,,,none,
Abarema asplenifolia,,Abarema,unknown,,,,none,
Abarema aspleniifolia,,Abarema,unknown,,,,none,
Abarema auriculata,,Abarema,unknown,,,,none,
Abarema barbouriana,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema barnebyana,,Abarema,unknown,,,,none,
Abarema brachystachya,,Abarema,unknown,,,,none,
Abarema callejasii,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema campestris,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema centiflora,,Abarema,unknown,,,,none,
Abarema cochleata,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema cochliacarpos,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema cochliocarpos,,Abarema,unknown,,,,none,
Abarema commutata,,Abarema,unknown,,,,none,
Abarema curvicarpa,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema diamantina,,Abarema,unknown,,,,none,
Abarema ferruginea,,Abarema,unknown,,,,none,
Abarema filamentosa,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema floribunda,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema gallorum,,Abarema,unknown,,,,none,
Abarema ganymedea,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema glauca,,Abarema,unknown,,,,none,
Abarema idiopoda,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema josephi,,Abarema,unknown,,,,none,
Abarema jupunba,,Abarema,tree,0.585142857142857,0.100010713711796,7,species,GWDD_Zanne2009
Abarema killipii,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema laeta,,Abarema,unknown,,,,none,
Abarema langsdorffii,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema langsdorfii,,Abarema,unknown,,,,none,
Abarema lehmannii,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema leucophylla,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema levelii,,Abarema,unknown,,,,none,
Abarema limae,,Abarema,unknown,,,,none,
Abarema longipedunculata,,Abarema,unknown,,,,none,
Abarema macradenia,,Abarema,tree,0.438,0,1,species,GWDD_Zanne2009
Abarema mataybifolia,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema microcalyx,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema nipensis,,Abarema,unknown,,,,none,
Abarema obovalis,,Abarema,unknown,,,,none,
Abarema obovata,,Abarema,unknown,,,,none,
Abarema oppositifolia,,Abarema,unknown,,,,none,
Abarema oxyphyllidia,,Abarema,unknown,,,,none,
Abarema piresii,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema racemiflora,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abarema sapindoides,,Abarema,unknown,,,,none,
Abarema turbinata,,Abarema,unknown,,,,none,
Abarema villifera,,Abarema,unknown,,,,none,
Abarema villosa,,Abarema,unknown,,,,none,
Abarema zollerana,,Abarema,unknown,,,,none,
Abarema zolleriana,,Abarema,tree,0.56675,0.106205663018235,8,genus,GWDD_Zanne2009
Abatia americana,,Abatia,unknown,,,,none,
Abatia angeliana,,Abatia,herb,,,,none,
Abatia canescens,,Abatia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abatia dombeyana,,Abatia,unknown,,,,none,
Abatia glabra,,Abatia,unknown,,,,none,
Abatia mexicana,,Abatia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abatia microphylla,,Abatia,unknown,,,,none,
Abatia parviflora,,Abatia,tree,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
Abatia rugosa,,Abatia,shrub,0.58,0.18,0,global_fallback,GWDD_Zanne2009_global_fallback_UNVERIFIED
