verbatim_species_name,in_bien_roster,resolution_note
Schefflera morototonii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Henriettea squamulosum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Eugenia xerophytica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Acacia anegadensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Eugenia corozalensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Psychotria maricaensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Prunus damascena,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Toona australis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Scolopia brownii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Litsea areolata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Syzygium coolminianum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Oreocallis pinnata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Gmelina leichhardtii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Ackama paniculata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Sarcopteryx stipitata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Platanus x hispanica cv.. acerifolia,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Salvinia natans,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Ixora elongata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Palaquium ellipticum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Nothopegia beddomei,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Nothopegia travancorica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Polyalthia coffeoides,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Litsea mysorensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Holigarna ferruginea,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Goniothalamus cardiopetalus,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Meiogyne pannosa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Meiogyne ramarowii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Callitris hugelii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Calophyllum apetalum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Calophyllum austroindicum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Dipterocarpus indicus,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Bourreria radula,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Cereus robinii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Sorbus arranensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Venturiella perrottetii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Hammarbya paludosa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Lamium moluccellifolium,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Ficus beddomei,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Dysoxylum malabaricum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Syzygium hemisphericum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Mayepea leprocarpa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Litsea oleoides,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Cryptocarya wightiana,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Diospyros paniculata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Drypetes venusta,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Drypetes malabarica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Mallotus aureo-punctatus,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Casearia wynadensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Beilschmiedia wightii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Neolitsea scrobiculata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Senecio plattensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Orchis psychodes,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Dipterocarpus conformis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Shorea gibbosa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Psychotria macrocarpa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Vellozia semirii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Vernonia travancorica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Cleistanthus travancorensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Ranunculus pennsylvanicus,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Beilschmiedia dalzellii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Sanicula marylandica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Quercus ellipsoidea,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Rhodomyrtus vieillardii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Helianthus grosse-serratus,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Collinsia grandiflora,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Myrsine salicina,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Syzygium lanceolatum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Peramium pubescens,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Spinacea oleracea,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Melicope octandra,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Homalium zeylanicum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Antirhea lucida,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Enicosanthum grandifolium,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Papualthia sympetala,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Strombosia philippinensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Papualthia loheri,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Antidesma catanduanense,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Papualthia reticulata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Diospyros poncei,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Praravinia sablanensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Embelia nigropunctata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Baikaea insignis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Pavetta barnesii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Palaquium lanceolatum,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Discocalyx insignis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Semecarpus trachyphylla,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Discocalyx cybianthoides,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Cryptocarya vidalii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Syzygium bernardoi,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Manglietia garrettii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Porsildia groenlandica,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Pseudostellaria oxyphylla,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Sabulina brevifolia,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Schiedea amplexicaulis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Schiedea attenuata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Schiedea implexa,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Schiedea mannii,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Schiedea verticillata,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Silene alexandri,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Silene cryptopetala,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Silene marmorensis,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Silene soczaviana,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
Somerauera cherlerioides,FALSE,Name in BIEN trait table but not in BIEN_species_list(). May be synonym or BIEN version mismatch.
