scrubbed_species_binomial,scrubbed_genus
Acanthocalycium ferrarii,Acanthocalycium
Acanthocalycium glaucum,Acanthocalycium
Acanthocalycium klimpelianum,Acanthocalycium
Acanthocalycium spiniflorum,Acanthocalycium
Acanthocalycium thionanthum,Acanthocalycium
Acanthocephala haselbergii,Acanthocephala
Acanthocereus baxaniensis,Acanthocereus
Acanthocereus chiapensis,Acanthocereus
Acanthocereus fosterianus,Acanthocereus
Acanthocereus hirschtianus,Acanthocereus
Acanthocereus horridus,Acanthocereus
Acanthocereus oaxacensis,Acanthocereus
Acanthocereus occidentalis,Acanthocereus
Acanthocereus rosei,Acanthocereus
Acanthocereus subinermis,Acanthocereus
Acanthocereus tetragonus,Acanthocereus
Acharagma aguirreanum,Acharagma
Acharagma roseanum,Acharagma
Airampoa albisaetacens,Airampoa
Airampoa ayrampo,Airampoa
Airampoa microdisca,Airampoa
Ancistrocactus brevihamatus,Ancistrocactus
Ancistrocactus scheeri,Ancistrocactus
Ancistrocactus tobuschii,Ancistrocactus
Anisocereus gaumeri,Anisocereus
Anisocereus lepidanthus,Anisocereus
Aporocactus flagelliformis,Aporocactus
Aporocactus martianus,Aporocactus
Ariocarpus agavoides,Ariocarpus
Ariocarpus bravoanus,Ariocarpus
Ariocarpus fissuratus,Ariocarpus
Ariocarpus kotschoubeyanus,Ariocarpus
Ariocarpus retusus,Ariocarpus
Ariocarpus scaphirostris,Ariocarpus
Armatocereus arduus,Armatocereus
Armatocereus balsasensis,Armatocereus
Armatocereus brevispinus,Armatocereus
Armatocereus cartwrightianus,Armatocereus
Armatocereus godingianus,Armatocereus
Armatocereus humilis,Armatocereus
Armatocereus laetus,Armatocereus
Armatocereus mataranus,Armatocereus
Armatocereus matucanensis,Armatocereus
Armatocereus oligogonus,Armatocereus
Armatocereus procerus,Armatocereus
Armatocereus rauhii,Armatocereus
Armatocereus riomajensis,Armatocereus
Armatocereus rupicola,Armatocereus
Arrojadoa bahiensis,Arrojadoa
Arrojadoa dinae,Arrojadoa
Arrojadoa eriocaulis,Arrojadoa
Arrojadoa heimenii,Arrojadoa
Arrojadoa hofackeriana,Arrojadoa
Arrojadoa marylaniae,Arrojadoa
Arrojadoa multiflora,Arrojadoa
Arrojadoa penicillata,Arrojadoa
Arrojadoa rhodantha,Arrojadoa
Arrojadoa x albiflora,Arrojadoa
Arthrocereus glaziovii,Arthrocereus
Arthrocereus melanurus,Arthrocereus
Arthrocereus mirabilis,Arthrocereus
Arthrocereus rondonianus,Arthrocereus
Arthrocereus spinosissimus,Arthrocereus
Astrophytum asterias,Astrophytum
Astrophytum aureum,Astrophytum
Astrophytum capricorne,Astrophytum
Astrophytum caput-medusae,Astrophytum
Astrophytum myriostigma,Astrophytum
Astrophytum ornatum,Astrophytum
Austrocactus bertinii,Austrocactus
Austrocactus coxii,Austrocactus
Austrocactus patagonicus,Austrocactus
Austrocactus philippii,Austrocactus
Austrocactus spiniflorus,Austrocactus
Austrocylindropuntia cylindrica,Austrocylindropuntia
Austrocylindropuntia floccosa,Austrocylindropuntia
Austrocylindropuntia lagopus,Austrocylindropuntia
