species,genus,family,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,source_dataset,source_url,source_record_id,project_pi,retrieved_utc
Ferocactus cylindraceus,Ferocactus,Cactaceae,seed mass,2.542,mg,data compilation,,,,BIEN,http://ucjeps.berkeley.edu/EFT.html,15518,D.D. Ackerly,2026-03-28 23:42:38 UTC
Cereus repandus,Cereus,Cactaceae,whole plant growth form,tree,,,-18.7656,-62.2331,,BIEN,https://bien.nceas.ucsb.edu/bien/,1780430,James S. MIller,2026-03-28 23:42:38 UTC
Opuntia ficus-indica,Opuntia,Cactaceae,whole plant height,4.2672,m,Maximum height,,,,BIEN,http://www.americanforests.org/resources/bigtrees/register.php,3101211,,2026-03-28 23:42:38 UTC
Opuntia basilaris,Opuntia,Cactaceae,seed mass,56.043,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3104204,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Escobaria vivipara,Escobaria,Cactaceae,plant flowering begin,6,month,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3104423,Steven Travers,2026-03-28 23:42:38 UTC
Cumulopuntia boliviana,Cumulopuntia,Cactaceae,leaf nitrogen content per leaf dry mass,8.35852806,mg.g-1,Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003,-18.25667,-69.30472,4620,BIEN,https://bien.nceas.ucsb.edu/bien/,3111156,Cyrille Violle/Brian Enquist ,2026-03-28 23:42:38 UTC
Opuntia fragilis,Opuntia,Cactaceae,plant flowering begin,7/5/1912,date,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3115883,Steven Travers,2026-03-28 23:42:38 UTC
Echinocactus horizonthalonius,Echinocactus,Cactaceae,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3116300,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Cylindropuntia acanthocarpa,Cylindropuntia,Cactaceae,seed mass,13.664,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3116971,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Opuntia occidentalis,Opuntia,Cactaceae,seed mass,12.655,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3117017,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
