source_dataset,source_url,source_record_id,species,genus,family,trait_group,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,project_pi,access,retrieved_utc
BIEN,http://ucjeps.berkeley.edu/EFT.html,15518,Ferocactus cylindraceus,Ferocactus,Cactaceae,body_size,seed mass,2.542,mg,data compilation,,,,D.D. Ackerly,public,2026-03-28 22:54:12 UTC
BIEN,http://www.americanforests.org/resources/bigtrees/register.php,3101211,Opuntia ficus-indica,Opuntia,Cactaceae,body_size,whole plant height,4.2672,m,Maximum height,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3104204,Opuntia basilaris,Opuntia,Cactaceae,body_size,seed mass,56.043,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3111156,Cumulopuntia boliviana,Cumulopuntia,Cactaceae,body_size,leaf nitrogen content per leaf dry mass,8.35852806,mg.g-1,Total amount of N per unit of dry leaf mass - Cornelissen et al. 2003,-18.25667,-69.30472,4620,Cyrille Violle/Brian Enquist ,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3116300,Echinocactus horizonthalonius,Echinocactus,Cactaceae,body_size,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3116971,Cylindropuntia acanthocarpa,Cylindropuntia,Cactaceae,body_size,seed mass,13.664,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3117017,Opuntia occidentalis,Opuntia,Cactaceae,body_size,seed mass,12.655,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3118550,Opuntia polyacantha,Opuntia,Cactaceae,flower_color,flower color,Pink,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3131577,Opuntia fragilis,Opuntia,Cactaceae,body_size,seed mass,20.85,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3131979,Opuntia xvaseyi,Opuntia,Cactaceae,body_size,seed mass,4.859,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3145742,Cylindropuntia leptocaulis,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3145777,Cylindropuntia arbuscula,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3142760,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3142902,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.330093,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3142938,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.3,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3142952,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.007983,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
