higher_plant_group,class,superorder,order,scrubbed_family,scrubbed_genus,scrubbed_species_binomial,scrubbed_author,scrubbed_taxonomic_status
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cactus,Cactus atroruber,(Ehrenb.) Kuntze,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinocereus,Echinocereus brandegeei,(J.M.Coult.) Schelle,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Coryphantha,Coryphantha pseudoradians,Bravo,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Espostoa,Espostoa huanucoensis,H. Johnson ex F. Ritter,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Sulcorebutia,Sulcorebutia tarijensis,F. Ritter,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Ferocactus,Ferocactus wislizeni,(Engelm.) Britton & Rose,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Browningia,Browningia hernandezii,Fern. Alonso,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria goodridgei,Scheer ex Salm-Dyck,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Pilosocereus,Pilosocereus splendidus,F. Ritter,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Rebutia,Rebutia marsoneri,Werderm.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Opuntia,Opuntia aciculata,Griffiths,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Selenicereus,Selenicereus inermis,(Otto) Britton & Rose,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Melocactus,Melocactus pescaderensis,Xhonn. & Fern. Alonso,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Stenocactus,Stenocactus sulphureus,(A. Dietr.) Bravo,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinocereus,Echinocereus enneacanthus,,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Rhipsalis,Rhipsalis neves-armondii,(Loefgr.) Barthlott & N.P. Taylor,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria crinita,(A. Dietr.) D.R. Hunt,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia grantiorum,P.V.Heath,No opinion
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cereus,Cereus colosseus,F. Ritter,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Corynopuntia,Corynopuntia schottii,(Engelm.) F.M. Knuth,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Ferocactus,Ferocactus fordii,,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria schiedeana,Ehrenb. ex Schltdl.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Cylindropuntia,Cylindropuntia molesta,(Brandegee) F.M. Knuth,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Escobaria,Escobaria vivipara,(Orcutt) D.R. Hunt,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Ferocactus,Ferocactus pottsii,(Salm-Dyck) Backeb.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Echinopsis,Echinopsis rhodotricha,K. Schum.,Accepted
flowering plants,Equisetopsida,Caryophyllanae,Caryophyllales,Cactaceae,Mammillaria,Mammillaria droegeana,(K.Schum.) Borg,No opinion
