scrubbed_family,scrubbed_genus,scrubbed_species_binomial,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,url_source,source_citation,project_pi,verbatim_family,verbatim_scientific_name,name_submitted,family_matched,name_matched,name_matched_author,higher_plant_group,tnrs_warning,matched_taxonomic_status,scrubbed_taxonomic_status,scrubbed_family.1,scrubbed_genus.1,scrubbed_specific_epithet,scrubbed_taxon_name_no_author,scrubbed_taxon_canonical,scrubbed_author,scrubbed_taxon_name_with_author,scrubbed_species_binomial_with_morphospecies,access,id
Cactaceae,Ferocactus,Ferocactus cylindraceus,seed mass,2.542,mg,data compilation,,,,http://ucjeps.berkeley.edu/EFT.html,"Jepson Flora Project, 2006. Ecological Flora of California, 23 July 2006.",D.D. Ackerly,dackerly@berkeley.edu,Ferocactus cylindraceus,Cactaceae Ferocactus cylindraceus,Cactaceae,Ferocactus cylindraceus,(Engelm.) Orcutt,flowering plants,,Accepted,Accepted,Cactaceae,Ferocactus,cylindraceus,Ferocactus cylindraceus,Ferocactus cylindraceus,(Engelm.) Orcutt,Ferocactus cylindraceus (Engelm.) Orcutt,Ferocactus cylindraceus,public,15518
Cactaceae,,,diameter at breast height (1.3 m),8,cm,,9.539,-75.352,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,573116
Cactaceae,,,diameter at breast height (1.3 m),5,cm,,-6.58333,-76.4167,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,1140380
Cactaceae,,,diameter at breast height (1.3 m),2.5,cm,,-6.58333,-76.4167,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,1437657
Cactaceae,,,diameter at breast height (1.3 m),2.5,cm,,-6.58333,-76.4167,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,1734121
Cactaceae,Cereus,Cereus repandus,whole plant growth form,tree,,,-18.7656,-62.2331,,,,James S. MIller,,Cactaceae Cereus repandus,Cactaceae Cactaceae Cereus repandus,Cactaceae,Cereus repandus,(L.) Mill.,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,repandus,Cereus repandus,Cereus repandus,(L.) Mill.,Cereus repandus (L.) Mill.,Cereus repandus Cactaceae,public,1780430
Cactaceae,Cereus,,whole plant growth form,tree,,,-27,-58,,,,James S. MIller,,Cactaceae Cereus M1,Cactaceae Cactaceae Cereus M1,Cactaceae,Cereus,Mill.,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,,Cereus,Cereus,Mill.,Cereus Mill.,Cereus M1,public,1869715
Cactaceae,,,whole plant growth form,liana,,,-6.58333,-76.4167,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,1899133
Cactaceae,,,whole plant growth form,liana,,,-6.58333,-76.4167,,,,James S. MIller,,Cactaceae M1,Cactaceae Cactaceae M1,Cactaceae,Cactaceae,Juss.,flowering plants,,Accepted,Accepted,Cactaceae,,,Cactaceae,Cactaceae,Juss.,Cactaceae Juss.,Cactaceae M1,public,1939797
Cactaceae,Cereus,,whole plant growth form,tree,,,-27,-58,,,,James S. MIller,,Cactaceae Cereus M1,Cactaceae Cactaceae Cereus M1,Cactaceae,Cereus,Mill.,flowering plants,,Accepted,Accepted,Cactaceae,Cereus,,Cereus,Cereus,Mill.,Cereus Mill.,Cereus M1,public,1950809
Cactaceae,Opuntia,Opuntia ficus-indica,whole plant height,4.2672,m,Maximum height,,,,http://www.americanforests.org/resources/bigtrees/register.php,,,,Opuntia ficus-indica,Opuntia ficus-indica,Cactaceae,Opuntia ficus-indica,(L.) Mill.,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,ficus-indica,Opuntia ficus-indica,Opuntia ficus-indica,(L.) Mill.,Opuntia ficus-indica (L.) Mill.,Opuntia ficus-indica,public,3101211
Cactaceae,Opuntia,Opuntia basilaris,seed mass,56.043,mg,data compilation; average of 1000 seeds,,,,http://www.kew.org/data/sid ,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",sid@kew.org ,Opuntia basilaris,Opuntia basilaris,Cactaceae,Opuntia basilaris,Engelm. & J.M. Bigelow,flowering plants,,Accepted,Accepted,Cactaceae,Opuntia,basilaris,Opuntia basilaris,Opuntia basilaris,Engelm. & J.M. Bigelow,Opuntia basilaris Engelm. & J.M. Bigelow,Opuntia basilaris,public,3104204
Cactaceae,Escobaria,Escobaria vivipara,plant flowering begin,6,month,first-flowering time,,,,,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.",Steven Travers,steven.travers@ndsu.edu,Mamillaria vivipara,Cactaceae Mamillaria vivipara,Cactaceae,Mammillaria vivipara,(Nutt.) Haw.,flowering plants,,Synonym,Accepted,Cactaceae,Escobaria,vivipara,Escobaria vivipara,Escobaria vivipara,(Nutt.) Buxb.,Escobaria vivipara (Nutt.) Buxb.,Escobaria vivipara,public,3104423
Cactaceae,,,diameter at breast height (1.3 m),8,cm,,,,,http://datadryad.org/resource/doi:10.5061/dryad.2r5r9,"Franklin J, Ripplinger J, Freid EH, Marcano-Vega H, Steadman DW (2015) Regional variation in Caribbean dry forest tree species composition. Plant Ecology 216(6): 873-886. http://dx.doi.org/10.1007/s11258-015-0474-8",Franklin J,janet.franklin@asu.edu,Pilocereus sp.,Pilocereus sp.,Cactaceae,Pilocereus,,flowering plants,Partial match,Accepted,Accepted,Cactaceae,,,Pilocereus,Pilocereus,,Pilocereus,Pilocereus sp.,public,3107649
