"Species","Response","N_pairs","Best_model","Intercept","Slope","Best_AIC","R2_loglin"
"Larus glaucescens","DDT",66,"exponential",0.5052,2e-04,25.9,0.011
"Larus glaucescens","PCP/PCB",66,"log_linear",0.4453,-0.0032,16.2,0.001
"Larus glaucescens","Isotope",66,"power_law",0.3072,0.0223,-6.4,0.006
"Larus glaucescens","Overall",66,"log_linear",0.4182,-0.007,-42.6,0.012
"Larus hyperboreus","DDT",36,"power_law",0.7654,0.016,-24.3,0.035
"Larus hyperboreus","PCP/PCB",36,"exponential",0.729,-1e-04,-13.9,0.006
"Larus hyperboreus","Isotope",36,"exponential",0.3259,6e-04,-4.4,0.017
"Larus hyperboreus","Overall",36,"log_linear",0.6029,-0.0057,-36.5,0.012
"Uria aalge","DDT",8515,"exponential",0.6332,3e-04,2678.2,0.027
"Uria aalge","PCP/PCB",8515,"exponential",0.5948,2e-04,3818.3,0.007
"Uria aalge","Isotope",8515,"exponential",0.3812,3e-04,-2075.6,0.056
"Uria aalge","Overall",8515,"exponential",0.5358,3e-04,-4205.7,0.044
"Uria lomvia","DDT",1326,"exponential",0.6915,3e-04,37.5,0.113
"Uria lomvia","PCP/PCB",1326,"exponential",0.6522,2e-04,239.3,0.017
"Uria lomvia","Isotope",1326,"power_law",0.4257,0.0924,-436.6,0.139
"Uria lomvia","Overall",1326,"exponential",0.5697,3e-04,-1158.1,0.148
"Uria spp.","DDT",66,"exponential",0.8674,6e-04,-120.2,0.44
"Uria spp.","PCP/PCB",66,"log_linear",0.7247,-0.0188,-38,0.093
"Uria spp.","Isotope",66,"log_linear",0.5197,-0.0371,-18.1,0.227
"Uria spp.","Overall",66,"log_linear",0.7039,-0.028,-110.7,0.405
