"response","held_out_area","n_test","RMSE","MAE","R2_pred"
"Overall","Aleutian Islands",4884,0.1366,0.1112,0.4478
"Overall","Bering Sea",8342,0.1415,0.1123,0.432
"Overall","Bering Sea, Norton Sound",2105,0.1336,0.1109,0.6107
"Overall","Bering Strait",3120,0.1344,0.1086,0.4302
"Overall","Chukchi Sea",2919,0.1445,0.1156,0.4709
"Overall","Gulf of Alaska",17655,0.2153,0.1742,0.0396
"Overall","Mean across held-out areas",NA,0.151,0.1221,0.4052
"DDT","Aleutian Islands",4884,0.2057,0.1636,0.4957
"DDT","Bering Sea",8342,0.2227,0.1765,0.5045
"DDT","Bering Sea, Norton Sound",2105,0.1931,0.1656,0.5793
"DDT","Bering Strait",3120,0.213,0.1775,0.4985
"DDT","Chukchi Sea",2919,0.206,0.1632,0.5381
"DDT","Gulf of Alaska",17655,0.3844,0.3187,0.0046
"DDT","Mean across held-out areas",NA,0.2375,0.1942,0.4368
