"response","held_out_area","n_test","RMSE","MAE","R2_pred"
"Overall","Aleutian Islands",4884,0.1318,0.1077,0.5295
"Overall","Bering Sea",8342,0.1472,0.1184,0.4543
"Overall","Bering Sea, Norton Sound",2105,0.1193,0.1003,0.6712
"Overall","Bering Strait",3120,0.1257,0.1038,0.4935
"Overall","Chukchi Sea",2919,0.1276,0.1049,0.5678
"Overall","Gulf of Alaska",17655,0.2285,0.1818,0.0839
"Overall","Mean across held-out areas",NA,0.1467,0.1195,0.4667
"DDT","Aleutian Islands",4884,0.2248,0.1785,0.4905
"DDT","Bering Sea",8342,0.2306,0.1818,0.4661
"DDT","Bering Sea, Norton Sound",2105,0.2025,0.1777,0.5708
"DDT","Bering Strait",3120,0.2089,0.176,0.4888
"DDT","Chukchi Sea",2919,0.2031,0.1599,0.5657
"DDT","Gulf of Alaska",17655,0.3883,0.3214,0.0035
"DDT","Mean across held-out areas",NA,0.243,0.1992,0.4309
