"response","model","model_type","intercept","slope","AIC"
"sim_DDT","exponential","nls",0.645689610060124,0.000254436464584589,6488.33753888541
"sim_DDT","power_law","nls",0.601470972254726,0.030740774689254,8317.5682737985
"sim_DDT","log_linear","lm",0.610934974316579,-0.0182027404003424,8272.61332781013
"sim_PCP_or_PCB","exponential","nls",0.576176047010341,0.000150304577993256,7994.14854305596
"sim_PCP_or_PCB","power_law","nls",0.540570845847332,0.0149153140308396,8618.8674547967
"sim_PCP_or_PCB","log_linear","lm",0.543675220270441,-0.0081655082000813,8612.66009991155
"sim_isotope","exponential","nls",0.338408389429262,0.000264592349147152,-8200.13564804244
"sim_isotope","power_law","nls",0.401512083437086,0.0731512188436555,-8660.90061830895
"sim_isotope","log_linear","lm",0.400392289318502,-0.0228381420179522,-8674.1219313656
"sim_overall","exponential","nls",0.519180636360654,0.000214367526205961,-14430.7549116118
"sim_overall","power_law","nls",0.512856335105798,0.0339313917763873,-12729.3027368988
"sim_overall","log_linear","lm",0.518334161301844,-0.0164021302061254,-12791.0259685586
