"GUALIQUOTID","SPECIES","COMMON_NAME","COLONY_NAME","GEOGRAPHIC_AREA","LATITUDE","LONGITUDE","COLLECTION_YEAR","DDT_real","PCP_or_PCB","delta13C_real","delta15N_real"
"ACU104468A","Uria spp.","Unknown murre","Cape Lisburne","Chukchi Sea",68.882,-166.203,2009,37.6,32.7491,-18.35,18.38222345
"ACU104477A","Uria spp.","Unknown murre","Cape Lisburne","Chukchi Sea",68.882,-166.203,2009,48.308,75.858,-19.12,15.84683202
"ACU104496A","Uria spp.","Unknown murre","Cape Lisburne","Chukchi Sea",68.882,-166.203,2009,37.9878,45.819,-18.59,15.81956975
"ACU104507A","Uria spp.","Unknown murre","Cape Lisburne","Chukchi Sea",68.882,-166.203,2009,49.7,56.5125,-18.67,15.92861884
"ACU104528A","Uria spp.","Unknown murre","Cape Lisburne","Chukchi Sea",68.882,-166.203,2009,29.4,42.8814,-19,15.81956975
"ACU117583A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,67.045,76.565,-19.26675795,18.49479702
"ACU117584A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,73.55,97.04,-19.38707346,18.50720766
"ACU117585A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,81.198,96.325,-18.97622301,18.51114751
"ACU117586A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,90.04,124.675,-18.22250592,17.8239714
"ACU117587A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,62.8,64.304,-19.34795391,19.14359658
"ACU117588A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,58.104,80.302,-19.94235507,18.54718525
"ACU117589A","Uria spp.","Unknown murre","Little Diomede Isl.","Bering Strait",65.753,-168.922,1999,66.3,64.571,-21.63370501,17.56190272
"ACU117591A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,340.344,391.066,-20.14,13.64
"ACU117592A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,144.968,70.657,-19.0367713,15.02367664
"ACU117593A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,438.17,368.443,-19.16,14.3
"ACU117594A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,285.372,190.325,-17.72362843,15.02075359
"ACU117595A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,305,241.153,-18.24785959,15.6554596
"ACU117596A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,425,304.957,-19.37307474,15.47180924
"ACU117597A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,277.97,266.18,-16.98270809,15.88707866
"ACU117598A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,340,257.212,-19.97,13.51
"ACU117599A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,206,142.977,-19.43,14.27
"ACU117600A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,1999,234,180.923,-18.43,14.52
"ACU117602A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,73.699,67.799,-20.07136378,14.1929318
"ACU117603A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,144.653,207.739,-19.35811016,14.0181164
"ACU117604A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,66.381,85.632,-19.16273078,15.42557491
"ACU117605A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,63.13,79.426,-17.00329354,15.44163076
"ACU117606A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,76.3,64.67,-21.11345281,12.96605062
"ACU117607A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,70.5,72.713,-20.27386539,13.64233411
"ACU117609A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,93.1,94.379,-20.93575925,14.5897229
"ACU117610A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,63.166,76.762,-19.7507319,13.73335414
"ACU117611A","Uria aalge","Common murre","St. George Isl.","Bering Sea",56.603,-169.575,1999,40.152,26.531,-17.90021849,15.41460958
"ACU117623A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.601,-169.504,2000,84.155,58.894,-21.63039699,12.3918212
"ACU117624A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.601,-169.504,2000,112.992,99.917,-22.65344345,12.62466344
"ACU117625A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.601,-169.504,2000,104.04,122.688,-22.68766019,12.12202937
"ACU117628A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.601,-169.504,2000,98.63,92.226,-21.37507951,12.23528774
"ACU117644A","Uria aalge","Common murre","Bogoslof Isl.","Aleutian Islands",53.936,-168.039,2000,65.529,48.961,-20.15,11.43
"ACU117645A","Uria aalge","Common murre","Bogoslof Isl.","Aleutian Islands",53.936,-168.039,2000,104.05,92.902,-19.76060562,11.12046997
"ACU117646A","Uria aalge","Common murre","Bogoslof Isl.","Aleutian Islands",53.936,-168.039,2000,70.776,96.863,-19.35,12.02
"ACU117647A","Uria aalge","Common murre","Bogoslof Isl.","Aleutian Islands",53.936,-168.039,2000,111.576,113.784,-20.73,10.96
"ACU117648A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,412.266,357.4994,-19.64433773,15.00915182
"ACU117649A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,194.255,177.4237,-18.76462649,14.56431766
"ACU117650A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,174.947,157.2258,-20.7076093,14.62234841
"ACU117651A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,198.454,101.8367,-19.97033445,13.90423415
"ACU117652A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,266.177,181.1721,-17.79,14.44
"ACU117653A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,236.479,164.9519,-18.62,14.27
"ACU117654A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,246.977,216.522,-18.86,14.29
"ACU117655A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,197.382,97.2529,-20.16,13.42
"ACU117656A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,177.372,94.1215,-19.54,14.25
"ACU117657A","Uria aalge","Common murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,263.442,174.7863,-18.11627066,15.84514186
"ACU117658A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,98.954,47.7583,-19.46,12.7
"ACU117659A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,199.293,87.2744,-19.03279668,14.52445339
"ACU117660A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,345.652,153.1416,-21.0800316,13.43611143
"ACU117661A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,391.953,157.3184,-18.60678968,15.11617064
"ACU117662A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,251.434,160.7778,-18.99,14.32
"ACU117663A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,210.354,43.4221,-18.79079822,16.0182178
"ACU117664A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,449.719,247.7641,-17.47,15.98
"ACU117665A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,223.397,150.7172,-18.77,14.59
"ACU117666A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,198.517,125.4573,-19.21,14.08
"ACU117667A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2001,203.469,79.6234,-19.40687843,13.25569935
"ACU117668A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.603,-169.575,2002,73.747,70.7358,-20.7680761,18.51181139
"ACU117669A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.603,-169.575,2002,94.8996,91.1335,-21.15,11.63
"ACU117670A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.603,-169.575,2002,95.367,31.3725,-20.74,11.7
"ACU117674A","Uria lomvia","Thick-billed murre","St. George Isl.","Bering Sea",56.603,-169.575,2002,52.975,34.6356,-20.29,11.73
"ACU117675A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2002,230.766,245.1092,-17.39,14.65
"ACU117676A","Uria lomvia","Thick-billed murre","St. Lazaria Isl.","Gulf of Alaska",56.986,-135.713,2002,172,188.8431,-18.37,14.28
