"accepted_binomial","latitude","longitude","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_geovalid","species","BIO1","BIO4","BIO12","BIO15"
"Mikania decora",-10.62,-75.57,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-05-19,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",13.9242601394653,65.5707473754883,949,59.3349189758301
"Mikania decora",1.03,-78.22,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-01-14,"GBIF","US","US","US","Botany",4885,,0,,0,"Mikania decora",20.9828433990479,26.1078605651855,3053,21.3305530548096
"Mikania decora",-10.58,-75.5,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-05-24,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",17.4816036224365,64.3661422729492,1128,56.7835960388184
"Mikania decora",0.36019,-79.7112,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1995-02-18,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",23.6267509460449,59.4450492858887,1708,77.2609939575195
"Mikania decora",18.000833,-94.1,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1973-03-03,"GBIF","INECOL","INECOL","INECOL","XAL",616,,0,,1,"Mikania decora",26.0109901428223,223.213897705078,2497,61.5960006713867
"Mikania decora",-10.61666,-75.55,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1982-05-10,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",13.9242601394653,65.5707473754883,949,59.3349189758301
"Mikania decora",-5,-78.06666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1999-04-22,"MO",,,,,267,,0,,0,"Mikania decora",24.0465831756592,40.3947715759277,1921,19.0138511657715
"Mikania decora",-10.44638,-75.43833,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",2006-09-02,"MO","AMAZ, HUT, MO, USM","AMAZ, HUT, MO, USM","AMAZ, HUT, MO, USM",,267,0,0,,1,"Mikania decora",17.6105518341064,57.8594131469727,1192,49.9087333679199
"Mikania decora",0.88333,-78.41666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1992-08-17,"MO","MO","MO","MO",,267,,0,,0,"Mikania decora",20.5317401885986,27.8020725250244,2274,28.8053741455078
"Mikania decora",-10.54388,-75.36277,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",2006-08-17,"MO","HUT, MO, USM","HUT, MO, USM","HUT, MO, USM",,267,0,0,,1,"Mikania decora",17.4816036224365,64.3661422729492,1128,56.7835960388184
"Mikania decora",0.92,-78.58,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1991-05-12,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",22.5874786376953,30.4902210235596,2448,28.3804740905762
"Mikania decora",-5.03333,-78.88333,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1997-04-04,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",20.8527088165283,40.9242973327637,1237,30.0138568878174
"Mikania decora",-10.543889,-75.362778,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",,"GBIF","HUSA","HUSA","HUSA","VASC",4472,,0,,1,"Mikania decora",17.4816036224365,64.3661422729492,1128,56.7835960388184
"Mikania decora",1.03333,-78.23333,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1991-06-15,"MO","MO","MO","MO",,267,,0,,0,"Mikania decora",20.9828433990479,26.1078605651855,3053,21.3305530548096
"Mikania decora",0.91666,-78.58333,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1990-05-12,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",22.5874786376953,30.4902210235596,2448,28.3804740905762
"Mikania decora",1.12,-78.62,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1988-02-14,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",24.2262077331543,30.6516265869141,2678,26.9146480560303
"Mikania decora",-10.5,-75.33333,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",2002-08-02,"MO","HUT, MO, USM","HUT, MO, USM","HUT, MO, USM",,267,0,0,,1,"Mikania decora",18.425989151001,61.0868606567383,1456,46.129955291748
"Mikania decora",-10.5483333,-75.3591667,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",2006-08-11,"MO","HOXA, MO, USM","HOXA, MO, USM","HOXA, MO, USM",,267,0,0,,1,"Mikania decora",17.4816036224365,64.3661422729492,1128,56.7835960388184
"Mikania decora",-10.58333,-75.5,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-05-24,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",17.4816036224365,64.3661422729492,1128,56.7835960388184
"Mikania decora",-10.61666,-75.56666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-05-19,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",13.9242601394653,65.5707473754883,949,59.3349189758301
"Mikania decora",-10.25,-75.5,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1982-05-14,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",22.093656539917,47.0846900939941,1759,42.842887878418
"Mikania decora",0.86666,-78.46666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1987-05-20,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",20.5317401885986,27.8020725250244,2274,28.8053741455078
"Mikania decora",-10.6216667,-75.2936111,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",2007-08-20,"MO","HOXA, HUT, MO, USM","HOXA, HUT, MO, USM","HOXA, HUT, MO, USM",,267,0,0,,1,"Mikania decora",18.425989151001,61.0868606567383,1456,46.129955291748
"Mikania decora",-5,-78.91666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1997-03-20,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",20.8527088165283,40.9242973327637,1237,30.0138568878174
"Mikania decora",0,-78.666667,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1980-07-21,"GBIF","LD","LD","LD","General",4544,,0,,1,"Mikania decora",17.117073059082,24.9275360107422,2066,58.8476066589355
"Mikania decora",1.116,-78.333,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-01-19,"GBIF","AAU","AAU","AAU","Herbarium",4161,,0,,0,"Mikania decora",20.9828433990479,26.1078605651855,3053,21.3305530548096
"Mikania decora",-4.083,-79.166,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1988-09-22,"GBIF","AAU","AAU","AAU","Herbarium",4161,,0,,1,"Mikania decora",14.3756980895996,38.3854026794434,1117,27.2437877655029
"Mikania decora",0,-78.67,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1980-07-21,"GBIF","US","US","US","Botany",4885,,0,,1,"Mikania decora",17.117073059082,24.9275360107422,2066,58.8476066589355
"Mikania decora",1.033,-78.216,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1983-01-14,"GBIF","AAU","AAU","AAU","Herbarium",4161,,0,,0,"Mikania decora",20.9828433990479,26.1078605651855,3053,21.3305530548096
"Mikania decora",-4.08333,-79.16666,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1988-09-22,"MO","AAU","AAU","AAU",,267,0,0,,1,"Mikania decora",14.3756980895996,38.3854026794434,1117,27.2437877655029
"Mikania decora",0.9,-78.5,"Asteraceae","Mikania decora Poepp.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1991-06-23,"MO","MO","MO","MO",,267,0,0,,1,"Mikania decora",20.5317401885986,27.8020725250244,2274,28.8053741455078
"Mikania decora",1.03,-78.23,"Asteraceae","Mikania decora Poepp. & Endl.","Asteraceae","Mikania decora","Poepp.","flowering plants","Accepted","Asteraceae","Poepp.",1991-06-15,"GBIF","US","US","US","Botany",4885,,0,,0,"Mikania decora",20.9828433990479,26.1078605651855,3053,21.3305530548096
