"attempt","species","n_raw","n_clean","eligible","message"
1,"Mikania decora",181,81,TRUE,"ok"
2,"Emilia longifolia",2,0,FALSE,"ok"
3,"Eriophyllum mohavense",38,11,FALSE,"ok"
4,"Baccharoides bracteosa",0,0,FALSE,"ok"
5,"Doronicum atlanticum",4,0,FALSE,"ok"
6,"Aster kantoensis",116,2,FALSE,"ok"
7,"Senecio fussii",2,0,FALSE,"ok"
8,"Hieracium valentinum",83,60,TRUE,"ok"
9,"Asteriscus imbricatus",91,16,FALSE,"ok"
10,"Athenaea sellowiana",28,8,FALSE,"ok"
11,"Parasenecio rockianus",11,3,FALSE,"ok"
12,"Jacobaea alpina",396,59,TRUE,"ok"
13,"Helichrysum becklerii",2,0,FALSE,"ok"
14,"Lepidaploa remotiflora",1006,371,TRUE,"ok"
15,"Hieracium fuscocinereum",1027,280,TRUE,"ok"
