"gcm","scenario","period","mean_suitability","suitable_fraction","novelty_fraction","high_novelty_fraction"
"Current climate","Current","1970-2000",0.558886822691105,0.185302423027874,0.232738203680087,0.00644470759701221
"MRI-ESM2-0","RCP/SSP126","2041-2060",0.591514763027931,0.297317436661699,0.39865871833085,0.062220566318927
"MRI-ESM2-0","RCP/SSP245","2041-2060",0.586094904773182,0.270491803278689,0.380402384500745,0.0607302533532042
"MRI-ESM2-0","RCP/SSP370","2041-2060",0.586184531729551,0.264903129657228,0.39344262295082,0.0611028315946349
"MRI-ESM2-0","RCP/SSP585","2041-2060",0.583477049575761,0.254098360655738,0.398286140089419,0.0730253353204173
"ACCESS-CM2","RCP/SSP126","2041-2060",0.594484431316442,0.332712369597616,0.44150521609538,0.0789865871833085
"ACCESS-CM2","RCP/SSP245","2041-2060",0.59708637276238,0.360283159463487,0.538002980625931,0.103576751117735
"ACCESS-CM2","RCP/SSP370","2041-2060",0.59803135112977,0.368852459016393,0.545081967213115,0.110655737704918
"ACCESS-CM2","RCP/SSP585","2041-2060",0.598775685482882,0.378912071535022,0.561475409836066,0.119597615499255
"CanESM5-CanOE","RCP/SSP126","2041-2060",0.5693467870054,0.211997019374069,0.375186289120715,0.0678092399403875
"CanESM5-CanOE","RCP/SSP245","2041-2060",0.568986850218131,0.208271236959762,0.409090909090909,0.0823397913561848
"CanESM5-CanOE","RCP/SSP370","2041-2060",0.567147728125628,0.233233979135618,0.533532041728763,0.109538002980626
"CanESM5-CanOE","RCP/SSP585","2041-2060",0.558052534230819,0.197466467958271,0.441877794336811,0.0905365126676602
